mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,K,seed,hamming
0.995378,0.0,0.0,0.984564,1.0,0.0,0.995,0.015,0.005775,,0.002649,0.0,0.300764,0.359723,0.0,0.0,0.164474,0.148885,,1.75,3,0.0
0.996932,0.00047,0.0,0.994859,0.884948,0.0,0.990025,0.0166,0.00975,,0.002223,0.0,0.206074,0.331675,0.0,0.0,0.197721,0.164492,,1.75,4,0.005
0.997365,0.000614,0.0,0.985159,1.0,0.0,0.990025,0.0178,0.01125,,0.002229,0.0,0.178542,0.358453,0.0,0.0,0.197721,0.176144,,1.75,5,0.005
0.991978,0.00138,0.0,0.985753,0.806357,0.0,0.98505,0.0192,0.011125,,0.008588,0.0,0.538715,0.357138,0.0,0.0,0.235346,0.189675,,1.75,6,0.01
0.99241,0.003251,0.0,0.991249,0.887312,0.082268,0.9751,0.0216,0.01085,,0.034437,0.0,0.561478,0.342904,0.54795,0.0,0.323679,0.212702,,1.75,7,0.02
0.997402,0.0,0.0,0.995678,1.0,0.0,0.995,0.0148,0.00585,,0.00136,0.0,0.171138,0.328943,0.0,0.0,0.164474,0.146929,,1.75,8,0.0
0.999224,0.000219,0.0,0.99719,0.806329,0.0,0.96765,0.0204,0.0111,,0.001353,0.0,0.051866,0.323727,1e-06,0.0,0.400395,0.201216,,1.75,9,0.027487
0.981454,0.0,0.0,0.974809,1.0,0.0,0.995,0.015,0.005725,,0.008838,0.0,0.966115,0.373579,0.0,0.0,0.164474,0.148885,,2.0,0,0.0
0.995768,0.002305,0.0,0.994637,0.384554,0.0,0.863675,0.0492,0.097525,,0.035909,0.0,0.30858,0.332408,0.0,0.0,0.768049,0.455802,,2.0,1,0.131985
0.998701,0.000826,0.0,0.997365,0.836983,0.0,0.953275,0.027,0.0113,,0.004312,0.0,0.089308,0.323107,0.0,0.0,0.566859,0.263625,,2.0,2,0.041935
0.998593,0.000925,0.0,0.993691,0.643961,0.000132,0.9253,0.0288,0.008925,,0.008072,0.0,0.097193,0.335459,0.001318,0.0,0.879838,0.280293,,2.0,3,0.07005
0.997133,0.002796,0.0,0.996484,0.467441,0.0,0.86015,0.1052,0.12525,,0.040099,0.0,0.215811,0.326188,0.0,0.0,0.727891,0.782583,,2.0,4,0.135528
0.984951,0.003566,0.0,0.982707,0.801792,0.0,0.953575,0.0554,0.0508,,0.103236,0.0,1.001765,0.363384,0.0,0.0,0.563236,0.503512,,2.0,5,0.041633
0.999023,0.001164,0.312191,0.99372,0.393871,0.0,0.824625,0.097,0.1096,,0.005156,0.0,0.068308,0.202908,0.0,0.0,0.496822,0.748704,,2.0,6,0.171231
0.999856,0.000144,0.0,0.995819,0.805063,0.0,0.96515,0.0186,0.00685,,0.000249,0.0,0.00962,0.328466,0.0,0.0,0.427883,0.183884,,2.0,7,0.03
0.992702,0.001448,0.0,0.987273,0.93591,0.049373,0.98505,0.0192,0.011425,,0.013552,0.0,0.495989,0.353571,0.258534,0.0,0.235346,0.189675,,2.0,8,0.01
0.999026,0.000833,0.214243,0.99585,0.366756,0.0,0.83745,0.0338,0.0478,,0.006629,0.0,0.067021,0.664154,0.0,0.0,0.457261,0.325691,,2.0,9,0.158342
0.994959,0.0054,0.180387,0.993576,0.216525,0.0,0.763375,0.829,0.151975,,0.299142,0.0,0.422467,0.824711,0.0,0.0,0.916656,0.936647,,2.25,0,0.232789
0.993415,0.002433,0.0,0.986681,0.697287,0.0,0.956525,0.0328,0.045475,,0.028089,0.0,0.473311,0.354996,0.0,0.0,0.527812,0.316723,,2.25,1,0.038668
0.98492,0.004622,0.0,0.978933,0.520154,0.035157,0.879425,0.0404,0.0512,,0.262563,0.0,1.054206,0.369369,0.337703,0.0,0.918819,0.383366,,2.25,2,0.116156
0.992774,0.0,0.0,0.987654,1.0,0.0,0.995,0.015,0.005775,,0.003962,0.0,0.458778,0.352632,0.0,0.0,0.164474,0.148885,,2.25,3,0.0
0.997961,0.000605,0.0,0.993658,0.563082,0.0,0.9229,0.0248,0.008325,,0.010165,0.0,0.138428,0.335565,0.0,0.0,0.900431,0.243038,,2.25,4,0.072462
0.999784,0.000237,0.323281,0.999196,0.545116,0.0,0.917425,0.0318,0.0108,,0.00066,0.0,0.014492,0.157224,0.0,0.0,0.941081,0.307697,,2.25,5,0.077965
0.997402,0.0,0.0,0.993127,1.0,0.0,0.995,0.015,0.005825,,0.001413,0.0,0.171138,0.337237,0.0,0.0,0.164474,0.148885,,2.25,6,0.0
0.997758,0.002528,0.314345,0.997989,0.225431,0.0,0.7754,0.7908,0.15005,,0.025798,0.0,0.167049,0.18703,0.0,0.0,0.851268,0.969982,,2.25,7,0.220704
0.992774,0.0,0.0,0.983976,1.0,0.0,0.995,0.015,0.005775,,0.004055,0.0,0.458778,0.360933,0.0,0.0,0.164474,0.148885,,2.25,8,0.0
0.997767,0.00261,0.145286,0.990867,0.310817,0.0,0.843075,0.6438,0.13575,,0.079838,0.0,0.167033,0.91532,0.0,0.0,0.523043,0.998385,,2.25,9,0.152688
0.998562,0.001059,0.214232,0.996073,0.294125,0.0,0.78095,0.042,0.027075,,0.021465,0.0,0.099951,0.662672,0.0,0.0,0.816438,0.39693,,2.5,0,0.215126
0.99035,0.00558,0.0,0.989152,0.253445,0.0,0.795975,0.0384,0.0507,,0.070267,0.0,0.77306,0.348763,0.0,0.0,0.711731,0.366176,,2.5,1,0.200025
0.998361,0.002272,0.323519,0.996765,0.109272,0.0,0.723575,0.9384,0.158575,,0.010623,0.0,0.120825,0.160857,0.0,0.0,0.99678,0.548337,,2.5,2,0.272789
0.998196,0.0,0.0,0.995611,0.933848,0.049938,0.98505,0.0198,0.010525,,0.00327,0.0,0.119169,0.32917,0.267456,0.0,0.235346,0.195452,,2.5,3,0.01
0.981617,0.009971,0.0,0.981195,0.526944,0.0,0.86885,0.1176,0.094775,,0.355661,0.0,1.42802,0.36602,0.0,0.0,0.823605,0.826186,,2.5,4,0.126784
0.983373,0.006539,0.0,0.980081,0.568243,0.0,0.9194,0.0582,0.076175,,0.21825,0.0,1.22082,0.36776,0.0,0.0,0.927491,0.524118,,2.5,5,0.07598
0.98719,0.007022,0.0,0.987029,0.284889,0.009999,0.799625,0.8086,0.15035,,0.306299,0.0,1.031025,0.354164,0.098996,0.0,0.684736,0.95742,,2.5,6,0.196357
0.996082,0.003298,0.0,0.986759,0.564129,0.0,0.92625,0.0634,0.07365,,0.052087,0.0,0.300455,0.35481,0.0,0.0,0.871262,0.5608,,2.5,7,0.069095
0.998853,0.000197,0.330755,0.993761,0.612422,0.0,0.8647,0.0566,0.01285,,0.004427,0.0,0.07655,0.144818,0.0,0.0,0.77941,0.512416,,2.5,8,0.130955
0.998371,0.001953,0.324611,0.993697,0.194679,0.0,0.746925,0.8962,0.155975,,0.014606,0.0,0.118197,0.162615,0.0,0.0,0.977869,0.777097,,2.5,9,0.249322
0.996688,0.004796,0.266606,0.996994,0.154799,0.001107,0.7131,0.9714,0.1592,,0.029641,0.002066,0.273541,0.38783,0.010112,0.027742,0.977934,0.278449,,2.75,0,0.283317
0.997996,0.002422,0.314505,0.998158,0.269789,0.0,0.810575,0.7566,0.14335,,0.01641,0.0,0.148662,0.186156,0.0,0.0,0.602171,0.984739,,2.75,1,0.185352
0.997869,0.002647,0.305602,0.998382,0.149679,0.0,0.70855,0.9488,0.157125,,0.0157,0.0,0.159768,0.216036,0.0,0.0,0.964693,0.471502,,2.75,2,0.287889
0.999168,0.00126,0.316439,0.999436,0.335058,0.0,0.83265,0.1068,0.133675,,0.003589,0.0,0.05845,0.177314,0.0,0.0,0.439022,0.788707,,2.75,3,0.163166
