rule,C_peak,AUC,scale_entropy,beta_var,entity_scale,C_unified
30,0.9585895571403804,2.352580200181012,1.567672976973449,0.08020950811181728,0,1.3911698920005835
169,0.9411361475095616,2.285976231949694,1.56568326247101,0.0771125854337713,2,1.3680288706948462
86,0.9135555004475505,2.2005773441758576,1.5637916819120932,0.06172251248148239,0,1.3455591981618036
225,0.8886317192539087,1.9753106618274288,1.5357754227324558,0.017961456106772102,0,1.3406585741567565
54,0.8873920096750546,1.9487167070267248,1.538803924003457,0.053060039088983574,2,1.2967183787532377
75,0.8637221349009159,2.10817411368564,1.5662124088237563,0.05500686351788265,0,1.282240307846709
22,0.8916130208051773,2.545496956737124,1.5943005167824829,0.13979584058059663,2,1.247152383987989
89,0.8496960500726221,2.1473654600128738,1.5726812791357085,0.07419867239183175,2,1.2439980659530476
120,0.8182119928011868,1.9730287462635903,1.5636899037171341,0.045904712595716796,0,1.2232757122474522
101,0.8211275645331306,2.0622135213023727,1.57165442746403,0.0635676769077206,0,1.2133960069785217
45,0.8386576304201829,2.1770441730889374,1.5760416248229356,0.092437304830295,2,1.2099177945254325
137,0.8150654425178957,2.1969086016919386,1.579980457352545,0.07951591227470507,0,1.1929305126481315
193,0.8167960611944121,2.269328705277041,1.5825548756219083,0.09784795792273487,0,1.1774167631352106
149,0.8022887925812993,2.0731524027531907,1.5758176427109296,0.07479177899793764,2,1.176284428857068
135,0.7896570121028348,2.0535569186576774,1.5766326514442421,0.07018249916662476,0,1.1633520728406037
106,0.782268818500257,2.081562811264472,1.5791597591037796,0.07476349855094598,0,1.1493946720769723
41,0.7351815283509943,1.692339364388923,1.5513700672645312,0.02479269700867456,0,1.1129456917664478
97,0.7210360253281252,1.7995189529244682,1.5612003493951925,0.02457966157032164,0,1.0986765957695415
147,0.7039746255683548,1.4635841033105867,1.5090037322499454,0.00740488171444722,0,1.054491949238954
73,0.6754141729599795,1.6504997782096154,1.55207744752843,0.015935044242181676,0,1.0318524905046533
146,0.7362769695691398,1.8006582736441883,1.604451647597236,0.17659450827071263,1,1.004016922235461
18,0.7160022802261614,1.779933036579392,1.5825287824140761,0.1824017613801191,1,0.9582988234129852
150,0.6397814674235205,1.6989788259090597,1.576554487682205,0.07182042203204944,2,0.9410628150657657
161,0.893382078593985,1.8186405289627532,1.1897132011158145,0.1478108526027432,4,0.9259961692585671
105,0.6489547055204841,1.7191740771237036,1.5668939699235387,0.12087190263631485,2,0.9071894945728546
129,0.8999575111087877,1.8209124400572096,1.1546641639187305,0.15753265027052007,4,0.8977273227532344
126,0.8689923034367489,1.7602242548673646,1.1182897549901964,0.14240667113614372,0,0.8506473348340926
109,0.5598905719569813,1.2515592708741163,1.5163580657208837,0.0029004388547354556,0,0.8465392493770955
21,0.4592942440957143,1.0253279459005493,1.8617450294202595,0.010359404172055487,0,0.846321390641421
3,0.42522422958099176,1.0160045960471071,1.9013740782008857,0.009636325853906998,0,0.8007936192910222
102,0.5097438796089124,1.2847004587222322,1.5651799732140113,0.014232754530052948,0,0.7866447896390067
60,0.5131438337424582,1.2395101035581617,1.56480401881494,0.0237376859117738,2,0.7843508589362455
151,0.8414672233019376,1.497422569188667,0.9889674981204531,0.07621910184627587,0,0.7732475042968979
20,0.4161367572313606,0.9680464666183362,1.8543163538295797,0.0037035505152441827,0,0.7688018976993762
122,0.9136632580502277,1.7901055916479978,1.0020979959781,0.1932405215801638,4,0.7673055878780302
110,0.8143094623698427,1.3875019756141844,0.9781753648662408,0.055214678733428335,0,0.754858202336358
153,0.4866238673225383,1.1775978110326348,1.5640059883211719,0.015285530437400252,0,0.7496242384391824
26,0.4938066083454911,1.0568537804394873,1.5204928822109647,0.003826818878413386,0,0.7479670985648368
124,0.7978465755274762,1.2820280624190579,0.9563786277749582,0.040210371350177625,0,0.7335472074629464
107,0.7902871700778784,1.447854701689157,0.9939301941907699,0.08060831911138482,0,0.7268963846844255
195,0.46837328589270444,1.177247237345909,1.5705876567481578,0.01594509657845236,0,0.7240758423374626
15,0.4945642226470978,0.987681437707687,1.461654830163266,2.4163794708705617e-05,0,0.7228647177034306
63,0.48044033608797826,0.9638475428247923,1.4953088835233794,0.004690086023779894,0,0.7150530422754744
183,0.7734976250703199,1.438610863546729,0.9959691449756491,0.08489234754646031,0,0.710097891301598
182,0.7897022811122539,1.5491009987924587,0.9997239420977383,0.12324271803546229,0,0.7028616922065759
49,0.4709570071221114,0.92992316167815,1.493379955592512,0.013239928875913805,2,0.6941275549239955
17,0.44430808499310215,0.9773993207878141,1.5083238347200434,0.0013141128696179548,0,0.6692809638259608
80,0.39218747883717614,0.8516293078729869,1.7172642206034678,0.006738480579838484,1,0.668981605618036
121,0.7128567349509038,1.340717529798909,0.9971632506611151,0.07734477364342586,0,0.659802281005524
166,0.4417160689541635,1.208915487151842,1.5714368477105476,0.05225238904711372,2,0.6596600912533983
39,0.4379038967056604,0.9774207414644687,1.5090369880879533,0.0018067120232217885,0,0.6596214313858285
180,0.4276043852701993,1.0488223232682636,1.5390788206033323,0.006392305236187795,0,0.6539366900386022
131,0.4773979052038553,0.8269985497069874,1.39812422285463,0.025443032005732502,2,0.6509006881640571
210,0.41997275903209075,0.9832627593230563,1.5552751715389914,0.019856441197321027,2,0.6404560273978434
82,0.4132226553418097,1.0121200911528585,1.5545962752035265,0.006345570702123882,0,0.6383437454550445
119,0.4270257181886952,0.8389627828383912,1.4895817636178081,0.007052737370295696,0,0.631634966874417
35,0.4364799887450666,0.8311336122453132,1.4649567190298396,0.02148675994591263,2,0.6259741362364907
145,0.4066816387207226,0.880470600244778,1.5337856365491827,0.011145508257724203,2,0.6168869376603525
9,0.40070669860525265,0.9120387016008112,1.5333136965042709,0.019145644565383445,4,0.6028667958586611
10,0.38547904802178773,0.6530108201304212,1.562923745129869,0.013357430794458896,1,0.5945329250025603
143,0.3977823349356856,0.7862231150202537,1.4928457680808882,0.00616458120788332,0,0.5901894048120764
81,0.3900405711908117,0.83413222619697,1.5144142433915682,0.0013971408493253063,0,0.5898588805745602
47,0.38563415328835815,0.9170601283735269,1.5178495782027746,0.004385417557379573,0,0.5827789080538686
134,0.4211217681656676,0.7341066955323727,1.4050646727081184,0.01859228474620805,2,0.5809030052739761
85,0.3998817051804883,0.7456593251974084,1.4137915226149662,0.0005082802583613416,0,0.5650621548949114
181,0.3962087304343807,0.8537908430684733,1.4190655653546094,0.006593522357685666,0,0.5585632666653565
117,0.36129041304799725,0.7848952359563302,1.5322993409537558,0.00419528516934862,0,0.5512922336744449
116,0.40145689762360515,0.6666725855766447,1.3670707931643324,0.013439463776596855,2,0.5415419658224166
167,0.4301426187920619,0.7511349411627202,1.2583218217366376,0.004671332783303172,0,0.5387412042359319
11,0.33986947032243014,0.7759556400108298,1.5403216683133893,0.0024703993305103026,0,0.5222182219898496
240,0.367859393045277,0.7327484696418499,1.4205417359654244,0.0009546252796290528,0,0.5220612479229432
53,0.42618116775400416,0.6371544266509829,1.2467994119211636,0.01904533899229596,2,0.521431587973324
52,0.33494557279427656,0.7869685370098405,1.5577112504350192,0.0066799104695587285,0,0.5182863804063402
184,0.39184998374866153,0.6566800404773118,1.3146724972607036,0.0027505128863159686,0,0.5137413444981436
111,0.5365212732391693,0.9012669087084254,0.973735995854947,0.02219626491078659,0,0.5110858787382699
138,0.3669153467603322,0.6157619739086254,1.3773715547623964,0.009336719738319203,0,0.5007038302980666
34,0.3395119399573699,0.7730823289168602,1.4950261606424364,0.031609702074313226,1,0.4920264234294377
27,0.49047011911670013,0.8438054062965202,0.9809638514484269,0.021153091741366602,0,0.4711668220566347
65,0.29929071467157514,0.7557418798921007,1.5446904693962935,0.004229811439708693,0,0.4603642605164221
127,0.23046883778505767,0.7058946375577223,1.968613065106445,7.22565095557898e-05,0,0.45367118446728677
125,0.5053203282532335,0.7470588782406193,0.9083474495989261,0.014264865407422304,0,0.4525508543716907
31,0.4909460860358884,0.7541535272388029,0.9333143962802584,0.013598934861749984,0,0.4520595219027516
2,0.3644688387764727,0.557191839054241,1.279377231513147,0.04002458718645261,2,0.4483481829868119
83,0.4623568847472566,0.7885000132049863,0.9791158283704007,0.01787436865761544,0,0.44475129559367454
88,0.29832179347413307,0.6602597127856387,1.4768238383596133,0.0016811709919970308,0,0.43982930783103735
38,0.3671800250488848,0.5380576487058759,1.2050704997946244,0.019998866634420267,2,0.4338022627027601
208,0.2762076056868914,0.61269213852763,1.5413251275427018,0.006421753354629322,2,0.4230092619168583
