J2,T,C_unified,std
0.0,1.5,nan,nan
0.0,1.6818181818181819,nan,nan
0.0,1.8636363636363638,nan,nan
0.0,2.0454545454545454,nan,nan
0.0,2.2272727272727275,nan,nan
0.0,2.409090909090909,nan,nan
0.0,2.590909090909091,nan,nan
0.0,2.7727272727272725,nan,nan
0.0,2.9545454545454546,nan,nan
0.0,3.1363636363636367,nan,nan
0.0,3.3181818181818183,nan,nan
0.0,3.5,nan,nan
0.04285714285714286,1.5,nan,nan
0.04285714285714286,1.6818181818181819,nan,nan
0.04285714285714286,1.8636363636363638,nan,nan
0.04285714285714286,2.0454545454545454,nan,nan
0.04285714285714286,2.2272727272727275,nan,nan
0.04285714285714286,2.409090909090909,nan,nan
0.04285714285714286,2.590909090909091,nan,nan
0.04285714285714286,2.7727272727272725,nan,nan
0.04285714285714286,2.9545454545454546,nan,nan
0.04285714285714286,3.1363636363636367,nan,nan
0.04285714285714286,3.3181818181818183,nan,nan
0.04285714285714286,3.5,nan,nan
0.08571428571428572,1.5,nan,nan
0.08571428571428572,1.6818181818181819,nan,nan
0.08571428571428572,1.8636363636363638,nan,nan
0.08571428571428572,2.0454545454545454,nan,nan
0.08571428571428572,2.2272727272727275,nan,nan
0.08571428571428572,2.409090909090909,nan,nan
0.08571428571428572,2.590909090909091,nan,nan
0.08571428571428572,2.7727272727272725,nan,nan
0.08571428571428572,2.9545454545454546,nan,nan
0.08571428571428572,3.1363636363636367,nan,nan
0.08571428571428572,3.3181818181818183,nan,nan
0.08571428571428572,3.5,nan,nan
0.12857142857142856,1.5,nan,nan
0.12857142857142856,1.6818181818181819,nan,nan
0.12857142857142856,1.8636363636363638,nan,nan
0.12857142857142856,2.0454545454545454,nan,nan
0.12857142857142856,2.2272727272727275,nan,nan
0.12857142857142856,2.409090909090909,nan,nan
0.12857142857142856,2.590909090909091,nan,nan
0.12857142857142856,2.7727272727272725,nan,nan
0.12857142857142856,2.9545454545454546,nan,nan
0.12857142857142856,3.1363636363636367,nan,nan
0.12857142857142856,3.3181818181818183,nan,nan
0.12857142857142856,3.5,nan,nan
0.17142857142857143,1.5,nan,nan
0.17142857142857143,1.6818181818181819,nan,nan
0.17142857142857143,1.8636363636363638,nan,nan
0.17142857142857143,2.0454545454545454,0.04626324897559141,0.055966561695214946
0.17142857142857143,2.2272727272727275,nan,nan
0.17142857142857143,2.409090909090909,nan,nan
0.17142857142857143,2.590909090909091,nan,nan
0.17142857142857143,2.7727272727272725,nan,nan
0.17142857142857143,2.9545454545454546,nan,nan
0.17142857142857143,3.1363636363636367,nan,nan
0.17142857142857143,3.3181818181818183,nan,nan
0.17142857142857143,3.5,nan,nan
0.2142857142857143,1.5,nan,nan
0.2142857142857143,1.6818181818181819,nan,nan
0.2142857142857143,1.8636363636363638,nan,nan
0.2142857142857143,2.0454545454545454,nan,nan
0.2142857142857143,2.2272727272727275,nan,nan
0.2142857142857143,2.409090909090909,nan,nan
0.2142857142857143,2.590909090909091,nan,nan
0.2142857142857143,2.7727272727272725,nan,nan
0.2142857142857143,2.9545454545454546,nan,nan
0.2142857142857143,3.1363636363636367,nan,nan
0.2142857142857143,3.3181818181818183,nan,nan
0.2142857142857143,3.5,nan,nan
0.2571428571428571,1.5,0.002537280424136149,0.004405545707276318
0.2571428571428571,1.6818181818181819,nan,nan
0.2571428571428571,1.8636363636363638,nan,nan
0.2571428571428571,2.0454545454545454,nan,nan
0.2571428571428571,2.2272727272727275,nan,nan
0.2571428571428571,2.409090909090909,nan,nan
0.2571428571428571,2.590909090909091,nan,nan
0.2571428571428571,2.7727272727272725,nan,nan
0.2571428571428571,2.9545454545454546,nan,nan
0.2571428571428571,3.1363636363636367,nan,nan
0.2571428571428571,3.3181818181818183,nan,nan
0.2571428571428571,3.5,nan,nan
0.3,1.5,0.054339962847014645,0.06539507288359755
0.3,1.6818181818181819,nan,nan
0.3,1.8636363636363638,nan,nan
0.3,2.0454545454545454,nan,nan
0.3,2.2272727272727275,nan,nan
0.3,2.409090909090909,nan,nan
0.3,2.590909090909091,nan,nan
0.3,2.7727272727272725,nan,nan
0.3,2.9545454545454546,nan,nan
0.3,3.1363636363636367,nan,nan
0.3,3.3181818181818183,nan,nan
0.3,3.5,nan,nan
