mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,p,seed,mean_density
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.1,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.1,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.1,2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.1,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.1,4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.125,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.125,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.125,2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.125,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.125,4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.15,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.15,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.15,2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.15,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.15,4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.175,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.175,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.175,2,0.0
