rank,rule,class,C_a_bp,C_a_x8,C_a,C_v8,gz_byte,gz_bp,gz_x8,wG_a_bp,wG_a_x8,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean
216,55,2,0.0,0.0,0.0,0.0,0.007733,0.044792,0.061867,0.420188,0.550199,1.0,0.0,0.332192,0.789175,1.0,0.0,0.0
217,60,3,0.0,0.0,0.052197,0.013371,0.162667,1.008176,1.301333,0.0,0.0,0.994758,0.006828,0.344912,0.996344,2.5e-05,0.0,0.498133
218,64,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
219,75,3,0.0,0.0,0.048297,0.016602,0.161689,1.008176,1.293511,0.0,0.0,0.995103,0.006089,0.329984,0.996679,3.3e-05,0.0,0.497689
220,86,3,0.0,0.0,0.032643,0.003942,0.162089,1.008176,1.296711,0.0,0.0,0.996707,0.00481,0.374248,0.995623,1.3e-05,0.0,0.4932
221,89,3,0.0,0.0,0.04368,0.020697,0.161111,1.008176,1.288889,0.0,0.0,0.995534,0.005992,0.322604,0.997355,0.000805,0.000697,0.512044
222,90,3,0.0,0.0,0.049996,0.007863,0.163244,1.008176,1.305956,0.0,0.0,0.995013,0.006302,0.362906,0.995479,9e-06,0.0,0.492622
223,96,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
224,101,3,0.0,0.0,0.045382,0.016082,0.162711,1.008176,1.301689,0.0,0.0,0.995401,0.006249,0.328182,0.996872,0.0,0.0,0.498933
225,102,3,0.0,0.0,0.056108,0.014803,0.1624,1.008176,1.2992,0.0,0.0,0.994391,0.007739,0.344912,0.996344,0.000141,0.000138,0.498133
226,105,3,0.0,0.0,0.036635,0.0118,0.161333,1.008176,1.290667,0.0,0.0,0.996241,0.005086,0.330582,0.997271,0.000191,0.0,0.495111
227,106,4,0.0,0.0,0.056447,0.040398,0.159689,1.008176,1.277511,0.0,0.0,0.994345,0.007255,0.280893,0.995309,0.000194,0.000129,0.485644
228,120,4,0.0,0.0,0.056249,0.039912,0.1584,1.008176,1.2672,0.0,0.0,0.994375,0.009379,0.291626,0.99629,0.000242,0.0,0.490667
229,128,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
230,135,3,0.0,0.0,0.05486,0.011048,0.161822,1.008176,1.294578,0.0,0.0,0.994475,0.007389,0.357778,0.996866,5.7e-05,1e-05,0.497822
231,136,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
232,149,3,0.0,0.0,0.043014,0.016274,0.161333,1.008176,1.290667,0.0,0.0,0.99562,0.006315,0.329039,0.997189,3.8e-05,0.0,0.502311
233,150,3,0.0,0.0,0.046496,0.016281,0.162178,1.008176,1.297422,0.0,0.0,0.995282,0.006782,0.329919,0.99724,0.000167,0.0,0.498222
234,153,3,0.0,0.0,0.056108,0.014803,0.1624,1.008176,1.2992,0.0,0.0,0.994391,0.007739,0.344912,0.996344,0.000141,0.000138,0.498133
235,160,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
236,165,3,0.0,0.0,0.049996,0.007863,0.163244,1.008176,1.305956,0.0,0.0,0.995013,0.006302,0.362906,0.995479,9e-06,0.0,0.492622
237,168,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
238,169,4,0.0,0.0,0.035776,0.013943,0.160889,1.008176,1.287111,0.0,0.0,0.996367,0.006039,0.325901,0.996678,5e-06,0.0,0.499333
239,178,2,0.0,0.0,0.0,0.0,0.007733,0.044437,0.061867,0.417256,0.550199,1.0,0.0,0.325269,0.782253,1.0,0.0,0.0
240,179,2,0.0,0.0,0.0,0.0,0.007733,0.044437,0.061867,0.417256,0.550199,1.0,0.0,0.325269,0.782253,1.0,0.0,0.0
241,192,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
242,195,3,0.0,0.0,0.052197,0.013371,0.162667,1.008176,1.301333,0.0,0.0,0.994758,0.006828,0.344912,0.996344,2.5e-05,0.0,0.498133
243,224,1,0.0,0.0,0.0,0.0,0.002,0.013153,0.016,0.130779,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
