rank,rule,class,C_a_bp,C_a_x8,C_a,C_v8,gz_byte,gz_bp,gz_x8,wG_a_bp,wG_a_x8,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean
86,22,3,0.7652,0.0,1.049016,0.019468,0.149778,0.920725,1.198222,0.659963,0.0,0.937911,0.028668,0.347237,0.902457,0.022001,0.022,0.457067
87,125,0,0.663708,0.666104,0.17872,0.003415,0.026711,0.207608,0.213689,0.969026,0.972524,0.882893,0.09872,0.0,0.939162,0.069096,0.0,0.370311
88,111,0,0.662241,0.672338,0.191487,0.003552,0.028667,0.201564,0.229333,0.965116,0.979832,0.883098,0.09866,0.0,0.938946,0.069504,0.0,0.369867
89,115,2,0.638986,0.61391,0.145832,2.9e-05,0.022978,0.261998,0.183822,0.989454,0.950624,0.962463,0.0047,0.0,0.892343,0.393393,0.391128,0.225156
90,137,4,0.628727,0.0,0.574488,0.861518,0.127156,0.83043,1.017244,0.934869,0.0,0.954395,0.061376,0.126661,0.970792,0.018111,0.016072,0.579289
91,110,4,0.623416,0.440791,0.513785,0.810085,0.114178,0.740491,0.913422,0.988919,0.699223,0.946387,0.058851,0.077879,0.971034,0.018031,0.015378,0.577911
92,139,2,0.531629,0.42871,0.070742,0.024319,0.0128,0.190544,0.1024,0.956701,0.771491,0.942683,0.0,0.0,0.794203,0.036166,0.031904,0.635733
93,193,4,0.509566,0.0,0.462902,0.732329,0.126356,0.827942,1.010844,0.937933,0.0,0.954132,0.05216,0.080484,0.970799,0.01542,0.014161,0.577822
94,116,2,0.480146,0.402133,0.06904,0.000575,0.013911,0.196232,0.111289,0.961266,0.805081,0.942683,0.0,0.0,0.798875,0.03641,0.000396,0.635733
95,88,2,0.476335,0.458716,0.102169,0.057247,0.021111,0.20903,0.168889,0.969881,0.934005,0.927513,0.030529,0.0,0.923374,0.041626,0.006916,0.648978
96,229,2,0.433306,0.415238,0.090908,0.128844,0.020622,0.207963,0.164978,0.969242,0.928827,0.940455,0.022159,0.0,0.934513,0.046275,0.040499,0.648978
97,173,2,0.429359,0.395287,0.078132,0.191431,0.017778,0.204053,0.142222,0.966781,0.890062,0.942544,0.005534,0.0,0.934307,0.071155,0.044374,0.675467
98,124,4,0.416791,0.4112,0.306826,0.571347,0.094089,0.602915,0.752711,0.999277,0.985873,0.944584,0.055847,0.033808,0.970306,0.014431,0.008346,0.575156
99,241,2,0.411972,0.344469,0.059904,0.039383,0.014267,0.217561,0.114133,0.974546,0.814863,0.93701,0.0,0.0,0.900898,5.8e-05,1.5e-05,0.543022
100,171,2,0.410968,0.334267,0.056302,0.037913,0.013378,0.210451,0.107022,0.970713,0.789545,0.93701,0.0,0.0,0.90063,4e-05,0.0,0.543022
101,244,2,0.390996,0.311717,0.05168,0.052773,0.012933,0.214717,0.103467,0.973076,0.775773,0.953197,0.0,0.0,0.89145,0.03993,0.034629,0.635733
102,42,2,0.384236,0.312987,0.052801,0.036447,0.013422,0.210807,0.107378,0.970918,0.79088,0.942683,0.0,0.0,0.899268,0.000196,0.0,0.543022
103,112,2,0.381837,0.319039,0.055393,0.039261,0.014222,0.216139,0.113778,0.973821,0.813664,0.942683,0.0,0.0,0.900942,0.000244,0.0,0.543022
104,74,2,0.367464,0.345325,0.071634,0.141594,0.019111,0.206897,0.152889,0.968589,0.910234,0.945868,0.021049,0.0,0.938306,0.038559,0.038287,0.635733
105,174,2,0.353292,0.280623,0.046234,0.044622,0.012756,0.208319,0.102044,0.969457,0.770047,0.953197,0.0,0.0,0.89403,0.022991,0.022411,0.609244
106,46,2,0.346042,0.285759,0.048284,0.016998,0.013467,0.193743,0.107733,0.95933,0.792208,0.962615,0.0,0.0,0.817387,0.025789,0.024565,0.609244
107,209,2,0.339777,0.287506,0.049678,0.012997,0.014089,0.191255,0.112711,0.957299,0.810028,0.962615,0.0,0.0,0.817387,0.025239,0.018237,0.609244
108,119,0,0.326771,0.318532,0.081218,0.0,0.025111,0.262709,0.200889,0.989602,0.96465,0.987073,0.001814,0.301712,0.831971,0.54811,0.548057,0.132444
109,63,0,0.326513,0.316969,0.079425,0.0,0.024578,0.26733,0.196622,0.990516,0.961562,0.987084,0.00166,0.301712,0.831971,0.546662,0.546603,0.132444
110,17,0,0.296216,0.28826,0.072759,0.0,0.0248,0.261998,0.1984,0.989454,0.962879,0.988255,0.002547,0.259358,0.778016,0.562227,0.533201,0.125822
111,3,0,0.295584,0.286759,0.071332,0.0,0.024356,0.26342,0.194844,0.989748,0.960198,0.988272,0.002383,0.259358,0.778016,0.561112,0.531196,0.125822
112,167,2,0.285524,0.292164,0.159597,0.037589,0.061289,0.222894,0.490311,0.977091,0.999815,0.968518,0.017226,0.0,0.922517,0.050908,0.05089,0.393778
113,108,2,0.182501,0.244531,0.034386,0.003031,0.007822,0.044081,0.062578,0.414316,0.555138,0.053333,0.224697,0.0,0.852014,0.658999,0.0,0.940356
114,9,0,0.160571,0.160937,0.042402,0.002232,0.026133,0.205475,0.209067,0.967698,0.969903,0.977689,0.006738,0.0,0.925613,0.092671,0.013337,0.344356
115,65,0,0.151546,0.151782,0.038924,0.005728,0.025289,0.200142,0.202311,0.964128,0.965624,0.97259,0.014548,0.0,0.939397,0.068482,0.0,0.370844
116,82,2,0.138249,0.141594,0.084431,0.020263,0.068711,0.220761,0.549689,0.976105,0.999721,0.984193,0.007509,0.0,0.926795,0.053911,0.053585,0.377333
117,181,2,0.133639,0.13672,0.071915,0.012776,0.058444,0.223249,0.467556,0.977252,0.999779,0.985281,0.005605,0.0,0.924544,0.057476,0.057318,0.370356
118,147,4,0.133242,0.131111,0.099011,0.000423,0.095467,0.643797,0.763733,0.998385,0.98242,0.994004,0.013631,0.490076,0.970269,0.140759,0.140719,0.2812
119,201,2,0.120496,0.154914,0.021704,0.000572,0.007689,0.045503,0.061511,0.426025,0.547715,0.04,0.195959,0.0,0.825578,0.69628,0.0,0.9536
120,138,2,0.118154,0.090901,0.014631,0.052683,0.012089,0.211873,0.096711,0.971523,0.747432,0.987138,0.0,0.0,0.910105,0.053101,0.053081,0.635733
121,54,4,0.113839,0.101361,0.090819,0.000405,0.1076,0.721649,0.8608,0.992384,0.88361,0.994951,0.009652,0.567235,0.960517,0.141651,0.141238,0.284178
122,208,2,0.098383,0.075599,0.012187,0.045158,0.012133,0.217917,0.097067,0.974724,0.748997,0.987138,0.0,0.0,0.914741,0.03266,0.031875,0.609244
123,129,3,0.09408,0.022869,0.081538,0.001186,0.122,0.792748,0.976,0.968808,0.235496,0.995083,0.006474,0.358821,0.85042,8e-06,0.0,0.496489
124,126,3,0.094061,0.022859,0.081504,0.001695,0.122,0.792392,0.976,0.969026,0.235496,0.995083,0.006474,0.342078,0.850531,8e-06,0.0,0.496489
125,31,2,0.093648,0.091777,0.023064,0.0,0.024667,0.234269,0.197333,0.98171,0.962094,0.995211,0.001764,0.330199,0.736058,0.671619,0.669063,0.079467
126,39,2,0.091482,0.088818,0.022353,1e-06,0.024711,0.271241,0.197689,0.991226,0.962358,0.99604,0.001096,0.319635,0.953848,0.306391,0.305525,0.191689
127,21,2,0.091242,0.088768,0.021662,0.0,0.023778,0.23818,0.190222,0.983074,0.956427,0.995323,0.001009,0.309712,0.715571,0.6723,0.672269,0.079467
128,122,3,0.086591,0.058303,0.072376,0.000453,0.115111,0.773196,0.920889,0.978796,0.659038,0.995542,0.006045,0.380295,0.842566,2e-05,1.6e-05,0.494844
129,161,3,0.081114,0.018606,0.070408,0.000298,0.122178,0.79417,0.977422,0.967923,0.222018,0.99572,0.005302,0.410672,0.853018,0.000704,0.000652,0.490756
130,83,2,0.07678,0.073974,0.017891,1e-06,0.023511,0.268752,0.188089,0.99078,0.954571,0.996749,0.000744,0.309822,0.946271,0.302362,0.296707,0.192533
131,87,2,0.075524,0.074125,0.018846,0.0,0.025022,0.236047,0.200178,0.982343,0.964153,0.994477,0.001458,0.0,0.756468,0.654654,0.642527,0.086089
132,7,2,0.072657,0.071571,0.018381,0.0,0.025333,0.23107,0.202667,0.980513,0.965864,0.996037,0.00112,0.2951,0.682041,0.69032,0.68624,0.072844
133,67,2,0.064366,0.061207,0.013484,9.6e-05,0.0208,0.226804,0.1664,0.978796,0.930754,0.993662,0.001062,0.0,0.954259,0.155753,0.080942,0.278133
134,143,2,0.05915,0.053039,0.009825,3e-06,0.016,0.188766,0.128,0.955169,0.856485,0.993707,0.0,0.0,0.753611,0.005267,0.0,0.543022
135,14,2,0.058803,0.052496,0.009583,3e-06,0.0156,0.182723,0.1248,0.949554,0.847722,0.993707,0.0,0.0,0.753611,0.005303,0.0,0.543022
136,213,2,0.058339,0.05104,0.008991,3e-06,0.014622,0.175613,0.116978,0.942069,0.824201,0.993707,0.0,0.0,0.753611,0.00534,0.0,0.543022
137,84,2,0.058109,0.050387,0.008748,3e-06,0.014222,0.172414,0.113778,0.938359,0.813664,0.993707,0.0,0.0,0.753611,0.005304,0.0,0.543022
138,53,2,0.053076,0.051357,0.012719,0.0,0.024222,0.272663,0.193778,0.991471,0.959357,0.996009,0.001298,0.0,0.956008,0.335547,0.333939,0.178711
139,27,2,0.052636,0.051077,0.012874,0.0,0.024756,0.275862,0.198044,0.991997,0.962619,0.99604,0.001096,0.0,0.956008,0.335561,0.334665,0.1788
140,184,2,0.035113,0.036204,0.010012,0.0,0.027689,0.180235,0.221511,0.947048,0.976456,0.996792,0.0,0.0,0.516119,0.709043,0.458291,0.066222
141,226,2,0.034984,0.035537,0.008801,0.0,0.024222,0.177746,0.193778,0.944421,0.959357,0.996792,0.0,0.0,0.508867,0.709043,0.344435,0.066222
142,15,2,0.021783,0.021215,0.005185,0.001743,0.023822,0.236047,0.190578,0.982343,0.956729,0.997947,0.0,0.330154,0.992044,0.006378,0.006225,0.450311
143,85,2,0.021714,0.021208,0.005175,0.00174,0.023778,0.227871,0.190222,0.979239,0.956427,0.997947,0.0,0.330154,0.992044,0.006378,0.006225,0.450311
144,103,2,0.021146,0.021193,0.00622,0.000737,0.029689,0.231426,0.237511,0.98065,0.982848,0.990816,0.001637,0.0,0.982699,0.090514,0.008716,0.329956
145,61,2,0.020326,0.021395,0.006466,0.000765,0.030711,0.170636,0.245689,0.9362,0.985417,0.990908,0.001364,0.0,0.982809,0.093465,0.009295,0.330444
146,25,2,0.018488,0.018083,0.004322,0.000294,0.023156,0.215073,0.185244,0.973264,0.951975,0.991747,0.001202,0.0,0.977813,0.106684,0.001464,0.317422
147,180,2,0.013097,0.013343,0.006161,0.011342,0.049911,0.232137,0.399289,0.980921,0.999308,0.998723,0.001717,0.264857,0.995452,0.00024,0.0,0.4868
148,81,0,0.010095,0.010196,0.002869,7.7e-05,0.028267,0.207252,0.226133,0.968808,0.978513,0.999487,0.0,0.328548,0.843711,0.037803,0.034521,0.384089
149,113,2,0.00972,0.009895,0.002792,1e-06,0.028356,0.196587,0.226844,0.961535,0.978813,0.999487,0.0,0.332874,0.784262,0.006378,0.0,0.450311
150,43,2,0.00962,0.009896,0.002796,1e-06,0.0284,0.184856,0.2272,0.95161,0.978962,0.999487,0.0,0.332874,0.784262,0.006305,0.0,0.450311
151,154,2,0.007574,0.007729,0.003439,0.099865,0.047778,0.22716,0.382222,0.978945,0.999034,0.991765,0.00393,0.0,0.990802,0.001923,0.001485,0.526711
152,210,2,0.005957,0.005997,0.001853,0.043418,0.031511,0.23107,0.252089,0.980513,0.987158,0.992952,0.002819,0.0,0.991487,9e-06,0.0,0.503244
153,166,2,0.004317,0.004347,0.001335,0.001993,0.031289,0.229648,0.250311,0.979957,0.986696,0.999583,0.000507,0.263667,0.993704,0.001198,0.00041,0.4768
154,117,0,0.00269,0.002712,0.000765,1.8e-05,0.028356,0.210451,0.226844,0.970713,0.978813,0.999872,0.0,0.32776,0.85291,0.057763,0.056642,0.3576
155,240,2,0.0026,0.002045,0.000337,0.014227,0.0128,0.232137,0.1024,0.980921,0.771491,0.996792,0.0,0.0,0.992044,0.005851,0.005586,0.543022
156,170,2,0.002591,0.002033,0.000334,0.014161,0.012667,0.224316,0.101333,0.977726,0.767137,0.996792,0.0,0.0,0.992044,0.005851,0.005585,0.543022
157,47,0,0.002441,0.002453,0.000678,9e-06,0.027689,0.212229,0.221511,0.971722,0.976456,0.999872,0.0,0.332577,0.84774,0.037445,0.015276,0.384089
158,142,0,0.001196,0.001063,0.000195,1e-06,0.015778,0.192677,0.126222,0.958471,0.851676,0.999872,0.0,0.0,0.784262,0.006357,0.0,0.543022
159,212,0,0.001182,0.001029,0.000181,1e-06,0.014622,0.180235,0.116978,0.947048,0.824201,0.999872,0.0,0.0,0.784262,0.006284,0.0,0.543022
160,99,2,0.000281,0.000294,7.7e-05,0.0,0.026089,0.164237,0.208711,0.927804,0.969692,0.999867,5.7e-05,0.0,0.395044,0.905882,0.154707,0.013689
161,57,2,0.000268,0.000277,7e-05,0.0,0.024667,0.165304,0.197333,0.929273,0.962094,0.999872,0.0,0.0,0.392419,0.910568,0.263601,0.013244
162,232,2,0.0,0.0,0.0,0.0,0.006489,0.044792,0.051911,0.420188,0.477014,0.0,0.0,0.0,0.787744,1.0,0.0,0.993333
163,77,2,0.0,0.0,0.0,0.0,0.006267,0.044081,0.050133,0.414316,0.463165,0.0,0.0,0.0,0.782253,1.0,0.0,0.993333
164,68,2,0.0,0.0,0.0,0.0,0.006533,0.043015,0.052267,0.405443,0.479756,0.0,0.0,0.0,0.704353,1.0,0.0,0.993333
165,196,2,0.0,0.0,0.0,0.0,0.006533,0.043015,0.052267,0.405443,0.479756,0.0,0.0,0.0,0.704353,1.0,0.0,0.993333
166,236,2,0.0,0.0,0.0,0.0,0.006667,0.045148,0.053333,0.423111,0.487925,0.0,0.0,0.0,0.814296,1.0,0.0,0.993333
167,206,2,0.0,0.0,0.0,0.0,0.006533,0.042659,0.052267,0.402468,0.479756,0.0,0.0,0.0,0.704353,1.0,0.0,0.993333
168,207,2,0.0,0.0,0.0,0.0,0.006533,0.042659,0.052267,0.402468,0.479756,0.0,0.0,0.0,0.704353,1.0,0.0,0.993333
169,220,2,0.0,0.0,0.0,0.0,0.006267,0.041948,0.050133,0.396493,0.463165,0.0,0.0,0.0,0.698659,1.0,0.0,0.993333
170,221,2,0.0,0.0,0.0,0.0,0.006267,0.041948,0.050133,0.396493,0.463165,0.0,0.0,0.0,0.698659,1.0,0.0,0.993333
171,12,2,0.0,0.0,0.0,0.0,0.006311,0.041593,0.050489,0.393493,0.465953,0.0,0.0,0.0,0.698659,1.0,0.0,0.993333
172,140,2,0.0,0.0,0.0,0.0,0.006311,0.041593,0.050489,0.393493,0.465953,0.0,0.0,0.0,0.698659,1.0,0.0,0.993333
173,200,2,0.0,0.0,0.0,0.0,0.006667,0.044437,0.053333,0.417256,0.487925,0.0,0.0,0.0,0.856216,1.0,0.0,0.993333
174,222,2,0.0,0.0,0.0,0.0,0.006311,0.039104,0.050489,0.372258,0.465953,0.0,0.0,0.0,0.545776,1.0,0.0,0.993333
175,217,2,0.0,0.0,0.0,0.0,0.006178,0.038749,0.049422,0.369191,0.457561,0.0,0.0,0.0,0.586543,1.0,0.0,0.993333
