rule,class,auc,ca_x1,ca_peak,entity_scale
71,2,5.419641,0.000638,3.750564,4
72,2,0.270002,0.05572,0.106825,2
73,2,8.906938,0.051856,3.73199,4
74,2,8.388511,0.593114,2.878073,none
75,3,8.882494,0.02886,3.817991,2
76,2,0.153381,0.011844,0.050749,4
77,2,0.13476,7.9e-05,0.065497,4
78,2,0.135313,0.006357,0.065683,2
79,2,0.14462,0.00703,0.068658,2
80,0,9.488884,1.08896,3.937354,1
81,0,7.651362,0.356685,3.929183,1
82,2,6.963507,0.742905,3.036362,4
83,2,5.456721,0.282092,4.044092,1
84,2,5.29639,0.006635,2.889482,2
85,2,7.105935,0.000454,3.769781,4
86,3,9.678014,0.027638,4.225394,2
87,2,7.118089,0.797008,3.445743,1
88,2,6.98551,0.837149,2.45194,4
89,3,9.771663,0.026664,3.859147,2
90,3,11.828623,3.602521,3.602521,1
91,2,7.686611,0.988995,3.887121,1
92,2,0.295834,0.004953,0.129179,4
93,2,0.179003,0.005469,0.096436,4
94,2,3.924644,0.204027,1.681778,2
95,0,10.155606,1.990262,3.825976,4
96,1,0.044271,0.009822,0.012868,none
97,4,10.483562,1.263954,4.196672,2
98,2,3.894974,0.723535,3.164714,1
99,2,4.447636,0.002103,2.084775,none
100,2,0.235515,0.075891,0.150654,1
101,3,9.735953,0.032891,4.184383,2
102,3,14.546303,3.425855,4.039462,2
103,2,5.113752,0.040996,2.774519,1
104,2,0.282842,0.104081,0.104081,1
105,3,9.277761,0.022623,3.860873,2
106,4,8.617626,0.03282,3.617904,2
107,4,8.759529,1.657658,4.213062,1
108,2,6.829363,0.456925,3.226738,4
109,2,8.680408,0.056722,4.119553,2
110,4,4.815562,0.106483,3.266989,1
111,0,5.593999,0.255179,3.283811,1
112,2,9.245791,0.265213,3.162654,none
113,2,5.000469,8e-05,2.00763,2
114,2,5.009178,0.597057,2.768153,2
115,2,4.041273,1.495766,1.495766,1
116,2,7.785752,0.448439,3.472521,4
117,0,11.263442,0.298512,4.260016,4
118,2,5.635809,1.052678,3.412725,1
119,0,13.508022,3.071078,4.277492,2
120,4,8.939157,0.022578,3.848396,2
121,4,8.298717,1.355955,3.84861,1
122,3,6.228991,0.11345,4.040688,1
123,2,4.698751,0.822382,3.863755,1
124,4,4.581685,0.100279,3.199251,1
125,0,6.606751,0.259567,4.510185,1
126,3,7.880951,0.14943,4.114413,4
127,0,12.908535,2.369518,3.867841,4
128,1,0.006475,0.000301,0.004704,none
129,3,8.871129,0.149372,5.225854,4
130,2,2.286733,1.607931,1.607931,1
131,2,8.196496,0.87557,3.51017,4
132,2,0.160883,0.057661,0.061854,1
133,2,6.046727,0.62738,2.461072,none
134,2,9.087742,1.092102,3.949702,4
135,3,8.743239,0.029311,3.846217,2
136,1,0.014439,0.001232,0.008491,none
137,4,12.276231,0.147448,4.91567,4
138,2,7.624771,0.490196,2.748574,4
139,2,3.89067,0.423805,2.707794,1
140,2,0.142279,0.046948,0.090708,1
141,2,0.010231,0.00513,0.00513,1
142,0,5.052692,0.000105,2.084984,2
143,2,5.572082,0.002728,2.329367,none
144,2,2.360151,1.558781,1.558781,1
145,2,9.242168,1.290225,2.832632,4
146,3,9.571138,3.107553,3.770153,1
147,4,8.88151,0.202892,3.274893,2
148,2,12.412247,1.081339,3.995714,2
149,3,8.902138,0.027266,3.833273,2
150,3,8.716541,0.022633,3.842683,2
151,3,7.440291,1.225783,4.153036,1
152,2,4.909326,1.961537,1.967633,1
153,3,14.151523,3.424869,3.906002,2
154,2,9.266874,0.021247,4.932199,4
155,2,7.647412,1.071428,3.810696,1
156,2,5.075129,0.006509,2.297022,none
157,2,5.825727,0.008911,3.451059,4
158,2,4.586307,0.846615,2.931104,1
159,0,7.763432,2.167682,2.997862,1
160,1,0.02333,0.002624,0.014998,none
161,3,5.937687,0.131808,3.719355,4
162,2,3.055499,1.390025,1.664898,1
163,2,3.610971,1.285489,2.320691,1
164,0,0.368095,0.11941,0.152428,2
165,3,11.170897,3.592288,3.592288,1
166,2,8.399328,0.022714,4.024317,2
167,2,7.153426,1.033784,3.551516,1
168,1,0.148347,0.037543,0.042557,1
169,4,9.954459,0.023618,3.867328,4
170,2,7.765076,1.6e-05,4.36226,4
171,2,4.881074,0.188789,3.14747,1
172,2,0.617743,0.185016,0.259124,2
173,2,6.188261,0.891747,2.935215,1
174,2,4.37083,0.606713,2.706655,1
175,0,7.601823,1.089909,3.647722,1
176,2,3.360128,1.388939,1.970588,1
177,2,3.439647,1.267098,2.168094,1
178,2,3.14916,3.1e-05,1.513407,4
179,2,3.153702,5.4e-05,1.511761,4
180,2,8.435415,0.01404,3.629224,2
181,2,5.466882,0.712384,2.483924,1
182,3,10.302943,3.141514,3.967741,1
183,3,9.921636,2.833433,4.034661,1
184,2,5.346009,0.000224,2.818732,none
185,2,4.877587,0.603529,2.15759,2
186,2,5.297075,1.227905,2.102614,1
187,2,6.224167,1.873044,2.312405,1
188,2,3.202985,1.851526,1.851526,1
189,0,3.873514,1.667149,2.205646,1
190,2,3.337602,1.573131,1.764254,1
191,0,4.742577,1.381728,3.360631,1
192,1,0.016496,0.001232,0.010223,none
193,4,9.609983,0.108484,3.815698,4
194,2,2.649289,1.836641,1.836641,1
195,3,14.563113,3.412114,4.141772,4
196,2,0.108923,0.046891,0.06069,1
197,2,0.00789,0.005854,0.005854,1
198,2,3.910941,0.006798,2.35319,4
199,2,4.989517,0.014669,3.292372,4
200,2,0.114228,0.023408,0.03908,4
201,2,0.644327,0.52066,0.52066,1
202,2,0.489899,0.289105,0.289105,1
203,2,0.121259,0.076323,0.076323,1
204,2,0.087169,1e-06,0.032337,2
205,2,0.098223,0.009209,0.048525,1
206,2,0.096889,0.042573,0.053788,1
207,2,0.089238,0.041786,0.047228,1
208,2,7.125827,0.488483,2.720922,4
209,2,5.474912,0.50952,3.695539,1
210,2,6.819498,0.026967,3.332905,4
211,2,8.043906,1.123069,4.067414,1
212,0,6.197831,0.001161,2.785313,2
213,2,6.69001,0.006822,2.769512,2
214,2,3.366585,0.867723,1.965363,1
215,0,5.273558,2.321398,2.951942,1
216,2,0.450966,0.280015,0.280015,1
217,2,0.122357,0.074056,0.074056,1
218,0,0.128758,0.127503,0.127503,1
219,2,0.082822,0.082166,0.082166,1
220,2,0.124673,0.042629,0.052245,1
221,2,0.111808,0.041843,0.046149,1
222,2,0.094582,0.050124,0.050124,1
223,2,0.054475,0.054118,0.054118,1
224,1,0.159509,0.039501,0.045673,1
225,4,10.596699,0.039326,4.481916,2
226,2,5.359468,0.000329,2.421025,none
227,2,5.861817,0.603997,2.067099,2
228,2,0.847279,0.170748,0.357063,2
229,2,5.379985,0.695467,4.030236,1
230,2,3.342108,1.949122,1.949122,1
231,0,3.316625,1.72899,1.72899,1
232,2,0.044357,0.000784,0.043178,1
233,2,0.208916,0.198669,0.198669,1
234,2,0.075075,0.068657,0.068657,1
235,2,0.013053,0.010798,0.010798,1
236,2,0.023457,0.023116,0.023116,1
237,2,0.058312,0.055654,0.055654,1
238,2,0.0047,0.001014,0.003469,1
239,1,0.000585,0.000289,0.000289,1
240,2,7.562059,1.6e-05,4.052143,4
241,2,6.631133,0.191473,3.378381,1
242,2,4.258076,1.228861,1.711946,1
243,2,5.756542,1.884473,2.235354,1
244,2,6.181177,0.600962,4.359143,1
245,0,7.969903,1.089698,3.666,1
246,2,3.517486,1.526126,1.991142,1
247,0,4.414544,1.344426,3.069901,1
248,1,0.082815,0.077747,0.077747,1
249,1,0.013923,0.010082,0.010082,1
250,1,0.005866,0.0037,0.0037,1
251,1,0.004044,0.000853,0.002973,1
252,1,0.004001,0.001014,0.00277,1
253,1,0.003589,0.000288,0.003083,1
254,1,0.000572,0.000275,0.000275,1
255,1,0.000378,8.1e-05,0.000114,4
