experiment,name,class,seed,pool_factor,C_a,mi1,tc_mean,gzip_ratio,op_up,op_down,mean_H
ECA,Rule_23,2,2,1,4.3e-05,0.99266,0.000547,0.277547,0.333086,0.769282,0.999604
ECA,Rule_23,2,2,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_23,2,2,4,2.199048,0.0,0.515406,0.6325,0.335015,0.766246,0.797044
ECA,Rule_23,2,2,8,0.472164,0.0,0.654813,0.968688,0.0,0.655975,0.650762
ECA,Rule_23,2,2,16,0.0,0.0,0.561625,1.0,0.313495,0.696657,0.753027
ECA,Rule_30,3,0,1,0.031498,1.5e-05,0.502695,0.335273,0.331344,0.997994,0.99697
ECA,Rule_30,3,0,2,4.353484,0.053868,0.751312,0.323328,0.325736,0.427187,0.426123
ECA,Rule_30,3,0,4,3.655813,0.030488,0.800844,0.519,0.312727,0.436958,0.428854
ECA,Rule_30,3,0,8,1.908966,0.060919,0.695437,0.947688,0.421528,0.596777,0.592131
ECA,Rule_30,3,0,16,0.0,0.094498,0.631125,1.0,0.424509,0.669409,0.669212
ECA,Rule_30,3,1,1,0.027687,0.000987,0.49882,0.335094,0.330682,0.998322,0.997325
ECA,Rule_30,3,1,2,4.184033,0.04376,0.760406,0.318203,0.310514,0.409223,0.408295
ECA,Rule_30,3,1,4,3.593755,0.026819,0.811625,0.51425,0.278107,0.419995,0.411626
ECA,Rule_30,3,1,8,1.966651,0.058854,0.696313,0.945438,0.400132,0.596315,0.590928
ECA,Rule_30,3,1,16,0.0,0.081197,0.642875,1.0,0.436664,0.652755,0.651432
ECA,Rule_30,3,2,1,0.02496,0.000191,0.496859,0.334359,0.330191,0.99839,0.997575
ECA,Rule_30,3,2,2,4.23954,0.047128,0.763594,0.315563,0.333439,0.402894,0.402075
ECA,Rule_30,3,2,4,3.518956,0.024839,0.819937,0.508813,0.263289,0.408299,0.399875
ECA,Rule_30,3,2,8,1.929399,0.06677,0.68875,0.94825,0.410718,0.60564,0.600202
ECA,Rule_30,3,2,16,0.0,0.106047,0.626375,1.0,0.421591,0.675226,0.673598
ECA,Rule_90,3,0,1,2.8455,0.168876,0.872242,0.13957,0.162975,0.253909,0.254109
ECA,Rule_90,3,0,2,1.50911,0.053104,0.940844,0.215328,0.166713,0.118812,0.118513
ECA,Rule_90,3,0,4,1.144205,0.003669,0.950125,0.403187,0.12723,0.12864,0.104123
ECA,Rule_90,3,0,8,1.999957,0.014158,0.928063,0.7665,0.216081,0.158367,0.145207
ECA,Rule_90,3,0,16,0.0,0.033944,0.920875,1.0,0.20335,0.158356,0.155811
ECA,Rule_90,3,1,1,2.903441,0.147118,0.869102,0.13918,0.182871,0.252839,0.252579
ECA,Rule_90,3,1,2,0.977705,0.005497,0.952406,0.208313,0.145622,0.095973,0.09307
ECA,Rule_90,3,1,4,1.738876,0.079013,0.943281,0.404469,0.144257,0.141643,0.116226
ECA,Rule_90,3,1,8,2.060454,0.003984,0.925,0.7675,0.219139,0.161383,0.148097
ECA,Rule_90,3,1,16,0.0,0.039544,0.930125,1.0,0.208256,0.142469,0.141381
ECA,Rule_90,3,2,1,2.880347,0.140657,0.868727,0.139461,0.1659,0.253448,0.253471
ECA,Rule_90,3,2,2,1.333821,0.021588,0.943125,0.213891,0.166104,0.110565,0.110098
ECA,Rule_90,3,2,4,1.457296,0.005564,0.942063,0.406531,0.150643,0.14117,0.117164
ECA,Rule_90,3,2,8,1.990578,0.009952,0.926687,0.766563,0.216022,0.154897,0.143261
ECA,Rule_90,3,2,16,0.0,0.014606,0.926125,1.0,0.21198,0.147646,0.146597
ECA,Rule_110,4,0,1,0.095458,0.022732,0.580266,0.294273,0.029198,0.97124,0.985073
ECA,Rule_110,4,0,2,2.2e-05,0.0,0.997562,0.188016,0.003802,0.001503,0.001516
ECA,Rule_110,4,0,4,3.149067,0.033366,0.744781,0.555094,0.327317,0.53494,0.541306
ECA,Rule_110,4,0,8,1.360879,0.000166,0.6755,0.95725,0.418668,0.641455,0.64491
ECA,Rule_110,4,0,16,0.0,0.001344,0.7405,1.0,0.435037,0.591233,0.589847
ECA,Rule_110,4,1,1,0.09644,0.026949,0.574078,0.248242,0.022305,0.969098,0.983469
ECA,Rule_110,4,1,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_110,4,1,4,3.06825,0.054228,0.737344,0.544156,0.279565,0.539365,0.554167
ECA,Rule_110,4,1,8,1.338015,0.026451,0.663812,0.960375,0.425528,0.635787,0.643054
ECA,Rule_110,4,1,16,0.0,0.001268,0.795875,1.0,0.44386,0.492108,0.483411
ECA,Rule_110,4,2,1,0.127052,0.067216,0.575797,0.235531,0.039722,0.969608,0.984643
ECA,Rule_110,4,2,2,3e-05,0.0,0.997,0.187984,0.003802,0.001575,0.001623
ECA,Rule_110,4,2,4,2.810467,0.050617,0.733531,0.547344,0.260206,0.54853,0.559478
ECA,Rule_110,4,2,8,2.983188,0.056705,0.735187,0.91175,0.45275,0.50328,0.503296
ECA,Rule_110,4,2,16,0.0,0.010978,0.771625,1.0,0.469851,0.534292,0.526452
ECA,Rule_54,4,0,1,0.741324,0.227157,0.27757,0.271633,0.556895,0.962937,0.970818
ECA,Rule_54,4,0,2,3.687192,0.025932,0.835125,0.277094,0.285949,0.330305,0.317116
ECA,Rule_54,4,0,4,3.563398,0.020849,0.841469,0.49225,0.298726,0.340836,0.340995
ECA,Rule_54,4,0,8,3.031463,0.055826,0.743875,0.90975,0.451711,0.503098,0.500752
ECA,Rule_54,4,0,16,0.0,0.062746,0.62425,1.0,0.460584,0.669085,0.66773
ECA,Rule_54,4,1,1,0.689904,0.117,0.277758,0.272195,0.564533,0.962685,0.969885
ECA,Rule_54,4,1,2,3.675025,0.024085,0.832375,0.278953,0.302795,0.330889,0.318569
ECA,Rule_54,4,1,4,3.588983,0.024839,0.838562,0.490938,0.306932,0.351358,0.35066
ECA,Rule_54,4,1,8,3.227093,0.075234,0.736375,0.910625,0.449281,0.5182,0.510508
ECA,Rule_54,4,1,16,0.0,0.129834,0.623,1.0,0.448987,0.672838,0.669276
ECA,Rule_54,4,2,1,0.434142,0.159233,0.282023,0.281148,0.45841,0.97544,0.980865
ECA,Rule_54,4,2,2,3.961066,0.041043,0.815437,0.285703,0.302832,0.345938,0.341101
ECA,Rule_54,4,2,4,3.463017,0.030488,0.85025,0.485219,0.258625,0.337642,0.331402
ECA,Rule_54,4,2,8,3.148028,0.057965,0.747563,0.905813,0.445361,0.499205,0.492199
ECA,Rule_54,4,2,16,0.0,0.103093,0.609125,1.0,0.426354,0.689018,0.689318
GoL,GoL B3/S23,4,0,1,2.881556,0.232203,0.889758,0.100364,0.365965,0.510143,0.539088
GoL,GoL B3/S23,4,0,2,3.371149,0.375586,0.893345,0.156196,0.171815,0.640896,0.670546
GoL,GoL B3/S23,4,0,4,2.620793,0.352888,0.888613,0.291816,0.072729,0.734693,0.741546
GoL,GoL B3/S23,4,0,8,3.064184,0.436439,0.873516,0.635234,0.305786,0.77237,0.774223
GoL,GoL B3/S23,4,1,1,2.717861,0.272082,0.90072,0.095031,0.318098,0.478249,0.507533
GoL,GoL B3/S23,4,1,2,2.808368,0.409035,0.904175,0.155776,0.113333,0.630117,0.661251
GoL,GoL B3/S23,4,1,4,2.508255,0.728302,0.902207,0.296543,0.095415,0.745335,0.751022
GoL,GoL B3/S23,4,1,8,2.902226,0.594758,0.888906,0.650312,0.308698,0.769755,0.77352
GoL,GoL B3/S23,4,2,1,2.374684,0.385571,0.919989,0.085656,0.267349,0.426946,0.449322
GoL,GoL B3/S23,4,2,2,2.795766,0.560553,0.921338,0.150806,0.275915,0.611074,0.640879
GoL,GoL B3/S23,4,2,4,2.04804,0.545033,0.919746,0.289766,0.046976,0.722464,0.730446
GoL,GoL B3/S23,4,2,8,2.514171,0.61314,0.912187,0.6375,0.305674,0.770745,0.775653
GoL,GoL B36/S23,4,0,1,3.425523,0.193159,0.859059,0.110507,0.439264,0.563606,0.59152
GoL,GoL B36/S23,4,0,2,3.657236,0.291444,0.872754,0.157573,0.23045,0.640018,0.667834
