rule,class,auc,ca_x1,ca_peak
102,3,14.546303,3.425855,4.039462
103,2,5.113752,0.040996,2.774519
104,2,0.282842,0.104081,0.104081
105,3,9.277761,0.022623,3.860873
106,4,8.617626,0.03282,3.617904
107,4,8.759529,1.657658,4.213062
108,2,6.829363,0.456925,3.226738
109,2,8.680408,0.056722,4.119553
110,4,4.815562,0.106483,3.266989
111,0,5.593999,0.255179,3.283811
112,2,9.245791,0.265213,3.162654
113,2,5.000469,8e-05,2.00763
114,2,5.009178,0.597057,2.768153
115,2,4.041273,1.495766,1.495766
116,2,7.785752,0.448439,3.472521
117,0,11.263442,0.298512,4.260016
118,2,5.635809,1.052678,3.412725
119,0,13.508022,3.071078,4.277492
120,4,8.939157,0.022578,3.848396
121,4,8.298717,1.355955,3.84861
122,3,6.228991,0.11345,4.040688
123,2,4.698751,0.822382,3.863755
124,4,4.581685,0.100279,3.199251
125,0,6.606751,0.259567,4.510185
126,3,7.880951,0.14943,4.114413
127,0,12.908535,2.369518,3.867841
128,1,0.006475,0.000301,0.004704
129,3,8.871129,0.149372,5.225854
130,2,2.286733,1.607931,1.607931
131,2,8.196496,0.87557,3.51017
132,2,0.160883,0.057661,0.061854
133,2,6.046727,0.62738,2.461072
134,2,9.087742,1.092102,3.949702
135,3,8.743239,0.029311,3.846217
136,1,0.014439,0.001232,0.008491
137,4,12.276231,0.147448,4.91567
138,2,7.624771,0.490196,2.748574
139,2,3.89067,0.423805,2.707794
140,2,0.142279,0.046948,0.090708
141,2,0.010231,0.00513,0.00513
142,0,5.052692,0.000105,2.084984
143,2,5.572082,0.002728,2.329367
144,2,2.360151,1.558781,1.558781
145,2,9.242168,1.290225,2.832632
146,3,9.571138,3.107553,3.770153
147,4,8.88151,0.202892,3.274893
148,2,12.412247,1.081339,3.995714
149,3,8.902138,0.027266,3.833273
150,3,8.716541,0.022633,3.842683
151,3,7.440291,1.225783,4.153036
152,2,4.909326,1.961537,1.967633
153,3,14.151523,3.424869,3.906002
154,2,9.266874,0.021247,4.932199
155,2,7.647412,1.071428,3.810696
156,2,5.075129,0.006509,2.297022
157,2,5.825727,0.008911,3.451059
158,2,4.586307,0.846615,2.931104
159,0,7.763432,2.167682,2.997862
160,1,0.02333,0.002624,0.014998
161,3,5.937687,0.131808,3.719355
162,2,3.055499,1.390025,1.664898
163,2,3.610971,1.285489,2.320691
164,0,0.368095,0.11941,0.152428
165,3,11.170897,3.592288,3.592288
166,2,8.399328,0.022714,4.024317
167,2,7.153426,1.033784,3.551516
168,1,0.148347,0.037543,0.042557
169,4,9.954459,0.023618,3.867328
170,2,7.765076,1.6e-05,4.36226
171,2,4.881074,0.188789,3.14747
172,2,0.617743,0.185016,0.259124
173,2,6.188261,0.891747,2.935215
174,2,4.37083,0.606713,2.706655
175,0,7.601823,1.089909,3.647722
176,2,3.360128,1.388939,1.970588
177,2,3.439647,1.267098,2.168094
178,2,3.14916,3.1e-05,1.513407
179,2,3.153702,5.4e-05,1.511761
180,2,8.435415,0.01404,3.629224
181,2,5.466882,0.712384,2.483924
182,3,10.302943,3.141514,3.967741
183,3,9.921636,2.833433,4.034661
184,2,5.346009,0.000224,2.818732
185,2,4.877587,0.603529,2.15759
186,2,5.297075,1.227905,2.102614
187,2,6.224167,1.873044,2.312405
188,2,3.202985,1.851526,1.851526
189,0,3.873514,1.667149,2.205646
190,2,3.337602,1.573131,1.764254
191,0,4.742577,1.381728,3.360631
192,1,0.016496,0.001232,0.010223
193,4,9.609983,0.108484,3.815698
194,2,2.649289,1.836641,1.836641
