name,f,k,seed,expected_class,pool_factor,n_supercells,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,std_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
worm_complex,0.055,0.062,0,complex,1,16384,0.184729,0.937709,0.325405,0.973186,0.051786,0.0,0.487203,0.811278,0.0,0.95513,0.999812,0.551504,0.261893,0.476046
worm_complex,0.055,0.062,0,complex,2,4096,0.262878,0.949981,0.269107,0.973145,0.090786,0.0,0.607287,0.811278,0.0,0.95513,0.999213,0.458031,0.262279,0.720104
worm_complex,0.055,0.062,0,complex,4,1024,0.333215,0.949348,0.321727,0.973281,0.159121,0.0,0.750055,0.811278,0.0,0.95513,0.986599,0.465734,0.261006,0.920335
worm_complex,0.055,0.062,0,complex,8,256,0.52214,0.808858,0.808858,0.970625,0.287891,0.0,0.792188,0.811278,0.0,0.95513,0.96915,0.957204,0.285583,0.993703
worm_complex,0.055,0.062,0,complex,16,64,0.271363,0.0,0.0,0.969375,0.651875,0.0,0.807471,0.811278,0.0,0.95513,0.958351,0.0,0.297022,0.998104
worm_complex,0.055,0.062,1,complex,1,16384,0.18607,0.933906,0.31203,0.973064,0.05098,0.0,0.477684,0.811278,0.0,0.95513,0.9998,0.576735,0.26303,0.469791
worm_complex,0.055,0.062,1,complex,2,4096,0.252884,0.954642,0.262865,0.973223,0.089321,0.0,0.596679,0.811278,0.0,0.95513,0.999359,0.420435,0.261552,0.712977
worm_complex,0.055,0.062,1,complex,4,1024,0.37846,0.922207,0.353792,0.973047,0.157891,0.0,0.740899,0.811278,0.0,0.95513,0.988829,0.650416,0.263189,0.918431
worm_complex,0.055,0.062,1,complex,8,256,0.504204,0.824829,0.824829,0.971406,0.285859,0.0,0.795359,0.811278,0.0,0.95513,0.967163,0.94157,0.278391,0.993442
worm_complex,0.055,0.062,1,complex,16,64,0.297042,0.0,0.0,0.96625,0.64,0.0,0.808346,0.811278,0.0,0.95513,0.957631,0.0,0.325244,0.998502
solitons,0.025,0.06,0,complex,1,16384,0.217356,0.934802,0.30552,0.972551,0.060581,0.0,0.52728,0.811278,0.0,0.95513,0.999791,0.570466,0.267795,0.541171
solitons,0.025,0.06,0,complex,2,4096,0.312836,0.934071,0.313699,0.972363,0.102578,0.0,0.657372,0.811278,0.0,0.95513,0.997885,0.575719,0.26954,0.772211
solitons,0.025,0.06,0,complex,4,1024,0.423423,0.910351,0.245548,0.971211,0.176816,0.0,0.785506,0.811278,0.0,0.95513,0.972957,0.704133,0.280192,0.943408
solitons,0.025,0.06,0,complex,8,256,0.284275,1.0,0.0,0.967969,0.304063,0.0,0.798383,0.811278,0.0,0.95513,0.965152,0.0,0.309789,0.995438
solitons,0.025,0.06,0,complex,16,64,0.336243,0.0,0.0,0.961875,0.6375,0.0,0.792314,0.811278,0.0,0.95513,0.969074,0.0,0.363793,0.998575
solitons,0.025,0.06,1,complex,1,16384,0.257059,0.90553,0.366042,0.970928,0.061572,0.0,0.524965,0.811278,0.0,0.95513,0.999795,0.736398,0.2828,0.548143
solitons,0.025,0.06,1,complex,2,4096,0.361687,0.912491,0.404309,0.970938,0.106411,0.0,0.65551,0.811278,0.0,0.95513,0.997962,0.703519,0.28271,0.787232
solitons,0.025,0.06,1,complex,4,1024,0.477568,0.841969,0.345355,0.971211,0.177852,0.0,0.786396,0.811278,0.0,0.95513,0.972478,0.916813,0.280192,0.944535
solitons,0.025,0.06,1,complex,8,256,0.295173,0.0,0.0,0.966563,0.305234,0.0,0.801827,0.811278,0.0,0.95513,0.962714,0.0,0.322446,0.995543
solitons,0.025,0.06,1,complex,16,64,0.440035,0.0,0.0,0.9475,0.648438,0.0,0.807392,0.811278,0.0,0.95513,0.958415,0.0,0.48155,0.998229
chaotic,0.026,0.051,0,chaotic,1,16384,0.595853,0.244918,0.215613,0.813752,0.034763,0.0,0.404373,0.811278,0.0,0.95513,0.999372,0.959132,0.952907,0.334274
chaotic,0.026,0.051,0,chaotic,2,4096,1.028971,0.244654,0.213947,0.813447,0.06583,0.0,0.491698,0.811278,0.0,0.95513,0.999816,0.958186,0.953187,0.577231
chaotic,0.026,0.051,0,chaotic,4,1024,1.496937,0.228256,0.165046,0.813047,0.129727,0.0,0.612703,0.811278,0.0,0.95513,0.999126,0.909783,0.953551,0.861018
chaotic,0.026,0.051,0,chaotic,8,256,1.334334,0.222371,0.053469,0.807188,0.271562,0.0,0.720481,0.811278,0.0,0.95513,0.992559,0.47764,0.958581,0.991282
chaotic,0.026,0.051,0,chaotic,16,64,1.737304,0.219156,0.162197,0.793125,0.614062,0.0,0.776145,0.811278,0.0,0.95513,0.977523,0.902097,0.968576,0.999102
chaotic,0.026,0.051,1,chaotic,1,16384,0.566566,0.214621,0.17905,0.802793,0.033298,0.0,0.409079,0.811278,0.0,0.95513,0.999426,0.9203,0.962,0.321199
chaotic,0.026,0.051,1,chaotic,2,4096,1.0029,0.213643,0.191836,0.802539,0.064023,0.0,0.499205,0.811278,0.0,0.95513,0.999818,0.931443,0.962189,0.565059
chaotic,0.026,0.051,1,chaotic,4,1024,1.516004,0.230121,0.184014,0.801289,0.126895,0.0,0.622104,0.811278,0.0,0.95513,0.998949,0.931929,0.963105,0.853511
chaotic,0.026,0.051,1,chaotic,8,256,1.681034,0.189317,0.140226,0.796406,0.269297,0.0,0.72858,0.811278,0.0,0.95513,0.991257,0.846551,0.96648,0.99088
chaotic,0.026,0.051,1,chaotic,16,64,1.79249,0.233652,0.232827,0.79,0.627812,0.0,0.785229,0.811278,0.0,0.95513,0.973105,0.963014,0.970452,0.998823
