rule,class,rank,score,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G
124,C4,1,1.245575876155602,0.9836194981547827,0.013996397988970764,0.14347724508258894,0.9700490855751372,0.017336088996475187,0.014752907965312551,0.5789955555555555,0.12104,1.3283979538359176,0.9993951394549802,0.02514046888631051,0.07049163281374701,0.9999211821186381,0.915269867530716
137,C4,2,1.2347838695514077,0.9833708057769541,0.013232509009687485,0.1403382623940094,0.9701849675902622,0.015989018281571312,0.013077214280434629,0.5776533333333334,0.12371555555555554,1.354480786882061,0.9999874364046731,0.02061542148742528,0.055074668562837305,0.9995698703100877,0.8936102909046733
193,C4,3,1.1864761266992088,0.9836988923985599,0.013876459590793602,0.154565415429483,0.9701768272279157,0.017109245526198396,0.014898729335479175,0.5795555555555556,0.12509333333333333,1.3264953810499214,0.989442307928693,0.025059610243356956,0.07199091890953711,0.9999845680203088,0.8816720869956819
110,C4,4,1.1574410369807984,0.9843894763637028,0.012840713291657677,0.11638568005432859,0.9707529930033942,0.016759264156365177,0.014961373138612644,0.5793688888888888,0.12398222222222222,1.302421344918631,0.9723930293976673,0.024658300984388606,0.06426569532019216,0.9999688832001871,0.8913399412086026
73,C2,5,0.40903834389454985,0.9918295446168706,0.007720144118325373,0.19488655068798663,0.9694994757665067,0.07231504067053865,0.0,0.6638133333333333,0.08045333333333332,0.7228056221659371,0.8601256659404997,0.0,0.0,0.71017758377918,0.9264321805524312
109,C2,6,0.3798731337785104,0.9937624392780606,0.006318129382238427,0.19232018515501484,0.9636744838873603,0.11301309467398726,0.0,0.6863377777777776,0.08384,0.5369342617453046,0.8651325735702101,0.0,0.0,0.8616236613962036,0.9491113815289874
183,C2,7,0.28731496635500636,0.8202605992658338,0.046451766102103165,0.3072745958160382,0.7529710504669959,0.15916600420991928,0.09364101090661062,0.48087111111111114,0.12083555555555556,1.0000939095841836,2.0008517354308152e-05,0.675178949783978,0.5385639591286907,0.46408007192536227,0.9168383761808359
182,C3,8,0.2795311269876881,0.8225927750736531,0.04543577286340265,0.298169579267756,0.7589012268861212,0.16238374253820526,0.0984611671316619,0.47788444444444445,0.12252444444444444,1.0001609789906902,3.855521484276208e-05,0.6985612240636491,0.5406861918578367,0.4427919713432357,0.903508176209361
146,C2,9,0.2653012572002966,0.8237637234126145,0.043558955183677354,0.2934374919530308,0.7589641758972417,0.1620824441517904,0.09296111256361739,0.47664,0.1224,1.0004175511074043,4.172638031205462e-05,0.6754443439822208,0.5318247493164528,0.4340341766242716,0.904518971314722
18,C2,10,0.2647318492389998,0.825145721633487,0.04508505730840914,0.29637215987981996,0.7614903345808489,0.166033101461432,0.09908738042502489,0.4746844444444444,0.12377777777777776,1.0001931602273497,4.928608669357463e-05,0.7048915037979214,0.5418368301546399,0.4204149885046244,0.8930822981139439
210,C2,11,0.1957525375969413,0.9952909092740352,0.003796788438287928,0.11971746009027058,0.993564665416557,0.0021631748144109357,0.0011208356422727549,0.5029333333333333,0.08667555555555556,0.3678651045330267,0.8766672627827505,0.00024240838059491512,0.00014866474064403293,0.6287600613459438,0.9651148550478212
154,C2,12,0.19279834390781658,0.9950329864709218,0.003872194435774569,0.11992463064223582,0.9930354691161561,0.0017526835707479195,0.0007164894143356036,0.5064977777777777,0.07236444444444444,0.3886196174896385,0.8813701530855254,0.00012556291618337012,6.186836764788276e-05,0.6556840071759547,0.8583487563310275
187,C2,13,0.16683856760386076,0.802445694586012,8.881784197001253e-17,0.0,0.7198344348982711,0.14670933441821637,0.14275514197094383,0.5059377777777778,0.015688888888888888,1.324652460384748,1.3756805655490859e-06,0.8011752995957845,0.0,0.6514645824933694,0.24131004190678682
34,C2,14,0.1649591442019862,0.802445694586012,1.3322676295501878e-16,0.0,0.7193822730130253,0.14689334423363937,0.1424928894098867,0.5059377777777778,0.015360000000000002,1.3246524603847507,1.3147697325121837e-06,0.8010026271245851,0.0,0.6514645824933694,0.23864315454946924
48,C2,15,0.1626567804579198,0.802445694586012,1.3322676295501878e-16,0.0,0.7198344348982713,0.14691552715436798,0.14291846862199026,0.5059377777777778,0.014915555555555553,1.3246524603847507,1.3756805655490981e-06,0.8018289268944397,0.0,0.6514645824933694,0.23506985885667073
243,C2,16,0.16197052742787424,0.802445694586012,8.881784197001253e-17,0.0,0.7193822730130253,0.14688289436446864,0.14255970933968537,0.5059377777777778,0.01481777777777778,1.324652460384748,1.3147697325121837e-06,0.8011090342878583,0.0,0.6514645824933694,0.23428845794586986
194,C2,17,0.13537463800666288,0.7024805935868657,1.7763568394002506e-16,0.0,0.62980698090973,0.09330456385517898,0.08356388643871929,0.6145422222222223,0.013537777777777779,1.3246524673580429,3.327355936000856e-11,0.5003236024678013,0.0,0.910996681261122,0.22421650038713417
173,C2,18,0.13040795126853832,0.9024581116641268,1.3322676295501878e-16,0.0,0.8946229231831584,0.06469194313408963,0.06309145192737256,0.6860622222222224,0.018044444444444446,1.3244986815173319,0.12047165982456264,0.3182208486252501,0.0,0.8600003139372322,0.2609718799069394
66,C2,19,0.12840860170513307,0.6964739886928635,6.661338147750939e-17,0.0,0.6258843474491816,0.09126400271216167,0.08172071052472832,0.61984,0.013706666666666667,1.3246524673581794,1.9451119958750075e-11,0.4865682209012681,0.0,0.8833780741248359,0.2255286954567384
189,C2,20,0.1284086017051328,0.6964739886928635,2.2204460492503132e-17,0.0,0.6258843474491815,0.09126400271216167,0.08172071052472832,0.61984,0.013706666666666667,1.3246524673581768,1.945111995874973e-11,0.4865682209012681,0.0,0.8833780741248359,0.2255286954567384
152,C2,21,0.12404367315782248,0.6963895069815359,1.3322676295501878e-16,0.0,0.6257281668764995,0.09135614285375453,0.07855374312613221,0.61984,0.013457777777777777,1.324652467358185,1.9037335921524138e-11,0.47408982863377924,0.0,0.8833780741248359,0.22359671137555365
188,C2,22,0.11329278568165199,0.6909872757680879,2.2204460492503132e-17,0.0,0.6228951806059214,0.08898053209794592,0.0739102145263584,0.6251377777777778,0.013546666666666669,1.3246524673582503,1.2867052657102447e-11,0.447123338748655,0.0,0.8528484980220825,0.2242854363524216
229,C2,23,0.10324613969662724,0.909012957978168,1.554312234475219e-16,0.0,0.8999325667099438,0.05525128095349796,0.04925815378474334,0.6701688888888888,0.02008888888888889,1.3243562801046351,0.14059258467517066,0.22922703006549464,0.0,0.7560340266178265,0.27882884733728075
230,C2,24,0.1004093665186858,0.6763233607959851,2.2204460492503132e-17,0.0,0.6138115983603776,0.08372437808299178,0.07874646008300112,0.6383822222222222,0.012995555555555557,1.3246524673583278,3.5858144229469597e-12,0.4495952941403986,0.0,0.7662185761668137,0.22003807693748878
24,C2,25,0.09851767208386374,0.6762388790846575,1.3322676295501878e-16,0.0,0.6136554177876956,0.08381381915683411,0.07693355526147744,0.6383822222222222,0.012888888888888889,1.3246524673583346,3.5068873932939542e-12,0.44276658991288836,0.0,0.7662185761668137,0.21922226924391902
231,C2,26,0.09851767208386325,0.6762388790846576,2.2204460492503132e-17,0.0,0.6136554177876955,0.08381381915683411,0.07693355526147744,0.6383822222222222,0.012888888888888889,1.324652467358328,3.5068873932939037e-12,0.44276658991288836,0.0,0.7662185761668137,0.21922226924391902
144,C2,27,0.09195848888712362,0.6732617629580567,6.661338147750939e-17,0.0,0.6117762721206426,0.08289427783938093,0.07287428292561912,0.6410311111111111,0.012924444444444443,1.3246524673583366,2.680955532010393e-12,0.42310371354454596,0.0,0.7475158810470679,0.21949397950600485
130,C2,28,0.08912423287707351,0.6676995280083646,2.2204460492503132e-17,0.0,0.6086311910882629,0.08070327503802754,0.07578098824766762,0.6463288888888888,0.013253333333333334,1.3246524673583413,1.7049536149731012e-12,0.42734454636620767,0.0,0.709132691247948,0.22201799639445308
190,C2,29,0.08096169472031646,0.6336378277839607,4.4408920985006264e-17,0.0,0.5854620386780058,0.07003860041007232,0.06599265407139218,0.6754666666666667,0.013057777777777776,1.3246524673583522,5.3779247329152505e-14,0.34965631856190205,0.0,0.7926807510336642,0.22051490257879744
74,C2,30,0.07799429947043308,0.9153403869122853,1.3322676295501878e-16,0.0,0.9078731862643907,0.04570484695501674,0.03590539634449678,0.6595733333333333,0.019155555555555554,1.3240948705838846,0.17343572714022643,0.14728311535129637,0.0,0.6787561215687186,0.2705861249995803
246,C2,31,0.07735858182068377,0.6463131018728936,4.4408920985006264e-17,0.0,0.5943784444660888,0.07367890298646336,0.06956749338674453,0.6648711111111112,0.01240888888888889,1.3246524673583513,2.0860985783472548e-13,0.3773338661970544,0.0,0.7179262359786881,0.21557626176588052
82,C2,32,0.07409349566793375,0.958190884162296,0.018742577620061193,0.2442186993036266,0.9118072883701196,0.049271952832981684,0.04529205877051197,0.40559111111111107,0.09265777777777777,1.6498341736548852,0.2951253193200486,0.19363725695086076,0.3503599607684167,0.09288043776280977,0.9892762681854479
180,C2,33,0.06547815778808179,0.997962595243524,0.001733448792774687,0.17077883974911698,0.9967514883099092,0.0009588957003022622,0.0005411211156740534,0.49743111111111116,0.08008,0.14607746646111688,0.8265496638496078,5.1885774201363394e-05,2.1450358686585604e-05,0.587060925728206,0.9237061475982633
16,C2,34,0.06185799639149458,0.5733836657256128,0.0,0.0,0.5402872085908337,0.054153530720513786,0.048932385212149335,0.7231466666666667,0.011537777777777777,1.3246524673583497,3.432641085882627e-17,0.22418544348719496,0.0,0.996337335091706,0.20906439757710896
166,C2,35,0.061597421462249086,0.9972186136577113,0.00232194865922801,0.22891994959043732,0.9955959595169579,0.0006012640647721742,0.00035146243405519975,0.49382222222222216,0.07830222222222222,0.20465288705373297,0.5907463742464192,2.1131831420452747e-05,7.137318466925784e-06,0.5597842384237299,0.9101383008172927
2,C2,36,0.0605480473413575,0.5733836657256128,0.0,0.0,0.5402872085908337,0.05417427046859295,0.04710899941067115,0.7231466666666667,0.01184888888888889,1.3246524673583497,3.432641085882627e-17,0.2170396707714148,0.0,0.996337335091706,0.21137453365203251
181,C2,37,0.051653900069632275,0.96246083728747,0.01701560831472159,0.298618827307055,0.914739061987609,0.04492169724716359,0.04130898936143179,0.4062844444444445,0.0910311111111111,1.7381833207861506,0.15431630216203512,0.16474998700638835,0.3547206372141164,0.09464847744134712,0.9840405301707221
138,C2,38,0.05089384063265302,0.9561449057719983,1.7763568394002506e-16,0.0,0.8907507661476413,0.03542524369383278,0.031557318577017636,0.6224888888888889,0.012355555555555554,1.2920573150046686,0.10687576292863289,0.10391276124584421,0.0,0.8684550016865437,0.21517368744759274
167,C2,39,0.04820063631724018,0.9575570622072199,0.022955281408837326,0.24410300989482306,0.9072680707189285,0.04973343022138395,0.04649489152462725,0.4038044444444444,0.07336888888888889,1.3521886828471712,0.26476018533425233,0.19969806698012232,0.35339951947675696,0.08844443604592625,0.8677572964525527
244,C2,40,0.04778785257618399,0.9544141720957372,1.7763568394002506e-16,0.0,0.8898734151953223,0.03340931171416585,0.02895770646835999,0.622488888888889,0.012711111111111112,1.2971837608571153,0.10392831269866924,0.09077665585959092,0.0,0.868455001686543,0.21786710227256859
174,C2,41,0.04744222623270072,0.9544141720957372,1.7763568394002506e-16,0.0,0.8920859043827347,0.030880999357076572,0.027538477702279362,0.6198400000000001,0.012435555555555556,1.2971837608571153,0.11145645982686214,0.08041496595742263,0.0,0.8833780741248354,0.2157777392170509
88,C2,42,0.04719632004286503,0.8718094980495467,1.554312234475219e-16,0.0,0.8628321204281935,0.04196908299317132,0.034361468540167125,0.6701688888888888,0.02010666666666667,1.3246452912661737,0.037741655186579,0.13117898885299809,0.0,0.7560340266178265,0.2789873211159537
208,C2,43,0.04688402690057474,0.9561449057719983,1.7763568394002506e-16,0.0,0.8912361540141143,0.032846187131051634,0.02652244572164632,0.61984,0.012382222222222222,1.2920573150046686,0.10852782504006289,0.08219444195916964,0.0,0.8833780741248359,0.2153749111773941
191,C2,44,0.04547799847359286,0.5292393711311069,2.2204460492503132e-17,0.0,0.5042561864175925,0.044768135235577364,0.043834750433240637,0.7549333333333331,0.011413333333333334,1.324652467358351,5.4099609884448825e-20,0.17315135224773462,0.0,0.9525925078874492,0.20814517162520715
26,C2,45,0.043359902700142,0.9635040914478322,0.019131573010643804,0.2918420279888623,0.914959150336014,0.04847301807705396,0.046351318815931034,0.4016,0.07636444444444444,1.5873547063469136,0.17226882270888547,0.19483477337423635,0.37300422592583166,0.0832048200117071,0.8942875624715619
247,C2,46,0.04129264691141036,0.5292393711311069,2.2204460492503132e-17,0.0,0.5042561864175925,0.04471307841943246,0.03947476044390208,0.7549333333333331,0.01136,1.324652467358351,5.4099609884448825e-20,0.1575136754164208,0.0,0.9525925078874492,0.20775206198020965
241,C2,47,0.039683424729317,0.9573806594282184,1.7763568394002506e-16,0.0,0.9157607187137302,0.0036284947372511324,0.0019417457004689692,0.5059377777777778,0.013795555555555556,1.2878294937135126,0.2083825039316039,0.0007041638607146074,0.0,0.6514645824933694,0.2262213694232593
171,C2,48,0.03856461939417462,0.9573806594282184,1.7763568394002506e-16,0.0,0.9150408733188529,0.0036912478013484016,0.0012058104842520248,0.5059377777777778,0.013457777777777777,1.2878294937135126,0.20513209918340916,0.00044487092543124166,0.0,0.6514645824933694,0.22359671137555365
112,C2,49,0.03678709618714275,0.9459456858251339,1.554312234475219e-16,0.0,0.911498648505523,0.005176880234712089,0.0024339744422302093,0.5059377777777778,0.013733333333333334,1.3128047037855473,0.18928875504905268,0.0012586664342875956,0.0,0.6514645824933694,0.22573634956519895
42,C2,50,0.03553089647873896,0.9459456858251339,1.554312234475219e-16,0.0,0.9102832601076939,0.005214149730836776,0.0037107683732068714,0.5059377777777778,0.013448888888888889,1.3128047037855473,0.1839267304648,0.0019322118474930014,0.0,0.6514645824933694,0.22352791644965583
108,C2,51,0.028488982410127543,0.9118615005792137,0.007774765410679174,0.0,0.8864866224011034,0.5872361667497015,0.0,0.9244622222222224,0.008097777777777777,1.8692602271307583,0.09302408437378268,0.0,0.0,0.8872042405920039,0.18466651727627256
120,C2,52,0.026907709484199675,0.9951006013058944,0.006239261171293794,0.2950785270397064,0.9959354635099735,0.0007229507681669772,0.0006076951934758643,0.48224888888888884,0.15820444444444445,0.42551509019607925,0.2626331385810513,4.3932064328967994e-05,2.0612387565921937e-05,0.4740197799075013,0.507858978856882
106,C3,53,0.024883194722054275,0.9951029177782204,0.006397555096717055,0.31622712861224306,0.9957901588419069,0.0008120515393930802,0.0007274039613370994,0.49840888888888885,0.15653333333333333,0.4279432821477048,0.18529122516447924,5.906661028615179e-05,3.12997961833332e-05,0.5944690214191655,0.5277125504462373
97,C2,54,0.022912614931190886,0.9388181595367637,0.04357606162708654,0.358839526986819,0.913057008883974,0.08392132997785338,0.07994705959086347,0.38181333333333334,0.10881777777777776,0.9960170433116448,0.04768979830192903,0.4549226548379578,0.5302061218596616,0.04648664452205848,0.9845696459099592
41,C2,55,0.022225652330452154,0.9375745987927466,0.048498432155757505,0.37082244976508355,0.9109279081969994,0.08911457194519273,0.0825525167905847,0.3795644444444444,0.10506666666666667,0.9961478263539043,0.03467096895374811,0.4827552272142144,0.5463345799052506,0.043342312284275944,0.9948789353690611
116,C2,56,0.02200010293424027,0.9512282382493595,8.881784197001253e-17,0.0,0.8050805674466627,0.03135049664961808,0.02868673282168931,0.622488888888889,0.013600000000000001,1.3046213526928023,0.0016291712211645383,0.08478621929061139,0.0,0.868455001686543,0.22469934832394983
169,C3,57,0.021667572411868036,0.9953696552903001,0.006178903800714078,0.3142464622811011,0.9962622050895528,0.0004828495548817611,0.00036498576992649573,0.4909066666666666,0.15677333333333335,0.4020295654305412,0.19089491910057818,1.7623106368659825e-05,6.228086156254856e-06,0.537876272399224,0.5248502602966795
107,C2,58,0.020292369709536108,0.9368014356913644,0.0506942024869105,0.3650906907936917,0.9093959937363358,0.09221350112594551,0.08784796829969416,0.37564444444444445,0.11329777777777776,0.9964143531272728,0.03808784528493879,0.5129461024369836,0.5542956220327816,0.038288977809116095,0.9652518967879585
121,C2,59,0.018344554243885577,0.9383983507489226,0.046836952156783705,0.3826833824764081,0.9085503997116359,0.09554437087973784,0.09040349314416078,0.37126222222222216,0.10573333333333332,0.9958610308363207,0.024724221665391264,0.5331172617383432,0.5701689925593797,0.03323936866291171,0.9934473406976726
46,C2,60,0.017973997864618077,0.9537674748185836,1.554312234475219e-16,0.0,0.8064465128622338,0.029940270513767048,0.024945233592663284,0.6198400000000001,0.012337777777777777,1.2988872044305002,0.0017821253127726937,0.07106428745777883,0.0,0.8833780741248354,0.21503960876941736
22,C2,61,0.017951541872634005,0.927969322095325,0.04724373981729464,0.3482134004838191,0.8965124302888816,0.021121500800185912,0.020829309647788473,0.46453333333333335,0.14853333333333335,0.9985734529167515,0.0388624967408435,0.042735606692118226,0.16448446115127405,0.3528876461560753,0.6243170860921557
209,C2,62,0.017893077123420746,0.9537674748185836,1.554312234475219e-16,0.0,0.8054176315604673,0.030006717538669438,0.023502689313004282,0.6198400000000001,0.013804444444444444,1.2988872044305002,0.0016657643359866115,0.06724709121525957,0.0,0.8833780741248354,0.22629071438560408
139,C2,63,0.017299315660269054,0.9512282382493595,8.881784197001253e-17,0.0,0.801020684586431,0.031119188705887063,0.02316439714834969,0.6224888888888889,0.0128,1.3046213526928023,0.0012422862990183828,0.06862248969126807,0.0,0.8684550016865437,0.21854398070728645
151,C2,64,0.016395708541281227,0.9250964629405963,0.05035747677558254,0.3578191756616672,0.8939730972398913,0.019581299508851062,0.019553010585965636,0.47000888888888886,0.14778666666666665,0.9988939071646347,0.02935543259345526,0.037330842557687184,0.14471346919092873,0.3886174926956578,0.6333620241563919
225,C2,65,0.015545307407552651,0.9956963807884179,0.006362903365329314,0.32594635052750043,0.9964138251414998,0.0004462611798724557,0.0004217144777838583,0.4887288888888889,0.15788444444444444,0.3772517472975502,0.15437967395201987,1.8819243473564552e-05,6.881685361226749e-06,0.5216211460793962,0.5116462648258723
135,C2,66,0.015011222984438879,0.9954423858522095,0.006371629838399814,0.33323369031522354,0.9967919677213452,0.00015882261612571819,7.017914076544053e-05,0.5004088888888889,0.16223111111111113,0.398919182600367,0.13391836775584656,1.114602348607362e-06,1.6006918909490975e-07,0.6096306782776978,0.46091472194847727
105,C3,67,0.014905624276243775,0.9947249895399743,0.007849182682619232,0.3405628040164359,0.996344350914623,0.00023264189136418988,0.00014780335676543166,0.49507555555555555,0.1618488888888889,0.483133533257273,0.1164752024931228,3.438516525295771e-06,7.239807875671494e-07,0.56924173185912,0.46530740241119534
86,C3,68,0.01478789820287892,0.9950699543327357,0.006683570198762036,0.3355861432613075,0.9965657328501445,8.301527969810767e-05,6.471947034186549e-05,0.4952533333333333,0.16194666666666668,0.43538079096651694,0.12824091903732499,5.372702925813991e-07,6.063505220415718e-08,0.5705847564233019,0.4641823063884847
89,C3,69,0.014550271051139412,0.9955505784835503,0.006395841189587245,0.33497972118863595,0.9968002078986619,0.0002044942307235654,0.00012028062032264902,0.5008711111111112,0.1614488888888889,0.3901218075699333,0.1294442733055845,2.459664667434751e-06,4.60687835019004e-07,0.6131348429429867,0.46991982255637343
30,C3,70,0.014418355503073056,0.9952920805811949,0.006518871244598279,0.332643057666035,0.9968392900561313,4.7816058110891984e-05,3.406198892601604e-05,0.49377777777777776,0.16232000000000002,0.4139299307772426,0.13538443490649454,1.6287098480217257e-07,1.2312781213973976e-08,0.5594492456339913,0.4598952742925151
150,C3,71,0.014334892127471837,0.9947249895399743,0.007849182682619233,0.3448692338349537,0.9963635443411902,0.00023148694299636184,0.00014758235034613226,0.49825777777777774,0.16156444444444445,0.483133533257273,0.10671671885469461,3.4163301154434974e-06,7.207763493452477e-07,0.5933238464742729,0.4685857496023224
