model,q,L,T,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
Ising (q=2),2,32,1.0,0,0.7113586164031408,0.2382926832254806,0.03806373259589971,0.0,0.22941721368654236,0.3759850950664846,0.3751947133091497,0.952900390625,0.08302734375
Ising (q=2),2,32,1.0,1,0.6960791189301844,0.24180963997842383,0.034460304965239864,0.0,0.23364920807477027,0.27639536849636726,0.2721884631916016,0.9534570312499999,0.084423828125
Ising (q=2),2,32,1.0,2,0.7268871904925976,0.23285324687487283,0.04889654993761089,0.0,0.22538294041242488,0.33758740803944903,0.33261191114572697,0.953505859375,0.0816015625
Ising (q=2),2,32,1.0,3,0.7611800094238941,0.26518065448448813,0.0375275783449785,0.0,0.25045940013141116,0.30440563836246304,0.30437438042370496,0.95087890625,0.086572265625
Ising (q=2),2,32,1.0,4,0.03644344062532901,0.9979295634298029,0.0021947047105013925,0.29339034290756993,0.6833002890651496,0.5415993749815277,0.25046529744452767,0.9175585937499999,0.129892578125
Ising (q=2),2,32,1.0,5,0.8959745256479571,0.2738449237261447,0.07776059395598847,0.0,0.25586165808106676,0.3588616629086388,0.354456776217606,0.95080078125,0.0858984375
Ising (q=2),2,32,1.2,0,1.9898150909270491,0.9345380847786126,0.06744470205006986,0.4792448503055195,0.7813867296487794,0.3412192514097378,0.28341773487418004,0.850771484375,0.1683203125
Ising (q=2),2,32,1.2,1,1.2049032999311167,0.9537525347849894,0.01895377418723869,0.3309487218998113,0.7902234093147533,0.3659217212259287,0.31650939303051784,0.849765625,0.16857421875
Ising (q=2),2,32,1.2,2,2.866554168768392,0.8610813317289326,0.056297367920684016,0.27749794114733045,0.734757300055375,0.3754854944088053,0.34705066981275845,0.85796875,0.16158203125
Ising (q=2),2,32,1.2,3,1.360648101011772,0.9501370402303618,0.031085091754544523,0.32547097730792096,0.7897538479540197,0.3220856236363561,0.26735741507379307,0.8505078125000001,0.167783203125
Ising (q=2),2,32,1.2,4,2.78499358043031,0.856332078774571,0.04446571811780633,0.2460822768737989,0.734445151125366,0.31246783552541557,0.2920183258514366,0.8541406250000001,0.16541015625
Ising (q=2),2,32,1.2,5,2.7245399607429857,0.8945449197949735,0.0688049737221931,0.36560400340787425,0.7572137618864444,0.4155479528556991,0.36240083085811775,0.852197265625,0.16626953125
Ising (q=2),2,32,1.4,0,0.4181586387148793,0.9846364670860848,0.012803447918363924,0.2423875502480978,0.8875262614196968,0.22050741090542939,0.20132248389231525,0.786337890625,0.191787109375
Ising (q=2),2,32,1.4,1,0.4753418720688939,0.9831312494118248,0.016308994983907844,0.41311054546743825,0.8895934977412597,0.28400654779845624,0.24082597626960242,0.7849804687499999,0.192568359375
Ising (q=2),2,32,1.4,2,0.48135099211644544,0.9832415950847193,0.020240772071344507,0.4247754376807329,0.8898381432117733,0.24799420026582145,0.2456405029360202,0.783388671875,0.19189453125
