rank,rule,wolfram_class,complexity,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip
218,198,C2,0.0,0.999461,0.0,0.197282,0.678398,0.871484,0.00736,0.035678,0.0,0.00131,0.179706
219,199,C2,0.0,0.997767,0.0,0.320361,0.668144,0.871484,0.007307,0.147292,0.0,0.00131,0.179351
220,200,C2,0.0,0.944302,0.0,0.0,0.800792,0.993333,0.00648,1.314594,0.001223,2e-06,0.173913
221,202,C2,0.0,0.529368,0.000932,0.006716,0.504481,0.993298,0.006258,1.384024,0.0,2e-06,0.172472
222,203,C2,0.0,0.652333,0.0,0.0,0.598298,0.993333,0.006293,1.324652,0.0,2e-06,0.172702
223,206,C2,0.0,0.802446,0.0,0.0,0.719834,0.993333,0.006524,1.324652,1e-06,2e-06,0.174203
224,207,C2,0.0,0.802446,0.0,0.0,0.719834,0.993333,0.006524,1.324652,1e-06,2e-06,0.174203
225,216,C2,0.0,0.529316,0.000698,0.003799,0.504403,0.993316,0.006222,1.368635,0.0,2e-06,0.172242
226,217,C2,0.0,0.640407,0.0,0.0,0.590615,0.993333,0.006311,1.324652,0.0,2e-06,0.172817
227,218,C2,0.0,0.384205,0.0,0.0,0.374208,0.993333,0.005982,1.324652,0.0,2e-06,0.170696
228,219,C2,0.0,0.323457,0.0,0.0,0.317235,0.993333,0.006667,1.324652,0.0,2e-06,0.175131
229,220,C2,0.0,0.802446,0.0,0.0,0.719382,0.993333,0.006569,1.324652,1e-06,2e-06,0.174492
230,221,C2,0.0,0.802446,0.0,0.0,0.719382,0.993333,0.006569,1.324652,1e-06,2e-06,0.174492
231,222,C2,0.0,0.604259,0.0,0.0,0.578762,0.993333,0.006302,1.324652,0.0,2e-06,0.17276
232,223,C2,0.0,0.495938,0.0,0.0,0.47991,0.993333,0.006142,1.324652,0.0,2e-06,0.171726
233,224,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
234,226,C2,0.0,0.996559,0.0,0.0,0.516329,0.068693,0.028507,0.225677,0.0,0.0,0.359781
235,227,C2,0.0,0.957381,0.0,0.0,0.705023,0.235751,0.02024,1.287829,0.0,9.5e-05,0.280178
236,228,C2,0.0,0.573384,0.0,0.0,0.540287,0.993333,0.006169,1.324652,0.0,2e-06,0.171898
237,230,C2,0.0,0.676323,0.0,0.0,0.613812,0.638382,0.012996,1.324652,0.0,0.766219,0.220038
238,231,C2,0.0,0.676239,0.0,0.0,0.613655,0.638382,0.012889,1.324652,0.0,0.766219,0.219222
239,232,C2,0.0,0.994964,0.0,0.0,0.765269,0.993333,0.006391,0.326664,8.6e-05,2e-06,0.173336
240,233,C2,0.0,0.468929,0.0,0.0,0.37498,0.993333,0.007662,1.324652,0.0,2e-06,0.181726
241,234,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
242,235,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
243,236,C2,0.0,0.965518,0.0,0.0,0.836964,0.993333,0.006604,1.24299,0.010892,2e-06,0.174724
244,237,C2,0.0,0.597149,0.0,0.0,0.484402,0.993333,0.006089,1.324652,0.0,2e-06,0.171382
245,238,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
246,239,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
247,246,C2,0.0,0.646313,0.0,0.0,0.594378,0.664871,0.012409,1.324652,0.0,0.569645,0.215576
248,247,C2,0.0,0.529239,0.0,0.0,0.504256,0.754933,0.01136,1.324652,0.0,0.09156,0.207752
249,248,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
250,249,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
251,250,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
252,251,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
253,252,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
254,253,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
255,254,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
256,255,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
