mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,rule,class,rank
0.676239,0.0,0.0,0.613655,0.083814,0.076934,0.638382,0.012889,0.0,1.324652,0.0,0.442767,0.766219,0.219222,24,C2,174
0.676239,0.0,0.0,0.613655,0.083814,0.076934,0.638382,0.012889,0.0,1.324652,0.0,0.442767,0.766219,0.219222,231,C2,175
0.673262,0.0,0.0,0.611776,0.082894,0.072874,0.641031,0.012924,0.0,1.324652,0.0,0.423104,0.747516,0.219494,144,C2,176
0.6677,0.0,0.0,0.608631,0.080703,0.075781,0.646329,0.013253,0.0,1.324652,0.0,0.427345,0.709133,0.222018,130,C2,177
0.646313,0.0,0.0,0.594378,0.073679,0.069567,0.664871,0.012409,0.0,1.324652,0.0,0.377334,0.717926,0.215576,246,C2,178
0.996559,0.0,0.327851,0.9913,1.0,0.0,0.0,0.008711,0.0,0.225677,0.156432,0.0,0.0,0.188863,51,C2,179
0.633638,0.0,0.0,0.585462,0.070039,0.065993,0.675467,0.013058,0.0,1.324652,0.0,0.349656,0.792681,0.220515,190,C2,180
0.953175,0.001018,0.025154,0.634719,0.361309,0.315362,0.251004,0.023644,0.0,1.364262,0.0,0.994907,0.000213,0.3116,163,C2,181
0.95317,0.000909,0.028174,0.634441,0.361545,0.303162,0.25104,0.022089,0.0,1.357176,0.0,0.993911,0.000213,0.296998,177,C2,182
0.951151,0.000619,0.003809,0.631745,0.355584,0.280875,0.256649,0.021973,0.0,1.343068,0.0,0.991136,0.000283,0.29593,114,C2,183
0.951148,0.000382,0.0,0.631488,0.354214,0.254974,0.256676,0.022151,0.0,1.328106,0.0,0.986215,0.000284,0.297575,58,C2,184
0.647025,0.0,0.0,0.612737,1.0,0.0,0.993333,0.006356,0.0,1.324652,0.0,0.0,0.004438,0.173105,132,C2,185
0.658991,0.0,0.0,0.603295,1.0,0.0,0.993333,0.006267,0.0,1.324652,0.0,0.0,0.004438,0.172529,100,C2,186
0.986178,0.0,0.0,0.60525,1.0,0.0,0.993333,0.006036,0.0,0.79305,0.0,0.0,0.004438,0.171039,78,C2,187
0.986178,0.0,0.0,0.60525,1.0,0.0,0.993333,0.006,0.0,0.79305,0.0,0.0,0.004438,0.170811,79,C2,188
0.986981,0.0,0.0,0.605146,1.0,0.0,0.993333,0.006044,0.0,0.758098,0.0,0.0,0.004438,0.171096,69,C2,189
0.986981,0.0,0.0,0.605146,1.0,0.0,0.993333,0.005982,0.0,0.758098,0.0,0.0,0.004438,0.170696,197,C2,190
0.655664,0.0,0.0,0.600796,1.0,0.0,0.993333,0.006258,0.0,1.324652,0.0,0.0,0.004438,0.172472,44,C2,191
0.652333,0.0,0.0,0.598298,1.0,0.0,0.993333,0.006293,0.0,1.324652,0.0,0.0,0.004438,0.172702,203,C2,192
0.988399,0.0,0.0,0.597133,1.0,0.0,0.993333,0.006062,0.0,0.692378,0.0,0.0,0.004438,0.171211,92,C2,193
0.988399,0.0,0.0,0.597133,1.0,0.0,0.993333,0.006018,0.0,0.692378,0.0,0.0,0.004438,0.170925,93,C2,194
0.988139,0.0,0.0,0.595013,1.0,0.0,0.993333,0.006027,0.0,0.704825,0.0,0.0,0.004438,0.170982,141,C2,195
0.988139,0.0,0.0,0.595013,1.0,0.0,0.993333,0.005956,0.0,0.704825,0.0,0.0,0.004438,0.170525,13,C2,196
0.640407,0.0,0.0,0.590615,1.0,0.0,0.993333,0.006311,0.0,1.324652,0.0,0.0,0.004438,0.172817,217,C2,197
0.983029,0.0,0.323553,0.78207,1.0,0.0,0.0,0.007893,0.0,0.914412,0.000159,0.0,0.0,0.183282,19,C2,198
0.96283,0.0,0.31331,0.75787,1.0,0.0,0.0,0.007769,0.0,1.261784,2.7e-05,0.0,0.0,0.182443,55,C2,199
0.604259,0.0,0.0,0.578762,1.0,0.0,0.993333,0.006302,0.0,1.324652,0.0,0.0,0.004438,0.17276,222,C2,200
0.573384,0.0,0.0,0.540287,0.054174,0.047109,0.723147,0.011849,0.0,1.324652,0.0,0.21704,0.996337,0.211375,2,C2,201
0.573384,0.0,0.0,0.540287,0.054154,0.048932,0.723147,0.011538,0.0,1.324652,0.0,0.224185,0.996337,0.209064,16,C2,202
0.994964,0.0,0.330772,0.765269,1.0,0.0,0.0,0.007733,0.0,0.326664,3.7e-05,0.0,0.0,0.182204,23,C2,203
0.945933,0.023875,0.310286,0.674784,0.709479,0.697532,0.066222,0.02504,0.0,1.320417,0.0,0.994022,0.0,0.325042,31,C2,204
0.973789,0.014104,0.256309,0.665717,0.730126,0.722704,0.0596,0.025289,0.0,1.69944,0.0,0.990983,0.0,0.327473,21,C2,205
0.946618,0.023473,0.31078,0.666205,0.717879,0.689725,0.063573,0.025369,0.0,1.344615,0.0,0.992933,0.0,0.328256,87,C2,206
0.99959,0.0,0.33154,0.760107,1.0,0.0,0.0,0.007778,0.0,0.027181,2.4e-05,0.0,0.0,0.182503,50,C2,207
0.99959,0.0,0.33154,0.760107,1.0,0.0,0.0,0.007778,0.0,0.027181,2.4e-05,0.0,0.0,0.182503,178,C2,208
0.99959,0.0,0.33154,0.760107,1.0,0.0,0.0,0.007778,0.0,0.027181,2.4e-05,0.0,0.0,0.182503,179,C2,209
0.963865,0.015629,0.318746,0.648001,0.741584,0.728245,0.055627,0.024951,0.0,1.802364,0.0,0.988675,0.0,0.324177,7,C2,210
0.573384,0.0,0.0,0.540287,1.0,0.0,0.993333,0.006169,0.0,1.324652,0.0,0.0,0.004438,0.171898,172,C2,211
0.573384,0.0,0.0,0.540287,1.0,0.0,0.993333,0.006169,0.0,1.324652,0.0,0.0,0.004438,0.171898,228,C2,212
0.529239,0.0,0.0,0.504256,0.044768,0.043835,0.754933,0.011413,0.0,1.324652,0.0,0.173151,0.952593,0.208145,191,C2,213
0.529239,0.0,0.0,0.504256,0.044713,0.039475,0.754933,0.01136,0.0,1.324652,0.0,0.157514,0.952593,0.207752,247,C2,214
0.541983,0.0,0.0,0.520729,1.0,0.0,0.993333,0.006213,0.0,1.324652,0.0,0.0,0.004438,0.172185,4,C2,215
0.529368,0.000932,0.006716,0.504481,0.998425,9e-05,0.993298,0.006258,0.0,1.384024,0.0,1.4e-05,0.004445,0.172472,202,C2,216
0.529316,0.000698,0.003799,0.504403,0.999285,0.000689,0.993316,0.006222,0.0,1.368635,0.0,4.9e-05,0.004441,0.172242,216,C2,217
0.677823,0.132121,0.187308,0.540542,0.574174,0.0,0.127147,0.009404,0.0,1.0,0.0,0.0,0.0,0.193687,127,C2,218
0.597149,0.0,0.0,0.484402,1.0,0.0,0.993333,0.006089,0.0,1.324652,0.0,0.0,0.004438,0.171382,237,C2,219
0.495938,0.0,0.0,0.47991,1.0,0.0,0.993333,0.006142,0.0,1.324652,0.0,0.0,0.004438,0.171726,223,C2,220
0.664988,0.135243,0.181513,0.531947,0.59545,0.0,0.124498,0.012027,0.0,1.0,0.0,0.0,0.0,0.212702,1,C2,221
0.996559,0.0,0.0,0.517683,0.690809,0.366488,0.06944,0.028044,0.0,0.225677,0.0,0.994576,0.0,0.355042,184,C2,222
0.996559,0.0,0.0,0.516329,0.695106,0.292002,0.068693,0.028507,0.0,0.225677,0.0,0.989738,0.0,0.359781,226,C2,223
0.431793,0.0,0.0,0.41812,1.0,0.0,0.993333,0.005964,0.0,1.324652,0.0,0.0,0.004438,0.170582,164,C2,224
0.501773,0.0,0.0,0.401254,1.0,0.0,0.993333,0.005911,0.0,1.324652,0.0,0.0,0.004438,0.17024,72,C2,225
0.468929,0.0,0.0,0.37498,1.0,0.0,0.993333,0.007662,0.0,1.324652,0.0,0.0,0.004438,0.181726,233,C2,226
0.384205,0.0,0.0,0.374208,1.0,0.0,0.993333,0.005982,0.0,1.324652,0.0,0.0,0.004438,0.170696,218,C2,227
0.999461,0.0,0.0,0.419183,0.869459,0.353957,0.02272,0.025058,0.0,0.035678,0.0,0.861657,0.0,0.325215,57,C2,228
0.999461,0.0,0.0,0.416029,0.873962,0.353917,0.021991,0.02504,0.0,0.035678,0.0,0.849735,0.0,0.325042,99,C2,229
0.323457,0.0,0.0,0.317235,1.0,0.0,0.993333,0.006667,0.0,1.324652,0.0,0.0,0.004438,0.175131,36,C2,230
0.323457,0.0,0.0,0.317235,1.0,0.0,0.993333,0.006667,0.0,1.324652,0.0,0.0,0.004438,0.175131,219,C2,231
0.376428,0.0,0.0,0.297457,1.0,0.0,0.993333,0.00704,0.0,1.324652,0.0,0.0,0.004438,0.177584,104,C2,232
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,0,C1,233
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,8,C1,234
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,32,C1,235
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,40,C1,236
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,64,C2,237
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,96,C2,238
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,128,C1,239
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,136,C1,240
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,160,C1,241
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,168,C1,242
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,192,C2,243
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,224,C2,244
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,234,C2,245
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,235,C2,246
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,238,C2,247
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,239,C2,248
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,248,C2,249
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,249,C2,250
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,250,C2,251
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,251,C2,252
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,252,C2,253
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,253,C2,254
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,254,C2,255
0.0,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,0.0,0.0,0.004438,0.14649,255,C1,256
