experiment,threshold,time_step,regime,C_A,C_B,w_H,w_OPs,w_OPt,w_T,w_G
vacancy_dynamics,0.0,2,mixed,0.3637672412604081,0.3651545492934016,1.390365445944229,0.37465116034028945,0.4058160814643241,0.7109996273395358,0.47110236787590215
vacancy_dynamics,0.0,3,mixed,0.35954665916323575,0.3724005854385227,1.4189075633529007,0.37358836180738103,0.3816219983665967,0.7102847323017705,0.47200646667478996
vacancy_dynamics,0.0,4,mixed,0.37295642438962695,0.3910732620807713,1.4374837995477108,0.37192094677676013,0.4007187616413866,0.7107872070805302,0.47211092554323847
vacancy_dynamics,0.0,5,mixed,0.3924508184994227,0.386537295469637,1.4572575737224889,0.3697544392564157,0.4283345421134461,0.7127197140526901,0.4734736278667609
vacancy_dynamics,0.0,6,mixed,0.4156207187558518,0.43909460981713766,1.4677380990011968,0.41136233443490317,0.42884712632139677,0.712648587618329,0.4725810507735785
vacancy_dynamics,0.0,7,mixed,0.4432577374157295,0.3580419450200833,1.4713117806232696,0.4588698260635103,0.4359900197212472,0.7108579144277654,0.4736162078360384
vacancy_dynamics,0.0,8,mixed,0.3177686659348737,0.3858346591665731,1.464529055659841,0.2145820381772187,0.43345689972486845,0.7107141490978484,0.4727216079657805
vacancy_dynamics,0.0,9,mixed,0.3609982991321553,0.4855372763052933,1.4644630263974485,0.3346979337884422,0.39627415214107986,0.7092782573747286,0.4757675462354623
vacancy_dynamics,0.0,10,mixed,0.40844633712432393,0.3634954398966256,1.4519303118632017,0.4436609228963692,0.39037074901461566,0.7091350017443198,0.47689861791018107
vacancy_dynamics,0.0,11,mixed,0.3564529900557919,0.3966495491082965,1.4499770625837605,0.3123131363850857,0.4115303674589164,0.7116462832664725,0.4779164262454617
vacancy_dynamics,0.0,12,mixed,0.39570791113418824,0.4492454489742389,1.4664476338395835,0.3855279088526521,0.40463803073509,0.7108532824605266,0.47995446880711856
vacancy_dynamics,0.0,13,mixed,0.37682107868986936,0.398912245996196,1.4696903742013532,0.33851409923276404,0.40868004307204736,0.7102833930089466,0.4823442598085613
vacancy_dynamics,0.0,14,mixed,0.3960918397626283,0.38362268092460783,1.4950635554332785,0.3331856666456227,0.42947358835728505,0.7100698150025467,0.4875807507410504
vacancy_dynamics,0.0,15,mixed,0.3960528432196645,0.3869825535010662,1.506746539810407,0.3268230895513234,0.42359238669617205,0.7104253344879863,0.4913486390682282
vacancy_dynamics,0.0,16,mixed,0.408832096473032,0.3649271045301501,1.4992640495402267,0.3203564180842186,0.45215640562415366,0.7113574950748476,0.4948853462527265
vacancy_dynamics,0.0,17,mixed,0.41423753480229203,0.37374889171076386,1.5129656095244686,0.3133458490073244,0.4664556102203403,0.7123616305586874,0.4925924648680556
vacancy_dynamics,0.01,2,mixed,0.486085985117073,0.47853128893750335,1.3907234305521587,0.3745570347336157,0.6391627768522625,0.7336822170546455,0.46975307632146734
vacancy_dynamics,0.01,3,mixed,0.43077752294751026,0.40741574651026874,1.4262568188816414,0.37328514698417914,0.5238659182129699,0.7188624762387656,0.46829968952267914
vacancy_dynamics,0.01,4,mixed,0.4408864561781489,0.41573686352203243,1.4568009039872751,0.37140157422348696,0.5283451413616245,0.7197157603582055,0.46705781282539827
vacancy_dynamics,0.01,5,mixed,0.4317143378017798,0.41394809724728854,1.4711306402571371,0.36893297129080677,0.5064287517140857,0.7177898722893963,0.46694132148086875
vacancy_dynamics,0.01,6,mixed,0.48192450222109046,0.4783612992995338,1.478250425976713,0.4539094593124937,0.5150129490264432,0.7177908868055515,0.4686346705208135
vacancy_dynamics,0.01,7,mixed,0.41954704131933873,0.4130705074274014,1.4773961933911552,0.3328926973197666,0.5078721028329758,0.716793612767904,0.47226310096317664
vacancy_dynamics,0.01,8,mixed,0.41049707141498165,0.38632744434500854,1.4791052448324011,0.3363015583912409,0.4871256889388091,0.7151500198907554,0.4746664955305596
vacancy_dynamics,0.01,9,mixed,0.4186361721644122,0.4642481086561279,1.473678303107023,0.33056559220067616,0.498650259368351,0.7147195670536849,0.47842722789152675
vacancy_dynamics,0.01,10,mixed,0.4047144612401804,0.40400768639034024,1.4780675563207613,0.31965965251115824,0.47669150533403093,0.7145072568489998,0.4806752092173251
vacancy_dynamics,0.01,11,mixed,0.4633426146808592,0.409877778959953,1.479694787343744,0.42689928786900405,0.47464464491412706,0.7148663680829344,0.4840547399583632
vacancy_dynamics,0.01,12,mixed,0.4336768280056841,0.42830187893615224,1.4936635292921725,0.33778999508441265,0.4948973542905966,0.7162256776013413,0.4866738243782094
vacancy_dynamics,0.01,13,mixed,0.43709631377854563,0.3995179548051375,1.5265410603097977,0.33105757912399175,0.4838284823385024,0.7185069140354939,0.4889534579547634
vacancy_dynamics,0.01,14,mixed,0.4486689660579918,0.3960152306065309,1.5493571504347803,0.32295284565616633,0.49947812928538654,0.7197886076330194,0.48769708093608044
vacancy_dynamics,0.01,15,mixed,0.4747807205056954,0.4184451482053489,1.5786208452643469,0.31443210322149245,0.5355203194614024,0.7206434456391145,0.4903346763478014
vacancy_dynamics,0.01,16,mixed,0.4512488368677118,0.4125382303939391,1.5536966109426258,0.3052498247872461,0.5154939776640709,0.7200721675228241,0.4914673606519301
vacancy_dynamics,0.01,17,mixed,0.4334586883631782,0.4060422873854438,1.5057524141392864,0.29690331894925936,0.5202868492220948,0.7185760270085128,0.49008910963730595
vacancy_dynamics,0.02,2,mixed,0.486085985117073,0.47853128893750335,1.3907234305521587,0.3745570347336157,0.6391627768522625,0.7336822170546455,0.46975307632146734
vacancy_dynamics,0.02,3,mixed,0.43077752294751026,0.40741574651026874,1.4262568188816414,0.37328514698417914,0.5238659182129699,0.7188624762387656,0.46829968952267914
vacancy_dynamics,0.02,4,mixed,0.4408864561781489,0.41573686352203243,1.4568009039872751,0.37140157422348696,0.5283451413616245,0.7197157603582055,0.46705781282539827
vacancy_dynamics,0.02,5,mixed,0.4317143378017798,0.41394809724728854,1.4711306402571371,0.36893297129080677,0.5064287517140857,0.7177898722893963,0.46694132148086875
vacancy_dynamics,0.02,6,mixed,0.48192450222109046,0.4783612992995338,1.478250425976713,0.4539094593124937,0.5150129490264432,0.7177908868055515,0.4686346705208135
vacancy_dynamics,0.02,7,mixed,0.41954704131933873,0.4130705074274014,1.4773961933911552,0.3328926973197666,0.5078721028329758,0.716793612767904,0.47226310096317664
vacancy_dynamics,0.02,8,mixed,0.41049707141498165,0.38632744434500854,1.4791052448324011,0.3363015583912409,0.4871256889388091,0.7151500198907554,0.4746664955305596
vacancy_dynamics,0.02,9,mixed,0.4186361721644122,0.4642481086561279,1.473678303107023,0.33056559220067616,0.498650259368351,0.7147195670536849,0.47842722789152675
vacancy_dynamics,0.02,10,mixed,0.4047144612401804,0.40400768639034024,1.4780675563207613,0.31965965251115824,0.47669150533403093,0.7145072568489998,0.4806752092173251
