threshold,time_step,regime,C_A,C_B,w_H,w_OPs,w_OPt,w_T,w_G
0.0,2,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,3,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,4,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,5,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,6,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,7,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,8,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,9,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,10,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,11,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,12,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,13,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,14,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,15,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,16,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.0,17,mixed,0.14369509668360297,0.14107015855884536,1.1878706856020445,0.3752876828507899,0.0,0.6819407511903469,0.47267418812862044
0.01,2,mixed,0.2598352652929093,0.2685842335533687,1.1878706856020445,0.37529217581147545,0.28758258247677504,0.7010779831257749,0.4704306522742412
0.01,3,mixed,0.15204297328520622,0.1617428601637433,1.1878706856020445,0.3752909940578034,0.023361653823042883,0.6831054519431493,0.4699823610330281
0.01,4,mixed,0.14287445696662096,0.14803105433213637,1.1878706856020445,0.37529097289331215,0.0,0.6820864055540474,0.46987116079614105
0.01,5,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,6,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,7,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,8,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,9,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,10,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,11,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,12,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,13,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,14,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,15,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,16,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.01,17,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,2,mixed,0.2598352652929093,0.2685842335533687,1.1878706856020445,0.37529217581147545,0.28758258247677504,0.7010779831257749,0.4704306522742412
0.02,3,mixed,0.15204297328520622,0.1617428601637433,1.1878706856020445,0.3752909940578034,0.023361653823042883,0.6831054519431493,0.4699823610330281
0.02,4,mixed,0.14287445696662096,0.14803105433213637,1.1878706856020445,0.37529097289331215,0.0,0.6820864055540474,0.46987116079614105
