alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G
0.1685,1.0602,0.718297,0.003851,0.0,0.71571,0.272646,0.271879,0.837396,0.129427,1e-06,1.596105,1e-06,0.967293,0.415919,0.840226
0.1685,1.2415,0.717661,0.00485,0.0,0.712454,0.181624,0.181218,0.800104,0.131641,1e-06,1.670245,1e-06,0.896379,0.680709,0.818509
0.1685,1.4537,0.715649,0.005841,0.0,0.710232,0.104323,0.103049,0.769167,0.133411,1e-06,1.743318,1e-06,0.602017,0.886975,0.799902
0.1685,1.7022,0.714523,0.006897,0.0,0.709315,0.050279,0.049638,0.737057,0.134193,1e-06,1.813917,0.0,0.214781,0.995815,0.791399
0.1685,1.9932,0.708744,0.008337,0.0,0.704123,0.034584,0.034269,0.725573,0.133594,0.0,1.899295,0.0,0.110191,0.99846,0.797902
0.1685,2.3339,0.708734,0.008879,0.0,0.705151,0.018606,0.018146,0.71026,0.13362,0.0,1.925481,0.0,0.033558,0.969828,0.797634
0.1685,2.7328,0.705953,0.007776,0.0,0.702354,0.019237,0.019208,0.710573,0.132839,0.0,1.866148,0.0,0.037191,0.970217,0.805956
0.1685,3.2,0.705557,0.008972,0.0,0.702678,0.014807,0.013917,0.709427,0.133438,0.0,1.927055,0.0,0.021108,0.966881,0.799526
0.2187,0.3,0.687474,0.012638,0.0,0.687341,0.743676,0.64139,0.944115,0.06638,0.0,1.942522,0.0,0.987288,0.028076,0.794197
0.2187,0.3513,0.68745,0.009746,0.0,0.687128,0.739413,0.62123,0.94237,0.067656,0.0,1.915275,0.0,0.987743,0.029876,0.806332
0.2187,0.4113,0.683366,0.011391,0.0,0.683243,0.728343,0.594423,0.940833,0.071432,0.0,1.979765,0.0,0.988381,0.031526,0.841313
0.2187,0.4816,0.688275,0.009127,0.0,0.687682,0.706915,0.612522,0.937656,0.075651,0.0,1.932576,0.0,0.991348,0.035256,0.873369
0.2187,0.564,0.700116,0.011365,0.0,0.700086,0.654456,0.598437,0.928151,0.085365,0.0,1.970579,0.0,0.995361,0.049081,0.930717
0.2187,0.6604,0.704883,0.006986,0.0,0.70471,0.615104,0.53814,0.918698,0.095885,0.0,1.82065,0.0,0.995861,0.066423,0.960636
0.2187,0.7733,0.711236,0.006403,0.0,0.710617,0.509561,0.49271,0.896198,0.109661,0.0,1.782351,1e-06,0.999304,0.122813,0.960537
0.2187,0.9055,0.717772,0.004319,0.0,0.716492,0.403879,0.396205,0.869922,0.122812,0.0,1.630648,1e-06,0.996896,0.229527,0.887161
0.2187,1.0602,0.719251,0.003236,0.0,0.716099,0.298548,0.298166,0.839948,0.130052,1e-06,1.548976,1e-06,0.987549,0.3928,0.834261
0.2187,1.2415,0.716659,0.004985,0.0,0.712778,0.1688,0.168151,0.796615,0.132474,1e-06,1.680458,1e-06,0.847311,0.705009,0.809747
0.2187,1.4537,0.715014,0.005698,0.0,0.709695,0.087587,0.087331,0.75776,0.132656,1e-06,1.732095,0.0,0.492531,0.94062,0.807903
0.2187,1.7022,0.712458,0.00626,0.0,0.707451,0.048292,0.048101,0.736927,0.13349,1e-06,1.77182,0.0,0.201005,0.995076,0.798993
0.2187,1.9932,0.709128,0.007845,0.0,0.705498,0.032356,0.032337,0.72013,0.132917,0.0,1.869424,0.0,0.101442,0.991568,0.805151
0.2187,2.3339,0.704628,0.00953,0.0,0.700347,0.014617,0.014336,0.70875,0.132891,0.0,1.950097,0.0,0.022541,0.964353,0.805388
0.2187,2.7328,0.703862,0.009609,0.0,0.700621,0.022906,0.022759,0.711797,0.132344,0.0,1.939654,0.0,0.050669,0.973945,0.811169
0.2187,3.2,0.705924,0.009481,0.0,0.702714,0.015662,0.015587,0.708464,0.133594,0.0,1.950127,0.0,0.024363,0.964139,0.797949
0.2838,0.3,0.689644,0.012465,0.0,0.689715,0.733858,0.635616,0.942083,0.067995,0.0,1.983969,0.0,0.988752,0.030203,0.810275
0.2838,0.3513,0.684666,0.010049,0.0,0.684492,0.736962,0.620367,0.942474,0.068125,0.0,1.932018,0.0,0.988707,0.029762,0.81032
