stage,epoch,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,grid_shape
REM,10,0.933112,0.081563,0.662381,0.907763,0.03222,0.03179,0.451042,0.211458,0.997514,1e-06,0.095818,0.272739,0.08336,0.002173,120x8
REM,11,0.905925,0.142068,0.707292,0.883602,0.0403,0.0,0.433333,0.213542,0.999836,0.0,0.0,0.18627,0.0759,0.0,120x8
REM,12,0.908637,0.14261,0.691403,0.885548,0.039354,0.016943,0.444792,0.209375,0.999785,0.0,0.062834,0.239734,0.091394,0.001376,120x8
REM,13,0.889363,0.152107,0.719357,0.864216,0.078329,0.048165,0.429167,0.208333,0.999969,0.0,0.292972,0.169078,0.095634,0.004737,120x8
REM,14,0.934625,0.091359,0.671752,0.917765,0.043494,0.028747,0.442708,0.2125,0.997108,0.0,0.114563,0.229333,0.07956,0.002084,120x8
REM,15,0.888035,0.131095,0.721281,0.851324,0.096329,0.05555,0.421875,0.205208,0.999973,0.0,0.376321,0.141791,0.109289,0.005831,120x8
REM,16,0.932672,0.091659,0.681316,0.912248,0.160772,0.049378,0.365625,0.204167,0.99762,0.0,0.421926,0.027588,0.114162,0.001326,120x8
REM,17,0.911029,0.136553,0.715293,0.893555,0.010966,0.008163,0.434375,0.204167,0.999726,0.0,0.008897,0.190754,0.114162,0.000194,120x8
REM,18,0.843583,0.197943,0.758539,0.83333,0.152801,0.058266,0.369792,0.20625,1.0,0.0,0.477425,0.031677,0.104579,0.001582,120x8
REM,19,0.913966,0.133845,0.694952,0.886106,0.09338,0.06075,0.357292,0.20625,0.999633,0.0,0.397205,0.020756,0.104579,0.000862,120x8
REM,20,0.842478,0.209076,0.760218,0.82997,0.12602,0.053135,0.379167,0.205208,1.0,0.0,0.413994,0.042805,0.109289,0.001937,120x8
REM,21,0.874984,0.152698,0.754294,0.859705,0.101076,0.054208,0.377083,0.201042,0.999993,0.0,0.378872,0.040083,0.129784,0.001971,120x8
REM,22,0.906496,0.120619,0.682837,0.854518,0.087701,0.063809,0.404167,0.201042,0.999826,0.0,0.39729,0.08933,0.129784,0.004605,120x8
REM,23,0.914298,0.128914,0.692969,0.884619,0.133213,0.068638,0.36875,0.207292,0.999621,0.0,0.518077,0.030609,0.100028,0.001586,120x8
REM,24,0.89981,0.126526,0.721183,0.871523,0.137488,0.05899,0.370833,0.214583,0.999911,0.0,0.466138,0.032777,0.072377,0.001106,120x8
REM,25,0.901802,0.139116,0.718365,0.88135,0.160499,0.087738,0.397917,0.20625,0.999891,0.0,0.650398,0.075006,0.104579,0.005101,120x8
REM,26,0.906224,0.118576,0.711864,0.878096,0.078926,0.008869,0.402083,0.210417,0.999831,0.0,0.058205,0.084332,0.087303,0.000428,120x8
REM,27,0.922989,0.113118,0.686292,0.892899,0.062349,0.050103,0.392708,0.20625,0.999096,0.0,0.256253,0.064539,0.104579,0.001728,120x8
REM,28,0.902299,0.137807,0.70817,0.874927,0.024574,0.019493,0.465625,0.202083,0.999886,0.0,0.046375,0.359873,0.124406,0.002076,120x8
REM,29,0.881496,0.185064,0.739476,0.864694,0.156569,0.094827,0.348958,0.207292,0.999986,0.0,0.67717,0.015447,0.100028,0.001046,120x8
N1,0,0.918109,0.116591,0.699954,0.906667,6.9e-05,0.0,0.477083,0.208333,0.999445,0.0,0.0,0.437146,0.095634,0.0,120x8
N1,1,0.907316,0.113474,0.717053,0.892032,0.003302,0.0,0.461458,0.201042,0.999811,0.0,0.0,0.333597,0.129784,0.0,120x8
N1,2,0.92457,0.114531,0.665788,0.891427,0.000166,0.0,0.478125,0.204167,0.998941,0.0,0.0,0.444493,0.114162,0.0,120x8
N1,3,0.910248,0.147157,0.704299,0.891812,0.000412,0.0,0.471875,0.208333,0.999747,0.0,0.0,0.401174,0.095634,0.0,120x8
N1,4,0.914971,0.11,0.703941,0.890914,0.001315,1.5e-05,0.498958,0.205208,0.999594,0.0,2e-06,0.598634,0.109289,0.0,120x8
N1,5,0.894968,0.133832,0.731585,0.876029,0.001636,0.0,0.472917,0.211458,0.999945,0.0,0.0,0.408262,0.08336,0.0,120x8
N1,6,0.927195,0.092514,0.672988,0.903388,0.001694,0.0,0.475,0.20625,0.998623,0.0,0.0,0.4226,0.104579,0.0,120x8
N1,7,0.905647,0.145795,0.696019,0.881688,0.003014,0.0,0.495833,0.20625,0.99984,0.0,0.0,0.574969,0.104579,0.0,120x8
N1,8,0.925885,0.095332,0.67843,0.903478,0.00175,0.001685,0.482292,0.2,0.998792,0.0,0.000295,0.47433,0.135335,1.9e-05,120x8
N1,9,0.900623,0.12613,0.718789,0.88006,0.006736,0.0,0.488542,0.209375,0.999903,0.0,0.0,0.520229,0.091394,0.0,120x8
N1,10,0.905844,0.118347,0.722638,0.891779,0.002934,0.0,0.485417,0.20625,0.999837,0.0,0.0,0.497128,0.104579,0.0,120x8
N1,11,0.894981,0.166717,0.718913,0.869143,0.000602,0.0,0.5125,0.208333,0.999945,0.0,0.0,0.700503,0.095634,0.0,120x8
N1,12,0.88186,0.189388,0.721776,0.85694,0.000748,0.0,0.4875,0.2125,0.999985,0.0,0.0,0.512499,0.07956,0.0,120x8
N1,13,0.935193,0.118785,0.646884,0.916685,0.000283,0.0,0.49375,0.2125,0.996939,1e-06,0.0,0.55924,0.07956,0.0,120x8
N1,14,0.904456,0.15248,0.693496,0.88246,0.001596,0.0,0.504167,0.205208,0.999858,0.0,0.0,0.638092,0.109289,0.0,120x8
N1,15,0.878439,0.159172,0.729815,0.843377,0.00172,0.001718,0.482292,0.210417,0.999989,0.0,0.000295,0.47433,0.087303,1.2e-05,120x8
N1,16,0.882121,0.168605,0.733171,0.852416,0.002121,0.001416,0.477083,0.202083,0.999985,0.0,0.0003,0.437146,0.124406,1.6e-05,120x8
N1,17,0.913865,0.129573,0.705909,0.894526,4.8e-05,0.0,0.489583,0.208333,0.999637,0.0,0.0,0.527986,0.095634,0.0,120x8
N1,18,0.902834,0.141273,0.725538,0.885154,0.003454,0.0,0.492708,0.209375,0.999879,0.0,0.0,0.551397,0.091394,0.0,120x8
N1,19,0.910461,0.113384,0.710504,0.888272,6e-06,0.0,0.494792,0.215625,0.999742,0.0,0.0,0.567098,0.068988,0.0,120x8
N1,20,0.864326,0.165152,0.727132,0.838904,0.000701,0.0,0.503125,0.208333,0.999997,0.0,0.0,0.630211,0.095634,0.0,120x8
N1,21,0.911933,0.108225,0.712778,0.89438,0.026535,0.025572,0.461458,0.20625,0.999701,0.0,0.064898,0.333597,0.104579,0.002263,120x8
N1,22,0.900152,0.121396,0.708469,0.868983,0.006427,0.005675,0.485417,0.205208,0.999908,0.0,0.003638,0.497128,0.109289,0.000198,120x8
N1,23,0.885653,0.164541,0.717479,0.864631,0.006051,0.001644,0.471875,0.208333,0.999978,0.0,0.000994,0.401174,0.095634,3.8e-05,120x8
N1,24,0.894948,0.151528,0.723405,0.868479,0.000992,0.0,0.463542,0.209375,0.999945,0.0,0.0,0.346604,0.091394,0.0,120x8
N1,25,0.928543,0.096717,0.687887,0.912004,0.001609,0.0,0.472917,0.214583,0.998425,0.0,0.0,0.408262,0.072377,0.0,120x8
N1,26,0.916961,0.115944,0.691742,0.894061,0.000459,0.0,0.475,0.208333,0.999505,0.0,0.0,0.4226,0.095634,0.0,120x8
N1,27,0.923321,0.107209,0.678456,0.891615,0.002523,0.0,0.501042,0.207292,0.999065,0.0,0.0,0.614428,0.100028,0.0,120x8
N1,28,0.918549,0.108891,0.696507,0.894623,0.000142,0.0,0.489583,0.211458,0.99942,0.0,0.0,0.527986,0.08336,0.0,120x8
N1,29,0.886758,0.149823,0.734788,0.873404,0.00954,0.009299,0.472917,0.208333,0.999976,0.0,0.00882,0.408262,0.095634,0.000344,120x8
N2,0,0.903748,0.144847,0.718588,0.886021,0.000684,0.0,0.430208,0.201042,0.999868,0.0,0.0,0.173265,0.129784,0.0,120x8
N2,1,0.905534,0.110395,0.725576,0.889508,0.001632,0.0,0.453125,0.202083,0.999842,0.0,0.0,0.284336,0.124406,0.0,120x8
N2,2,0.939605,0.092236,0.656475,0.924598,0.000426,0.0,0.442708,0.2,0.995246,1e-06,0.0,0.229333,0.135335,0.0,120x8
