rule,wolfram_class,opacity_up,opacity_down,opacity_mi
165,C3,0.3331,0.9969,0.00305
166,C2,0.22892,0.9956,0.00202
167,C2,0.2441,0.90727,0.00963
168,C1,0.0,0.0,0.0
169,C3,0.31425,0.99626,0.00275
170,C2,0.0,0.9913,0.0
171,C2,0.0,0.91504,0.0
172,C2,0.0,0.54029,0.0
173,C2,0.0,0.89462,0.0
174,C2,0.0,0.89209,0.0
175,C2,0.0,0.77567,0.0
176,C2,0.0,0.7483,0.0
177,C2,0.02817,0.63444,0.00047
178,C2,0.33154,0.76011,0.00179
179,C2,0.33154,0.76011,0.00179
180,C2,0.17078,0.99675,0.00059
181,C2,0.29862,0.91474,0.00627
182,C3,0.29817,0.7589,0.00284
183,C2,0.30727,0.75297,0.00299
184,C2,0.0,0.51768,0.0
185,C2,0.0,0.70277,0.0
186,C2,0.0,0.74785,0.0
187,C2,0.0,0.71983,0.0
188,C2,0.0,0.6229,0.0
189,C2,0.0,0.62588,0.0
190,C2,0.0,0.58546,0.0
191,C2,0.0,0.50426,0.0
192,C2,0.0,0.0,0.0
193,C4,0.15457,0.97018,0.00136
194,C2,0.0,0.62981,0.0
195,C2,0.33976,0.99662,0.00334
196,C2,0.0,0.71983,0.0
197,C2,0.0,0.60515,0.0
198,C2,0.19728,0.6784,0.00272
199,C2,0.32036,0.66814,0.01297
200,C2,0.0,0.80079,0.0
201,C2,0.0,0.85815,0.0
202,C2,0.00672,0.50448,9e-05
203,C2,0.0,0.5983,0.0
204,C2,0.0,0.9913,0.0
205,C2,0.0,0.89742,0.0
206,C2,0.0,0.71983,0.0
207,C2,0.0,0.71983,0.0
208,C2,0.0,0.89124,0.0
209,C2,0.0,0.80542,0.0
210,C2,0.11972,0.99356,0.00067
211,C2,0.06613,0.8224,0.00054
212,C2,0.02336,0.75727,0.00019
213,C2,0.0,0.74587,0.0
214,C2,0.06476,0.80193,0.00191
215,C2,0.19414,0.72815,0.00586
216,C2,0.0038,0.5044,5e-05
217,C2,0.0,0.59061,0.0
218,C2,0.0,0.37421,0.0
