b_int,s_int,rule,known_name,known_class,activity,complexity,mean_H,std_H,opacity_up,opacity_down,tcomp,gzip,w_H,w_OP,w_T,w_G,rank
358,445,B12568/S0234578,,,active,0.10518204,0.89593,0.01911,0.0,0.89523,0.60811,0.1551,1.67383,0.12268,0.94015,0.54484,212
392,219,B378/S013467,,,active,0.10326773,0.99105,0.0043,0.0,0.99136,0.69878,0.16096,0.68402,0.34258,0.92668,0.47556,213
422,56,B12578/S345,,,active,0.10249102,0.99192,0.00475,0.0,0.99036,0.59642,0.161,0.63776,0.34546,0.97916,0.47508,214
20,152,B24/S347,,,active,0.1022761,0.99327,0.00526,0.01865,0.99378,0.54771,0.16144,0.552,0.42768,0.92175,0.47,215
460,310,B23678/S12458,,,active,0.10202861,0.99331,0.0047,0.01863,0.99355,0.55164,0.16112,0.53517,0.42852,0.93908,0.47376,216
408,396,B3478/S2378,,,chaotic,0.10199326,0.98952,0.00802,0.0558,0.97932,0.46235,0.16042,0.90544,0.68948,0.3391,0.4818,217
35,26,B015/S134,,,active,0.10156445,0.95459,0.01412,0.32758,0.95258,0.65654,0.15916,1.92418,0.16204,0.65602,0.49655,218
151,431,B01247/S0123578,,,active,0.10150401,0.99672,0.00343,0.11313,0.99673,0.57414,0.16069,0.25431,0.83609,0.99732,0.47867,219
38,314,B125/S13458,,,active,0.10147818,0.99223,0.00524,0.01866,0.99224,0.67374,0.1609,0.62898,0.43384,0.78091,0.47622,220
459,325,B013678/S0268,,,chaotic,0.1004243,0.96895,0.01631,0.20146,0.9664,0.42316,0.15994,1.70498,0.82574,0.14635,0.4874,221
12,424,B23/S3578,,,chaotic,0.09985067,0.98633,0.00713,0.0,0.98693,0.49271,0.16144,1.08715,0.35441,0.5514,0.47,222
241,344,B04567/S3468,,,chaotic,0.09821598,0.94032,0.01322,0.19554,0.93831,0.42179,0.15883,1.97835,0.70114,0.14148,0.50048,223
114,117,B1456/S02456,,,active,0.09811801,0.9502,0.01971,0.32735,0.93113,0.54489,0.15665,1.606,0.12781,0.90818,0.52634,224
397,101,B02378/S0256,,,chaotic,0.09769429,0.99226,0.00688,0.05037,0.98862,0.48428,0.16073,0.66928,0.62439,0.48878,0.4783,225
356,407,B2568/S012478,,,active,0.0966951,0.99145,0.00453,0.0,0.99198,0.54515,0.16147,0.6644,0.34075,0.90948,0.46962,226
258,89,B18/S0346,,,active,0.09587946,0.91039,0.01786,0.0,0.88938,0.78212,0.14584,1.76419,0.1023,0.80878,0.65686,227
1,500,B0/S245678,,,active,0.09496901,0.93632,0.00942,0.1108,0.90378,0.89242,0.11371,1.94251,0.39862,0.12735,0.96309,228
3,496,B01/S45678,,,active,0.09494897,0.97791,0.0084,0.04253,0.92376,0.87424,0.13533,1.52712,0.40546,0.19682,0.77911,229
306,395,B1458/S01378,,,chaotic,0.09481954,0.97758,0.00788,0.0,0.97766,0.46484,0.16098,1.51532,0.37094,0.35487,0.47537,230
121,363,B03456/S013568,,,chaotic,0.09451708,0.90446,0.02008,0.0,0.90516,0.51101,0.1564,1.59994,0.1619,0.68947,0.52925,231
307,138,B01458/S137,,,chaotic,0.09385762,0.97835,0.00854,0.03165,0.97764,0.44393,0.16073,1.51727,0.54955,0.23539,0.4782,232
470,212,B124678/S2467,,,chaotic,0.09371988,0.98612,0.00757,0.0,0.98669,0.48564,0.16107,1.11587,0.35498,0.4988,0.47433,233
277,369,B0248/S04568,,,active,0.09339109,0.9917,0.00478,0.0,0.99175,0.68978,0.16106,0.65421,0.34144,0.88127,0.47442,234
152,199,B347/S01267,,,chaotic,0.09268737,0.98263,0.0086,0.05032,0.9782,0.44058,0.16073,1.34075,0.65998,0.219,0.4783,235
222,173,B123467/S02357,,,chaotic,0.09236449,0.9668,0.01129,0.22433,0.9662,0.42378,0.16065,1.85677,0.69875,0.14858,0.47915,236
278,479,B1248/S01234678,,,active,0.09147606,0.99216,0.00421,0.0,0.96345,0.80061,0.15055,0.60494,0.37211,0.67738,0.59992,237
387,432,B0178/S4578,,,active,0.09035796,0.95073,0.01828,0.32931,0.91735,0.59412,0.15378,1.71005,0.09572,0.98454,0.56071,238
140,300,B237/S2358,,,active,0.09027129,0.99665,0.00326,0.08364,0.99611,0.57066,0.16101,0.25705,0.74441,0.99321,0.47499,239
339,73,B01468/S036,,,chaotic,0.09018721,0.95183,0.01341,0.32343,0.95025,0.49127,0.15915,1.95281,0.17198,0.54058,0.49675,240
472,159,B34678/S012347,,,chaotic,0.08888663,0.97968,0.00953,0.05029,0.97688,0.43341,0.16066,1.50095,0.66242,0.18662,0.47905,241
418,149,B1578/S0247,,,active,0.08862324,0.90062,0.01794,0.0,0.90065,0.65581,0.15549,1.75859,0.14342,0.65051,0.54016,242
