mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.468445,0.171323,0.441453,0.436497,0.191817,0.185999,0.750039,0.085781,1.0,0.0,0.912443,0.969115,0.960372,0.84922,2.22,0,0.10207
0.482291,0.176123,0.48565,0.44454,0.176524,0.174502,0.739785,0.086777,1.0,0.0,0.88726,0.992547,0.965637,0.850386,2.22,1,0.071094
0.47047,0.179516,0.459896,0.436023,0.157667,0.150517,0.724707,0.086523,1.0,0.0,0.831853,0.997814,0.964328,0.800425,2.22,2,0.106172
0.470115,0.173653,0.4315,0.435479,0.150718,0.150336,0.73541,0.085625,1.0,0.0,0.821009,0.997716,0.959514,0.78597,2.22,3,0.256328
0.494827,0.2005,0.526666,0.455298,0.175433,0.168696,0.731777,0.089629,1.0,0.0,0.879477,0.999753,0.978718,0.860547,2.22,4,0.001211
0.46046,0.18651,0.453829,0.42696,0.175265,0.169007,0.747305,0.084199,1.0,0.0,0.879673,0.976877,0.951293,0.817477,2.22,5,0.227617
0.497217,0.205536,0.527628,0.456361,0.131569,0.128683,0.707246,0.088789,1.0,0.0,0.743032,0.960359,0.975176,0.695864,2.22,6,0.078828
0.480199,0.185368,0.499126,0.444029,0.177641,0.174822,0.743789,0.087539,1.0,0.0,0.888757,0.985255,0.969422,0.848877,2.22,7,0.129492
0.470763,0.193255,0.471806,0.438593,0.146972,0.128245,0.729531,0.086914,1.0,0.0,0.771014,0.999983,0.966331,0.745042,2.22,8,0.20832
0.492677,0.183527,0.492756,0.458217,0.157363,0.155738,0.725645,0.089414,1.0,0.0,0.839601,0.998519,0.977837,0.819777,2.22,9,0.100742
0.475491,0.200811,0.510476,0.438145,0.149565,0.149496,0.72207,0.085996,1.0,0.0,0.817752,0.9951,0.961537,0.782446,2.22,10,0.110352
0.456822,0.205343,0.475573,0.424917,0.152277,0.132068,0.731738,0.08418,1.0,0.0,0.788216,0.999764,0.951176,0.749555,2.22,11,0.20207
0.454725,0.190507,0.439207,0.425456,0.204482,0.174323,0.757129,0.084727,1.0,0.0,0.909617,0.944124,0.954416,0.819644,2.22,12,0.119922
0.448272,0.165069,0.391091,0.419448,0.212575,0.186083,0.759648,0.083437,1.0,0.0,0.925996,0.933631,0.946615,0.818385,2.22,13,0.081797
0.472308,0.18406,0.459791,0.438391,0.147592,0.147588,0.720332,0.086699,1.0,0.0,0.811256,0.992724,0.965236,0.777356,2.22,14,0.015234
0.479064,0.178855,0.48138,0.444101,0.187058,0.16604,0.745391,0.087012,1.0,0.0,0.88715,0.981665,0.966824,0.841991,2.22,15,0.023867
