mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.521731,0.135221,0.493139,0.466022,0.226767,0.079451,0.776641,0.08689,1.0,0.0,0.646931,0.843708,0.966208,0.527377,2.22,0,0.189473
0.521366,0.133786,0.507377,0.467094,0.236422,0.03802,0.775386,0.08708,1.0,0.0,0.356518,0.851354,0.967166,0.293557,2.22,1,0.088848
0.525517,0.137822,0.483592,0.467425,0.114588,0.066558,0.765825,0.086636,1.0,0.0,0.475192,0.904594,0.96491,0.414772,2.22,2,0.510439
0.513686,0.141067,0.383399,0.459523,0.000223,0.000223,0.778188,0.086045,1.0,0.0,5e-06,0.834088,0.9618,4e-06,2.22,3,0.746172
0.523389,0.132084,0.491194,0.468338,0.17833,0.085956,0.775444,0.087339,1.0,0.0,0.657784,0.851,0.968448,0.542112,2.22,4,0.401768
0.503236,0.126596,0.468447,0.453634,0.248291,0.126779,0.781938,0.085474,1.0,0.0,0.841381,0.809976,0.958675,0.653336,2.22,5,0.077539
0.498968,0.117475,0.421636,0.450482,0.269763,0.053548,0.79084,0.084717,1.0,0.0,0.485138,0.748878,0.954359,0.346727,2.22,6,0.034053
0.519762,0.134226,0.379097,0.465205,0.0,0.0,0.780054,0.086763,1.0,0.0,0.0,0.822232,0.965562,0.0,2.22,7,0.753311
0.504197,0.129131,0.361178,0.451678,2.3e-05,1.9e-05,0.784487,0.08502,1.0,0.0,0.0,0.792992,0.956109,0.0,2.22,8,0.760508
0.512852,0.127636,0.457373,0.460595,0.21997,0.047712,0.783687,0.086318,1.0,0.0,0.433156,0.798376,0.963255,0.333114,2.22,9,0.297598
0.503168,0.138647,0.454619,0.450823,0.234981,0.091596,0.782896,0.084795,1.0,0.0,0.710924,0.803652,0.954814,0.545519,2.22,10,0.218828
0.519167,0.132373,0.494651,0.465341,0.240482,0.08805,0.775986,0.086987,1.0,0.0,0.695242,0.847712,0.966701,0.56974,2.22,11,0.030869
0.520514,0.130555,0.461844,0.466131,0.18518,0.058902,0.778481,0.087246,1.0,0.0,0.503747,0.832245,0.967991,0.405821,2.22,12,0.395449
0.50829,0.128528,0.473395,0.456307,0.249543,0.13139,0.782817,0.085918,1.0,0.0,0.853571,0.804171,0.961115,0.659726,2.22,13,0.061436
0.517352,0.128365,0.472906,0.465742,0.200521,0.122718,0.77605,0.08748,1.0,0.0,0.811786,0.847325,0.969139,0.666619,2.22,14,0.305273
0.513808,0.130801,0.458545,0.460207,0.183267,0.056287,0.781045,0.085972,1.0,0.0,0.484642,0.81582,0.961406,0.380121,2.22,15,0.417559
0.514615,0.122533,0.434956,0.460416,0.149405,0.048956,0.781113,0.08624,1.0,0.0,0.410323,0.815375,0.962842,0.322135,2.22,16,0.490674
0.530016,0.14401,0.445329,0.472506,0.019551,0.01922,0.770737,0.087856,1.0,0.0,0.036655,0.878402,0.970937,0.031262,2.22,17,0.686719
0.518432,0.128861,0.466694,0.464335,0.2031,0.106189,0.780908,0.086777,1.0,0.0,0.759771,0.816709,0.965637,0.599189,2.22,18,0.348467
0.507584,0.128036,0.443506,0.457589,0.1998,0.084231,0.783115,0.086172,1.0,0.0,0.662219,0.802191,0.962479,0.511294,2.22,19,0.367725
0.529685,0.138746,0.531105,0.471808,0.227473,0.080576,0.771509,0.087959,1.0,0.0,0.653283,0.874059,0.971419,0.554688,2.225,0,0.086885
0.529273,0.135936,0.513744,0.474494,0.231604,0.041452,0.773408,0.088335,1.0,0.0,0.384738,0.863114,0.973152,0.323158,2.225,1,0.089229
0.531862,0.139784,0.505101,0.473014,0.182586,0.042556,0.768374,0.087188,1.0,0.0,0.381293,0.891327,0.967701,0.32888,2.225,2,0.33123
0.524761,0.15102,0.429908,0.467338,0.020832,0.020201,0.766992,0.087261,1.0,0.0,0.040928,0.898608,0.968063,0.035604,2.225,3,0.677891
