mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.535753,0.022656,0.306482,0.470609,1e-05,1e-05,0.781735,0.087545,1.411839,0.0,0.0,0.811312,0.96945,0.0,2.22,0,0.755225
0.537125,0.028169,0.317883,0.471571,4.3e-05,4.1e-05,0.781805,0.087661,1.129708,0.0,0.0,0.810856,0.970008,0.0,2.22,1,0.754076
0.537367,0.023897,0.320312,0.471796,2e-06,0.0,0.780559,0.087752,1.330933,0.0,0.0,0.818974,0.970443,0.0,2.22,2,0.754056
0.536442,0.023782,0.311164,0.471049,6e-06,6e-06,0.781308,0.087645,1.338073,0.0,0.0,0.814109,0.969932,0.0,2.22,3,0.75471
0.537679,0.024634,0.297521,0.471982,4.1e-05,4.1e-05,0.781463,0.087735,1.287334,0.0,0.0,0.813092,0.970361,0.0,2.22,4,0.753804
0.537462,0.023937,0.311134,0.471508,2.8e-05,2.8e-05,0.781237,0.087667,1.328475,0.0,0.0,0.814569,0.970039,0.0,2.22,5,0.753985
0.709765,0.215816,0.619508,0.554681,0.118576,0.039672,0.760487,0.089832,1.0,0.0,0.312744,0.929962,0.979533,0.284887,2.22,6,0.485386
0.570142,0.103442,0.423798,0.488948,0.008341,0.007079,0.775969,0.088337,1.0,0.0,0.005881,0.847818,0.973161,0.004852,2.22,7,0.718437
0.538158,0.023648,0.325302,0.472314,7e-06,7e-06,0.780466,0.087838,1.346439,0.0,0.0,0.819575,0.970851,0.0,2.22,8,0.753502
0.535585,0.023995,0.312608,0.470746,1e-05,9e-06,0.781848,0.087676,1.324947,0.0,0.0,0.810574,0.97008,0.0,2.22,9,0.755307
0.537237,0.021848,0.308104,0.471581,7e-06,6e-06,0.780979,0.087701,1.468738,0.0,0.0,0.816248,0.9702,0.0,2.22,10,0.7542
0.538383,0.025303,0.317906,0.472131,2.8e-05,2.8e-05,0.780847,0.087654,1.250907,0.0,0.0,0.817105,0.969977,0.0,2.22,11,0.753292
0.538875,0.024039,0.317938,0.472686,2.6e-05,2.6e-05,0.780396,0.087771,1.322298,0.0,0.0,0.820029,0.970533,0.0,2.22,12,0.752983
0.537842,0.024893,0.320271,0.472342,1.1e-05,1.1e-05,0.780722,0.087858,1.272922,0.0,0.0,0.817918,0.970946,0.0,2.22,13,0.75369
0.540686,0.025167,0.323441,0.473338,2.4e-05,2.4e-05,0.77942,0.087733,1.258111,0.0,0.0,0.82629,0.970354,0.0,2.22,14,0.751662
0.540298,0.025292,0.329042,0.47362,1.8e-05,1.8e-05,0.779612,0.087911,1.251498,0.0,0.0,0.825068,0.971194,0.0,2.22,15,0.751938
0.540415,0.024696,0.324379,0.473543,2.1e-05,2e-05,0.77956,0.087887,1.283839,0.0,0.0,0.825397,0.97108,0.0,2.22,16,0.751872
0.538728,0.022957,0.321399,0.472771,1.6e-05,1.5e-05,0.780342,0.08786,1.391416,0.0,0.0,0.820374,0.970954,0.0,2.22,17,0.753118
0.538348,0.023105,0.32142,0.47265,1.5e-05,1.2e-05,0.780597,0.087893,1.381559,0.0,0.0,0.818729,0.971111,0.0,2.22,18,0.753381
0.540716,0.027638,0.317886,0.473868,4.3e-05,4.2e-05,0.779718,0.087916,1.148018,0.0,0.0,0.824387,0.971219,0.0,2.22,19,0.75156
0.550401,0.023553,0.315404,0.48091,2.6e-05,2.4e-05,0.774403,0.088842,1.352453,0.0,0.0,0.857241,0.975409,0.0,2.225,0,0.744764
0.549908,0.027,0.330697,0.480791,1.7e-05,1.7e-05,0.774516,0.088804,1.172408,0.0,0.0,0.856571,0.975244,0.0,2.225,1,0.745007
0.553732,0.026361,0.321386,0.483206,2.7e-05,2.5e-05,0.772465,0.08906,1.199625,0.0,0.0,0.868591,0.976346,0.0,2.225,2,0.742261
0.548863,0.025752,0.331564,0.480125,1.6e-05,1.6e-05,0.775047,0.088784,1.228213,0.0,0.0,0.853391,0.975154,0.0,2.225,3,0.745802
0.561164,0.044425,0.321195,0.487695,0.000555,0.000555,0.771682,0.089208,1.000271,0.0,3.1e-05,0.873076,0.976975,2.6e-05,2.225,4,0.735865
0.552296,0.025293,0.315381,0.482158,4e-05,3.9e-05,0.773743,0.08893,1.251454,0.0,0.0,0.861151,0.975789,0.0,2.225,5,0.743339
0.549857,0.024949,0.326942,0.480545,1.5e-05,1.5e-05,0.774532,0.088831,1.269812,0.0,0.0,0.856478,0.975361,0.0,2.225,6,0.745112
0.552299,0.023965,0.321427,0.482567,2.2e-05,2.2e-05,0.773323,0.089067,1.326761,0.0,0.0,0.863614,0.976378,0.0,2.225,7,0.743376
0.556798,0.027177,0.309622,0.484977,9.9e-05,9.9e-05,0.771803,0.089184,1.165367,0.0,1e-06,0.872386,0.976877,1e-06,2.225,8,0.74
0.550172,0.026299,0.327679,0.481224,1.9e-05,1.8e-05,0.774496,0.088939,1.202409,0.0,0.0,0.856689,0.975829,0.0,2.225,9,0.744841
0.550781,0.02355,0.324402,0.481463,1.5e-05,1.4e-05,0.773928,0.08895,1.352658,0.0,0.0,0.860061,0.975875,0.0,2.225,10,0.744489
0.548164,0.025097,0.332527,0.479817,2.6e-05,2.6e-05,0.775617,0.088782,1.261841,0.0,0.0,0.849956,0.975145,0.0,2.225,11,0.746323
0.563347,0.050675,0.315141,0.489079,0.000847,0.000844,0.771313,0.089208,1.000008,0.0,7.1e-05,0.875169,0.976977,6.1e-05,2.225,12,0.733767
0.550869,0.025647,0.324391,0.481676,2.6e-05,2.4e-05,0.7742,0.088968,1.233395,0.0,0.0,0.85845,0.975951,0.0,2.225,13,0.744358
0.549656,0.023736,0.317954,0.480518,1e-06,1e-06,0.774064,0.088796,1.340932,0.0,0.0,0.859251,0.975206,0.0,2.225,14,0.745294
0.5519,0.027343,0.323415,0.482228,2.6e-05,2.6e-05,0.773508,0.089036,1.158975,0.0,0.0,0.862531,0.976246,0.0,2.225,15,0.743556
0.553299,0.02419,0.315399,0.483003,1.3e-05,1.3e-05,0.772588,0.089062,1.313219,0.0,0.0,0.867882,0.976357,0.0,2.225,16,0.742647
0.548296,0.025459,0.326122,0.480078,1.1e-05,8e-06,0.775132,0.088852,1.24287,0.0,0.0,0.852886,0.975451,0.0,2.225,17,0.746224
0.553672,0.025443,0.315379,0.483362,3.8e-05,3.8e-05,0.77291,0.089089,1.243697,0.0,0.0,0.86602,0.976473,0.0,2.225,18,0.742336
0.551305,0.026758,0.322413,0.481882,2.1e-05,2.1e-05,0.773829,0.089004,1.182409,0.0,0.0,0.860641,0.976107,0.0,2.225,19,0.744005
0.568149,0.03011,0.250093,0.493307,0.000143,0.000143,0.766175,0.090149,1.077121,0.0,2e-06,0.902814,0.980779,2e-06,2.23,0,0.731526
0.564861,0.026625,0.270233,0.491386,7.8e-05,7.5e-05,0.767358,0.09005,1.188056,0.0,1e-06,0.8967,0.980393,1e-06,2.23,1,0.734099
0.570072,0.028912,0.230121,0.494745,5.5e-05,5.4e-05,0.764168,0.090393,1.107041,0.0,0.0,0.912826,0.981711,0.0,2.23,2,0.730142
0.562669,0.029164,0.284936,0.490069,6.7e-05,6.7e-05,0.768412,0.08991,1.10009,0.0,0.0,0.891125,0.979844,0.0,2.23,3,0.735621
0.572299,0.030968,0.207249,0.495893,0.000143,0.000143,0.763912,0.090353,1.060163,0.0,2e-06,0.914074,0.98156,2e-06,2.23,4,0.728382
0.565383,0.029488,0.261993,0.491841,5.7e-05,5.7e-05,0.766756,0.090138,1.091705,0.0,0.0,0.899833,0.980736,0.0,2.23,5,0.733604
0.573491,0.042311,0.23006,0.49634,0.000386,0.000386,0.764868,0.090226,1.000763,0.0,1.5e-05,0.90939,0.981076,1.3e-05,2.23,6,0.726831
0.569732,0.028935,0.222836,0.494706,8.9e-05,8.9e-05,0.764789,0.090404,1.106409,0.0,1e-06,0.90978,0.98175,1e-06,2.23,7,0.730396
0.566838,0.02448,0.230168,0.492678,4.7e-05,4.6e-05,0.766016,0.090252,1.296172,0.0,0.0,0.903628,0.981176,0.0,2.23,8,0.732704
0.565544,0.027992,0.23708,0.492196,4.4e-05,4.4e-05,0.766554,0.09024,1.135613,0.0,0.0,0.900875,0.981128,0.0,2.23,9,0.733544
0.569362,0.028187,0.22653,0.494196,4.1e-05,4.1e-05,0.764457,0.090335,1.129123,0.0,0.0,0.911417,0.98149,0.0,2.23,10,0.7307
0.564064,0.030715,0.280283,0.491213,6.6e-05,6.6e-05,0.767575,0.09008,1.064804,0.0,0.0,0.895561,0.980512,0.0,2.23,11,0.734519
0.565777,0.025907,0.233673,0.492276,4.2e-05,4.1e-05,0.766363,0.09023,1.220675,0.0,0.0,0.901854,0.981092,0.0,2.23,12,0.733447
0.566046,0.025946,0.240481,0.492689,3e-05,2.9e-05,0.766093,0.090346,1.218815,0.0,0.0,0.903232,0.981531,0.0,2.23,13,0.733243
0.563889,0.026461,0.250136,0.490635,7.7e-05,7.7e-05,0.767853,0.090002,1.195175,0.0,1e-06,0.894096,0.980206,1e-06,2.23,14,0.734823
0.564203,0.025205,0.253244,0.491369,3e-05,3e-05,0.767094,0.090183,1.256096,0.0,0.0,0.898079,0.980912,0.0,2.23,15,0.734633
0.56963,0.030917,0.250079,0.494522,5.3e-05,5.2e-05,0.76435,0.09039,1.061071,0.0,0.0,0.911939,0.9817,0.0,2.23,16,0.730393
0.566863,0.036033,0.250081,0.493135,9.9e-05,9.9e-05,0.766314,0.090255,1.010972,0.0,1e-06,0.902104,0.981187,1e-06,2.23,17,0.732184
0.565316,0.02827,0.259132,0.49216,3e-05,3e-05,0.766458,0.090243,1.126428,0.0,0.0,0.901368,0.981141,0.0,2.23,18,0.733702
0.5683,0.028968,0.233621,0.493941,7e-05,7e-05,0.765343,0.09038,1.10546,0.0,0.0,0.907024,0.981661,0.0,2.23,19,0.731465
0.576323,0.025935,0.121891,0.500208,4.5e-05,4.5e-05,0.760682,0.091233,1.219342,0.0,0.0,0.929094,0.984746,0.0,2.235,0,0.725558
0.587327,0.042071,0.161375,0.506692,0.000477,0.000473,0.757587,0.091555,1.000855,0.0,2.3e-05,0.942276,0.985837,2.1e-05,2.235,1,0.71632
0.586126,0.034269,0.127972,0.506004,0.000218,0.000218,0.756944,0.09163,1.020772,0.0,5e-06,0.944862,0.986086,5e-06,2.235,2,0.717751
0.578293,0.030661,0.190167,0.501196,4.4e-05,4.1e-05,0.759883,0.09126,1.065847,0.0,0.0,0.932611,0.984837,0.0,2.235,3,0.723886
0.584226,0.027402,0.088197,0.504934,8.7e-05,8.7e-05,0.756969,0.091634,1.156725,0.0,1e-06,0.944762,0.986101,1e-06,2.235,4,0.719498
0.582278,0.033303,0.150838,0.503631,0.000125,0.000124,0.758288,0.091412,1.028852,0.0,2e-06,0.939398,0.985357,1e-06,2.235,5,0.720736
0.581381,0.027902,0.139726,0.502897,5.7e-05,5.7e-05,0.758257,0.091393,1.138669,0.0,0.0,0.939526,0.985293,0.0,2.235,6,0.721658
0.582007,0.028975,0.102331,0.503768,6.2e-05,6.1e-05,0.757928,0.091533,1.105289,0.0,0.0,0.940885,0.985765,0.0,2.235,7,0.721134
0.586825,0.031823,0.109059,0.506379,0.000136,0.000136,0.756021,0.091673,1.046424,0.0,2e-06,0.948477,0.986228,2e-06,2.235,8,0.717319
0.583927,0.03594,0.11555,0.50488,0.000231,0.00023,0.758234,0.091563,1.011363,0.0,5e-06,0.939623,0.985866,5e-06,2.235,9,0.719339
0.626095,0.11554,0.332129,0.52574,0.016284,0.012526,0.752168,0.092104,1.0,0.0,0.020114,0.962334,0.987607,0.019117,2.235,10,0.661976
0.583874,0.03097,0.12189,0.504778,0.000109,0.000107,0.757308,0.091569,1.06012,0.0,1e-06,0.943404,0.985883,1e-06,2.235,11,0.719621
0.585602,0.031896,0.145364,0.505648,0.000217,0.000217,0.757237,0.091576,1.045383,0.0,5e-06,0.943689,0.985909,5e-06,2.235,12,0.718261
0.584824,0.034633,0.12187,0.505703,0.000153,0.000152,0.757366,0.091644,1.018281,0.0,2e-06,0.943171,0.986132,2e-06,2.235,13,0.718694
0.577909,0.029374,0.145381,0.500989,5.3e-05,5.3e-05,0.760041,0.09122,1.094589,0.0,0.0,0.931925,0.984702,0.0,2.235,14,0.724225
0.58341,0.029862,0.109057,0.504487,8.3e-05,8.3e-05,0.757319,0.091584,1.082697,0.0,1e-06,0.943362,0.985933,1e-06,2.235,15,0.720023
0.580073,0.027223,0.133953,0.502438,5.1e-05,5.1e-05,0.759021,0.091382,1.163575,0.0,0.0,0.936321,0.985257,0.0,2.235,16,0.722676
0.583792,0.033938,0.156173,0.504781,0.000204,0.000203,0.758124,0.091554,1.023281,0.0,4e-06,0.940078,0.985834,4e-06,2.235,17,0.719547
0.579631,0.030048,0.190149,0.502429,6.8e-05,6.6e-05,0.759311,0.09145,1.078499,0.0,0.0,0.935081,0.985487,0.0,2.235,18,0.722903
0.583711,0.031612,0.121858,0.504888,6.6e-05,6.5e-05,0.757007,0.091619,1.04954,0.0,0.0,0.944611,0.986051,0.0,2.235,19,0.719723
0.603621,0.037629,0.047099,0.518191,0.000391,0.000391,0.74849,0.09292,1.005907,0.0,1.5e-05,0.973645,0.990025,1.5e-05,2.24,0,0.703892
0.604195,0.0394,0.026902,0.518494,0.000299,0.000295,0.747594,0.092915,1.002836,0.0,9e-06,0.976108,0.990012,9e-06,2.24,1,0.703332
0.598061,0.03412,0.10229,0.514919,6.1e-05,6e-05,0.748866,0.092822,1.021869,0.0,0.0,0.972577,0.989749,0.0,2.24,2,0.708487
0.59622,0.031823,0.056162,0.513826,6.8e-05,6.7e-05,0.750246,0.092728,1.046431,0.0,0.0,0.968483,0.989479,0.0,2.24,3,0.710036
0.601697,0.034887,0.064727,0.517097,0.000252,0.000252,0.748875,0.092921,1.016701,0.0,6e-06,0.97255,0.990028,6e-06,2.24,4,0.705578
0.598497,0.032785,0.056162,0.514889,0.000166,0.000165,0.749936,0.092716,1.034217,0.0,3e-06,0.969426,0.989445,3e-06,2.24,5,0.708211
0.60235,0.042253,0.095324,0.517306,0.000434,0.000426,0.749484,0.09288,1.000784,0.0,1.8e-05,0.970776,0.989913,1.8e-05,2.24,6,0.70458
0.609093,0.042783,0.026905,0.521641,0.000623,0.000621,0.746637,0.093133,1.000609,0.0,3.9e-05,0.978607,0.990614,3.8e-05,2.24,7,0.699169
0.599312,0.027873,0.026911,0.515748,5.4e-05,5.4e-05,0.748251,0.092912,1.139699,0.0,0.0,0.974312,0.990002,0.0,2.24,8,0.707783
0.604393,0.037969,0.080659,0.518671,0.000336,0.000335,0.74772,0.092964,1.005151,0.0,1.1e-05,0.975768,0.990147,1.1e-05,2.24,9,0.703275
0.600233,0.033086,0.026905,0.516193,9.9e-05,9.8e-05,0.748304,0.092876,1.031002,0.0,1e-06,0.974166,0.989902,1e-06,2.24,10,0.70681
