mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.535581,0.083833,0.35126,0.471736,2.2e-05,8e-06,0.778152,0.087231,1.0,0.0,0.0,0.834318,0.967919,0.0,2.22,0,0.75095
0.531169,0.083354,0.319588,0.470078,3.4e-05,2.5e-05,0.781656,0.087167,1.0,0.0,0.0,0.811827,0.967598,0.0,2.22,1,0.754175
0.532486,0.096811,0.360092,0.469493,0.000129,0.000127,0.779452,0.086743,1.0,0.0,2e-06,0.826088,0.965462,1e-06,2.22,2,0.750056
0.527968,0.081177,0.329469,0.46683,3e-06,0.0,0.781965,0.086418,1.0,0.0,0.0,0.8098,0.963781,0.0,2.22,3,0.75676
0.540159,0.08618,0.469204,0.47599,0.222089,0.043889,0.774382,0.087788,1.0,0.0,0.403119,0.857366,0.970614,0.335464,2.22,4,0.203413
0.534802,0.09286,0.355227,0.470918,0.000154,0.000134,0.779216,0.086835,1.0,0.0,2e-06,0.82759,0.965929,2e-06,2.22,5,0.74998
0.537794,0.086014,0.348308,0.473758,4.6e-05,4.1e-05,0.77839,0.087452,1.0,0.0,0.0,0.832821,0.969002,0.0,2.22,6,0.749302
0.530798,0.087261,0.330021,0.469405,0.0,0.0,0.780211,0.086946,1.0,0.0,0.0,0.821219,0.966492,0.0,2.22,7,0.753914
0.535488,0.085186,0.335614,0.473274,1.9e-05,1.9e-05,0.778629,0.087555,1.0,0.0,0.0,0.831312,0.969499,0.0,2.22,8,0.750859
0.53417,0.081371,0.331961,0.470964,4e-06,0.0,0.779071,0.086908,1.0,0.0,0.0,0.828513,0.966301,0.0,2.22,9,0.752434
0.530154,0.088916,0.334119,0.46852,4.4e-05,3e-06,0.781193,0.086611,1.0,0.0,0.0,0.814858,0.964784,0.0,2.22,10,0.75398
0.535318,0.088478,0.338285,0.472202,2e-06,0.0,0.777424,0.087123,1.0,0.0,0.0,0.838863,0.967379,0.0,2.22,11,0.750652
0.52799,0.078339,0.325899,0.466924,1e-06,0.0,0.782311,0.08665,1.0,0.0,0.0,0.807524,0.964985,0.0,2.22,12,0.757036
0.528953,0.074635,0.332275,0.46907,3e-05,3e-05,0.782729,0.087003,1.0,0.0,0.0,0.804754,0.966781,0.0,2.22,13,0.756694
0.534097,0.07524,0.333295,0.471415,5e-06,5e-06,0.779263,0.087046,1.0,0.0,0.0,0.827294,0.966995,0.0,2.22,14,0.753103
