mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.581071,0.099818,0.396185,0.50699,1e-06,0.0,0.751873,0.091579,1.0,0.0,0.0,0.963311,0.985917,0.0,2.24,14,0.713581
0.584582,0.102315,0.422023,0.508672,0.009007,0.009007,0.7514,0.09166,1.0,0.0,0.008069,0.964855,0.986186,0.007678,2.24,15,0.673968
0.592068,0.107114,0.556591,0.51308,0.182837,0.022195,0.746783,0.09212,1.0,0.0,0.207386,0.978235,0.987658,0.200368,2.24,16,0.114736
0.587142,0.105797,0.519696,0.51076,0.115031,0.039972,0.74811,0.092104,1.0,0.0,0.310549,0.974702,0.987607,0.298942,2.24,17,0.446497
0.581961,0.096895,0.371143,0.507221,2.1e-05,2e-05,0.753888,0.091493,1.0,0.0,0.0,0.9564,0.985629,0.0,2.24,18,0.714487
0.602627,0.116053,0.479426,0.519292,0.025335,0.019861,0.738712,0.092493,1.0,0.0,0.04863,0.994088,0.988791,0.047801,2.24,19,0.614455
0.604841,0.104371,0.389549,0.524329,1e-06,0.0,0.739049,0.093633,1.0,0.0,0.0,0.993624,0.991925,0.0,2.25,0,0.694813
0.617226,0.118278,0.425241,0.531281,0.000255,0.000243,0.732508,0.094166,1.0,0.0,6e-06,0.999509,0.993216,6e-06,2.25,1,0.679323
0.641134,0.13275,0.640842,0.546289,0.144416,0.07674,0.718867,0.095703,1.0,0.0,0.577342,0.990364,0.996314,0.569671,2.25,2,0.060562
0.608385,0.117205,0.569312,0.526476,0.161525,0.047112,0.735442,0.093827,1.0,0.0,0.405702,0.997689,0.992409,0.401691,2.25,3,0.160706
0.616582,0.112343,0.545113,0.531504,0.139167,0.022137,0.733267,0.094229,1.0,0.0,0.192454,0.999167,0.993362,0.191017,2.25,4,0.275239
0.613645,0.114756,0.49612,0.530243,0.037501,0.018158,0.732739,0.094259,1.0,0.0,0.064366,0.999414,0.993431,0.063905,2.25,5,0.57362
0.615633,0.114833,0.55784,0.531474,0.127238,0.056534,0.7311,0.0945,1.0,0.0,0.437416,0.999905,0.993967,0.434736,2.25,6,0.319334
0.616241,0.119199,0.591228,0.530309,0.148646,0.016669,0.727896,0.093999,1.0,0.0,0.149088,0.999654,0.992824,0.147967,2.25,7,0.171362
0.628049,0.120731,0.581428,0.53819,0.139596,0.044818,0.721361,0.094774,1.0,0.0,0.371839,0.994187,0.994552,0.367663,2.25,8,0.16312
0.616786,0.109855,0.551295,0.531893,0.158148,0.017459,0.731606,0.094434,1.0,0.0,0.158812,0.999798,0.993824,0.1578,2.25,9,0.132682
0.611568,0.109898,0.394612,0.528689,0.00018,0.000176,0.73572,0.094139,1.0,0.0,3e-06,0.997447,0.993153,3e-06,2.25,10,0.685332
0.628308,0.118326,0.577531,0.538862,0.126247,0.025966,0.724358,0.09492,1.0,0.0,0.216321,0.997516,0.994853,0.214673,2.25,11,0.281403
0.633193,0.12357,0.418241,0.541176,0.000455,0.000454,0.722582,0.095038,1.0,0.0,2.1e-05,0.99571,0.995088,2e-05,2.25,12,0.660801
0.625794,0.115579,0.557811,0.53823,0.152551,0.018277,0.726312,0.095037,1.0,0.0,0.16443,0.998938,0.995087,0.163449,2.25,13,0.109009
0.631994,0.128542,0.457541,0.541509,0.002007,0.001659,0.723605,0.095164,1.0,0.0,0.000333,0.99681,0.995334,0.00033,2.25,14,0.653756
0.623261,0.118396,0.560028,0.535702,0.136882,0.059874,0.727405,0.094897,1.0,0.0,0.47097,0.999474,0.994805,0.468277,2.25,15,0.251862
0.630667,0.137513,0.643207,0.539674,0.148903,0.089092,0.721418,0.095139,1.0,0.0,0.642903,0.994262,0.995286,0.636201,2.25,16,0.05686
0.621252,0.109637,0.540993,0.534345,0.130359,0.021925,0.729338,0.094705,1.0,0.0,0.186161,0.999966,0.994407,0.185114,2.25,17,0.292936
0.621765,0.110649,0.457052,0.534814,0.018874,0.01566,0.728916,0.094733,1.0,0.0,0.028975,0.999908,0.994467,0.028812,2.25,18,0.608734
0.628897,0.123926,0.591987,0.539199,0.134831,0.02784,0.724727,0.095037,1.0,0.0,0.237129,0.99783,0.995085,0.235452,2.25,19,0.241828
0.662607,0.131033,0.632375,0.563139,0.124459,0.054084,0.703089,0.097695,1.0,0.0,0.417979,0.944993,0.998938,0.394568,2.26,0,0.034478
0.658409,0.115832,0.483318,0.560059,0.040864,0.021649,0.707765,0.09733,1.0,0.0,0.082563,0.962113,0.998575,0.079322,2.26,1,0.502824
