condition,trial,stride,T_eff,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
rand_coherent,2,1,200,0.016331,0.375997,0.051066,0.823932,0.231862,0.026908,0.997471,0.997696,0.023304,0.28805,0.469945,0.942578,0.980817
rand_coherent,2,2,100,0.023348,0.403082,0.079839,0.816602,0.231849,0.047101,0.99749,0.9978,0.022233,0.46411,0.662706,0.950214,0.980812
rand_coherent,2,4,50,0.024034,0.384655,0.1214,0.803411,0.231797,0.047081,0.997774,0.998055,0.019631,0.461102,0.837103,0.961536,0.980792
rand_coherent,2,8,25,0.017464,0.318352,0.194581,0.772604,0.23276,0.0,0.998012,0.998154,0.018617,0.019875,0.956698,0.979043,0.981155
rand_coherent,2,16,12,0.018938,0.497427,0.417508,0.73117,0.232772,0.0,0.997663,0.998107,0.019048,0.02337,0.999346,0.990795,0.981159
rand_coherent,3,1,200,0.01698,0.352759,0.033263,0.829753,0.231927,0.156137,0.998597,0.998533,0.014801,0.929668,0.320329,0.935718,0.980841
rand_coherent,3,2,100,0.021375,0.384459,0.117372,0.82056,0.232057,0.203026,0.998754,0.998734,0.012771,0.978568,0.8247,0.946223,0.980891
rand_coherent,3,4,50,0.017757,0.39593,0.153017,0.806693,0.231693,0.156169,0.998958,0.998978,0.010284,0.926109,0.90978,0.958981,0.980752
rand_coherent,3,8,25,0.016991,0.342935,0.180082,0.784271,0.233229,0.17617,0.999094,0.999068,0.009377,0.951751,0.9449,0.973608,0.981329
rand_coherent,3,16,12,0.008544,0.274275,0.0,0.73758,0.232873,0.206128,0.999227,0.999105,0.009018,0.975838,0.0,0.989542,0.981197
rand_coherent,4,1,200,0.015763,0.314268,0.0,0.832207,0.23347,0.13388,0.998443,0.998082,0.019418,0.886955,0.0,0.932592,0.981418
rand_coherent,4,2,100,0.026385,0.338735,0.072415,0.824115,0.233503,0.133881,0.998469,0.998126,0.018959,0.886696,0.618057,0.942375,0.98143
rand_coherent,4,4,50,0.011349,0.251553,0.0,0.809896,0.233594,0.133915,0.99878,0.998643,0.013683,0.883664,0.0,0.956326,0.981464
rand_coherent,4,8,25,0.016842,0.244507,0.043599,0.782448,0.233906,0.133867,0.998798,0.998646,0.013674,0.883374,0.404189,0.974541,0.981578
rand_coherent,4,16,12,0.02243,0.48953,0.244053,0.740485,0.234175,0.130275,0.998914,0.998765,0.012435,0.873285,0.984754,0.98892,0.981676
rand_coherent,5,1,200,0.014808,0.34085,0.063318,0.825495,0.232624,0.047099,0.998411,0.998431,0.015823,0.454885,0.559008,0.94081,0.981104
rand_coherent,5,2,100,0.018377,0.321536,0.082807,0.816849,0.232617,0.064727,0.998437,0.998451,0.015616,0.58546,0.677251,0.949973,0.981101
rand_coherent,5,4,50,0.018821,0.282272,0.077562,0.800964,0.232214,0.080697,0.998363,0.998514,0.014976,0.68428,0.645608,0.96334,0.98095
rand_coherent,5,8,25,0.015549,0.254354,0.046775,0.774844,0.232969,0.080695,0.998276,0.99856,0.014515,0.685146,0.431018,0.978094,0.981233
rand_coherent,5,16,12,0.008794,0.229796,0.103945,0.724459,0.233774,0.0,0.998521,0.998844,0.011626,0.014788,0.762128,0.991946,0.98153
rand_coherent,6,1,200,0.013882,0.236065,0.0488,0.811159,0.233086,0.194523,0.999165,0.99896,0.010481,0.9683,0.444642,0.955234,0.981276
rand_coherent,6,2,100,0.014844,0.244893,0.063634,0.803047,0.233255,0.185596,0.999151,0.99897,0.010382,0.960798,0.554072,0.96181,0.981339
rand_coherent,6,4,50,0.011631,0.220312,0.036039,0.789557,0.232995,0.176265,0.999232,0.999059,0.009483,0.950475,0.33723,0.970708,0.981242
rand_coherent,6,8,25,0.006767,0.148504,0.0,0.762865,0.233854,0.133875,0.999141,0.999208,0.007973,0.879962,0.0,0.98272,0.981559
rand_coherent,6,16,12,0.00713,0.178817,0.0,0.716647,0.234675,0.130236,0.999142,0.999165,0.008396,0.870913,0.0,0.993107,0.981857
