condition,trial,stride,T_eff,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
rand_random,0,1,200,0.013922,0.201442,0.019029,0.788665,0.232552,0.015114,0.996307,0.996087,0.039666,0.186912,0.181448,0.971219,0.981077
rand_random,0,2,100,0.019799,0.228499,0.054905,0.780482,0.232201,0.0,0.996365,0.996122,0.039343,0.036334,0.489562,0.975511,0.980945
rand_random,0,4,50,0.00336,0.159545,0.004645,0.768854,0.232214,0.0,0.996072,0.995804,0.042596,0.039259,0.04275,0.980543,0.98095
rand_random,0,8,25,0.017713,0.125527,0.045921,0.740677,0.231823,0.0,0.995948,0.995572,0.045048,0.040499,0.364916,0.988878,0.980802
rand_random,0,16,12,0.023151,0.154974,0.136162,0.704026,0.230869,0.0,0.997256,0.997157,0.028652,0.027438,0.80114,0.99464,0.980436
rand_random,1,1,200,0.019816,0.194493,0.045128,0.775846,0.232969,0.080668,0.998283,0.998129,0.018935,0.684925,0.406004,0.977655,0.981233
rand_random,1,2,100,0.023654,0.20786,0.066722,0.766589,0.232708,0.080654,0.998204,0.998059,0.01964,0.685639,0.565179,0.981396,0.981136
rand_random,1,4,50,0.012974,0.14486,0.045708,0.756641,0.231849,0.047081,0.998399,0.998413,0.016033,0.454867,0.38297,0.984727,0.980812
rand_random,1,8,25,0.010713,0.176325,0.073745,0.736771,0.232292,0.0,0.998278,0.998209,0.01812,0.017222,0.591746,0.989709,0.980979
rand_random,1,16,12,0.011042,0.270901,0.241267,0.693309,0.232772,0.0,0.998854,0.998867,0.011453,0.011462,0.975387,0.995671,0.981159
rand_random,2,1,200,0.009194,0.181617,0.000108,0.788327,0.232917,0.026881,0.997073,0.996753,0.032944,0.291777,0.001024,0.97141,0.981213
rand_random,2,2,100,0.013107,0.159553,0.013797,0.779674,0.233411,0.026881,0.997091,0.996772,0.032751,0.291601,0.126266,0.975898,0.981396
rand_random,2,4,50,0.007594,0.175162,0.02217,0.770755,0.233594,0.0,0.997027,0.996689,0.033588,0.029721,0.205392,0.979796,0.981464
rand_random,2,8,25,0.001775,0.148858,0.003245,0.74724,0.233385,0.0,0.997117,0.996886,0.031515,0.028821,0.029296,0.987328,0.981387
rand_random,2,16,12,0.021962,0.203771,0.178896,0.70623,0.231671,0.0,0.997581,0.997613,0.024002,0.024181,0.914063,0.994399,0.980744
rand_random,3,1,200,0.013783,0.330789,0.033202,0.793294,0.233613,0.080694,0.998835,0.99856,0.014515,0.679548,0.319479,0.968471,0.981471
rand_random,3,2,100,0.012439,0.315081,0.018902,0.785456,0.233594,0.109046,0.998964,0.998699,0.013111,0.8074,0.186121,0.972984,0.981464
rand_random,3,4,50,0.013614,0.265721,0.057445,0.771302,0.23362,0.080689,0.998988,0.998818,0.011884,0.677985,0.51354,0.979576,0.981473
rand_random,3,8,25,0.008158,0.26483,0.088875,0.752552,0.23401,0.0,0.99893,0.998826,0.011799,0.010699,0.703692,0.985918,0.981616
rand_random,3,16,12,0.007864,0.213392,0.198388,0.704627,0.235176,0.0,0.999273,0.99915,0.008533,0.007273,0.93626,0.994575,0.982036
rand_random,4,1,200,0.016477,0.147949,0.01651,0.788743,0.233522,0.121796,0.998638,0.99829,0.017284,0.852676,0.147478,0.971174,0.981437
rand_random,4,2,100,0.021166,0.160056,0.042534,0.778828,0.233424,0.145284,0.998635,0.998292,0.017259,0.909899,0.370009,0.976298,0.981401
rand_random,4,4,50,0.02402,0.13215,0.086391,0.766589,0.233359,0.156114,0.998803,0.998392,0.016268,0.927579,0.605506,0.981396,0.981377
rand_random,4,8,25,0.021408,0.142268,0.102144,0.743906,0.233437,0.080684,0.998721,0.9984,0.016155,0.680634,0.685822,0.98814,0.981406
rand_random,4,16,12,0.020152,0.08118,0.046196,0.697616,0.233574,0.13025,0.998651,0.99825,0.017703,0.875855,0.289475,0.995283,0.981456
rand_random,5,1,200,0.007408,0.134047,0.036445,0.794095,0.232832,0.264786,0.999463,0.999403,0.006001,0.995395,0.304368,0.96797,0.981182
rand_random,5,2,100,0.006769,0.098424,0.043544,0.788073,0.232799,0.270194,0.999464,0.999458,0.005438,0.996403,0.309399,0.971553,0.98117
rand_random,5,4,50,0.00594,0.118141,0.011814,0.778021,0.232656,0.2532,0.999458,0.999434,0.005686,0.992863,0.097353,0.976673,0.981116
rand_random,5,8,25,0.007483,0.116927,0.094397,0.754844,0.232917,0.240504,0.999509,0.999517,0.00485,0.988747,0.607348,0.985262,0.981213
rand_random,5,16,12,0.004228,0.052463,0.0,0.710637,0.234075,0.130342,0.999555,0.999503,0.004998,0.867045,0.0,0.993885,0.981639
rand_random,6,1,200,0.008552,0.277306,0.033158,0.776556,0.232969,0.295473,0.9991,0.999329,0.00675,1.003588,0.317453,0.977339,0.981233
rand_random,6,2,100,0.010482,0.28926,0.074687,0.769453,0.232891,0.280209,0.999176,0.999335,0.006684,1.0009,0.629396,0.98031,0.981204
rand_random,6,4,50,0.013901,0.238438,0.127434,0.753646,0.232786,0.275221,0.999106,0.999223,0.007806,1.000831,0.840573,0.985609,0.981165
rand_random,6,8,25,0.00992,0.166709,0.065528,0.738854,0.233385,0.264701,0.999123,0.999337,0.006659,0.998776,0.535617,0.989274,0.981387
rand_random,6,16,12,0.00799,0.191481,0.012477,0.694511,0.233173,0.296333,0.998929,0.999275,0.007274,1.005389,0.118854,0.995566,0.981308
rand_random,7,1,200,0.005376,0.120854,0.030465,0.7789,0.23293,0.332801,0.999657,0.999552,0.004497,1.000856,0.247163,0.976264,0.981218
rand_random,7,2,100,0.003971,0.086759,0.0,0.769323,0.232969,0.331512,0.999681,0.999589,0.004126,1.000552,0.0,0.980361,0.981233
rand_random,7,4,50,0.004805,0.084065,0.0334,0.753984,0.232865,0.332656,0.999644,0.999595,0.004066,1.000981,0.22102,0.985511,0.981194
rand_random,7,8,25,0.003664,0.104773,0.035734,0.731406,0.232969,0.329651,0.999707,0.999703,0.002972,1.000194,0.267755,0.990751,0.981233
rand_random,7,16,12,0.004683,0.114203,0.105809,0.691406,0.233474,0.331636,0.999504,0.999709,0.002918,1.002331,0.639796,0.995832,0.981419
rand_random,8,1,200,0.011378,0.236397,0.051133,0.784303,0.232813,0.297301,0.999122,0.999194,0.008123,1.003558,0.462719,0.973591,0.981174
rand_random,8,2,100,0.011627,0.193004,0.042663,0.777292,0.232148,0.289161,0.998963,0.999135,0.008727,1.004232,0.385896,0.977007,0.980925
rand_random,8,4,50,0.015026,0.178586,0.05808,0.76362,0.232031,0.240319,0.99892,0.998964,0.01047,0.994581,0.494635,0.982459,0.980881
rand_random,8,8,25,0.017186,0.252292,0.061241,0.743021,0.232083,0.240396,0.99904,0.998859,0.011569,0.993399,0.538842,0.988347,0.9809
rand_random,8,16,12,0.011359,0.196779,0.180209,0.697716,0.233574,0.296532,0.999179,0.999395,0.006077,1.002913,0.910732,0.995273,0.981456
rand_random,9,1,200,0.008742,0.252342,0.040865,0.791589,0.232559,0.181038,0.999483,0.999315,0.006882,0.953039,0.38238,0.969512,0.981079
rand_random,9,2,100,0.009662,0.239802,0.050762,0.785677,0.232552,0.166515,0.99949,0.999279,0.007249,0.936012,0.460415,0.972866,0.981077
rand_random,9,4,50,0.011725,0.289737,0.084163,0.773229,0.2325,0.211259,0.999469,0.999268,0.00736,0.976489,0.682502,0.978782,0.981057
rand_random,9,8,25,0.007802,0.423675,0.256681,0.75151,0.232344,0.133975,0.999601,0.999569,0.004327,0.8756,0.987846,0.986206,0.980999
rand_random,9,16,12,0.007185,0.272927,0.172933,0.715645,0.233373,0.206301,0.999592,0.999614,0.003873,0.9723,0.93101,0.993243,0.981382
rand_random,10,1,200,0.004208,0.487099,0.0,0.791914,0.232858,0.332796,0.99851,0.999564,0.004371,1.012327,0.0,0.969316,0.981191
rand_random,10,2,100,0.006432,0.470765,0.037239,0.78474,0.232982,0.328278,0.998501,0.99951,0.004922,1.012179,0.356007,0.973363,0.981237
rand_random,10,4,50,0.005846,0.463275,0.02442,0.769349,0.233099,0.329496,0.998494,0.999516,0.004855,1.01231,0.239404,0.980351,0.981281
rand_random,10,8,25,0.00537,0.456436,0.03759,0.746146,0.232969,0.32951,0.998404,0.999597,0.004038,1.013209,0.359051,0.987601,0.981233
rand_random,10,16,12,0.003507,0.399475,0.0,0.700921,0.232071,0.331437,0.998358,0.999646,0.003544,1.013771,0.0,0.994961,0.980896
rand_random,11,1,200,0.005193,0.581828,0.0,0.799466,0.232689,0.306327,0.998927,0.999457,0.005454,1.006367,0.0,0.964403,0.981128
rand_random,11,2,100,0.007053,0.630855,0.046214,0.794987,0.232526,0.311029,0.998877,0.999485,0.005166,1.007261,0.431291,0.967403,0.981067
rand_random,11,4,50,0.00775,0.642617,0.075914,0.780911,0.233359,0.301175,0.998981,0.99951,0.004922,1.005354,0.639559,0.975302,0.981377
rand_random,11,8,25,0.009234,0.512605,0.050881,0.761563,0.233177,0.301041,0.998755,0.999355,0.006482,1.007607,0.468927,0.983161,0.98131
rand_random,11,16,12,0.013216,0.658536,0.109741,0.71254,0.233474,0.206315,0.999122,0.999242,0.007636,0.977004,0.797836,0.993648,0.981419
rand_random,12,1,200,0.008562,0.329579,0.035823,0.782624,0.232734,0.307908,0.999211,0.999339,0.006651,1.00367,0.34271,0.974453,0.981145
rand_random,12,2,100,0.01079,0.373527,0.060972,0.778698,0.233099,0.304545,0.999211,0.999276,0.007282,1.00337,0.543304,0.976359,0.981281
rand_random,12,4,50,0.009196,0.354217,0.032446,0.768984,0.233516,0.307854,0.999142,0.99928,0.007254,1.00435,0.313007,0.980492,0.981435
rand_random,12,8,25,0.008208,0.311556,0.058299,0.747552,0.234427,0.31391,0.999283,0.999448,0.005549,1.003421,0.522774,0.987249,0.981767
