model,L,param,seed,C_a,mean_H,op_up,op_down,mi1,tc_mean,gzip_ratio
Majority Vote,128,0.07,3,0.002985,0.999518,0.0,0.630843,0.625556,0.918826,0.075574
Majority Vote,128,0.07,4,0.006126,0.998836,0.0,0.604659,0.617934,0.919514,0.068089
Majority Vote,128,0.07,5,0.115745,0.980505,0.0,0.600966,0.639699,0.919392,0.069215
Majority Vote,128,0.09,0,0.014411,0.997795,0.0,0.650778,0.562155,0.900684,0.079191
Majority Vote,128,0.09,1,0.036802,0.994893,0.0,0.644906,0.577311,0.901104,0.077926
Majority Vote,128,0.09,2,0.462551,0.933333,0.0,0.628066,0.543428,0.900701,0.079897
Majority Vote,128,0.09,3,0.110294,0.985412,0.0,0.644362,0.578117,0.90089,0.078951
Majority Vote,128,0.09,4,0.001144,0.999851,0.0,0.650081,0.561908,0.9012,0.079206
Majority Vote,128,0.09,5,0.1016,0.984629,0.0,0.646034,0.549185,0.900398,0.080201
Majority Vote,128,0.11,0,0.605231,0.957225,0.293731,0.669644,0.497903,0.882534,0.087138
Majority Vote,128,0.11,1,0.022876,0.996785,0.0,0.672656,0.511563,0.882398,0.082899
Majority Vote,128,0.11,2,0.158758,0.981289,0.0,0.667328,0.498729,0.881838,0.083455
Majority Vote,128,0.11,3,0.025635,0.997157,0.0,0.68612,0.514312,0.882297,0.087468
Majority Vote,128,0.11,4,0.089948,0.989804,0.0,0.689179,0.486109,0.88155,0.089801
Majority Vote,128,0.11,5,0.033756,0.995824,0.0,0.680967,0.486926,0.88209,0.086526
Majority Vote,128,0.14,0,0.017818,0.99809,0.0,0.723807,0.434691,0.855165,0.094682
Majority Vote,128,0.14,1,0.007182,0.999062,0.0,0.718492,0.437264,0.855579,0.092695
Majority Vote,128,0.14,2,0.010306,0.998954,0.0,0.729559,0.436944,0.854861,0.096742
Majority Vote,128,0.14,3,0.108331,0.988683,0.0,0.7236,0.425255,0.854754,0.095992
Majority Vote,128,0.14,4,0.164849,0.983529,0.0,0.717736,0.410709,0.855331,0.094753
Majority Vote,128,0.14,5,0.221351,0.976636,0.0,0.717599,0.419756,0.854954,0.095637
Majority Vote,128,0.18,0,0.302701,0.974055,0.0,0.777426,0.323953,0.818789,0.111026
Majority Vote,128,0.18,1,0.559259,0.941397,0.0,0.749832,0.324921,0.82027,0.105717
Majority Vote,128,0.18,2,0.095064,0.99174,0.0,0.779354,0.335879,0.819817,0.108489
Majority Vote,128,0.18,3,0.013491,0.998866,0.0,0.787977,0.350896,0.818343,0.110464
Majority Vote,128,0.18,4,0.171962,0.985668,0.0,0.776667,0.329049,0.818927,0.108363
Majority Vote,128,0.18,5,0.102027,0.990701,0.0,0.780979,0.331758,0.819497,0.109485
