model,L,param,seed,C_a,mean_H,op_up,op_down,mi1,tc_mean,gzip_ratio
Potts q=4,64,0.65,1,0.200768,0.863916,0.0,0.455516,0.879818,0.97261,0.050284
Potts q=4,64,0.65,2,0.178109,0.855177,0.0,0.449768,0.905701,0.973279,0.048599
Potts q=4,64,0.65,3,0.148624,0.502082,0.0,0.263427,0.867875,0.976379,0.035507
Potts q=4,64,0.65,4,0.286821,0.560109,0.240558,0.312289,0.84818,0.975513,0.040323
Potts q=4,64,0.65,5,0.01275,0.995176,0.0,0.529392,0.881108,0.970972,0.057874
Potts q=4,64,0.75,0,0.604604,0.814814,0.307419,0.477181,0.810577,0.961285,0.063672
Potts q=4,64,0.75,1,0.001922,0.999734,0.331905,0.584525,0.827714,0.958725,0.074927
Potts q=4,64,0.75,2,0.110219,0.117687,0.0,0.112418,0.101294,0.970273,0.031122
Potts q=4,64,0.75,3,0.327611,0.782419,0.0,0.439359,0.851761,0.965164,0.056516
Potts q=4,64,0.75,4,0.001809,0.999677,0.156302,0.562505,0.892404,0.961761,0.068243
Potts q=4,64,0.75,5,0.089585,0.976351,0.0,0.538431,0.828164,0.963098,0.06405
Potts q=4,64,0.85,0,1.199098,0.818063,0.332958,0.556942,0.621909,0.939658,0.084805
Potts q=4,64,0.85,1,0.421702,0.939303,0.0,0.611944,0.684374,0.940479,0.088687
Potts q=4,64,0.85,2,0.551941,0.919212,0.0,0.611586,0.692995,0.939685,0.089191
Potts q=4,64,0.85,3,0.734622,0.609913,0.0,0.440667,0.577249,0.942352,0.073563
Potts q=4,64,0.85,4,0.002049,0.999839,0.329487,0.67414,0.679122,0.935724,0.098117
Potts q=4,64,0.85,5,0.632421,0.945827,0.213353,0.634994,0.738416,0.936597,0.092963
Potts q=4,64,0.95,0,2.239384,0.848829,0.180865,0.730632,0.436102,0.877179,0.131201
Potts q=4,64,0.95,1,1.432433,0.863132,0.0,0.743991,0.415405,0.875833,0.132654
Potts q=4,64,0.95,2,1.441676,0.867023,0.0,0.743371,0.453325,0.878473,0.132104
Potts q=4,64,0.95,3,2.045039,0.765286,0.095338,0.656084,0.475147,0.888846,0.118069
Potts q=4,64,0.95,4,2.384408,0.782185,0.240354,0.67905,0.381757,0.881076,0.124362
Potts q=4,64,0.95,5,1.697736,0.899768,0.056064,0.7671,0.410174,0.877374,0.134515
Potts q=4,64,1.05,0,2.84047,0.778195,0.31035,0.71726,0.313729,0.848495,0.13428
Potts q=4,64,1.05,1,2.527724,0.808098,0.331844,0.746068,0.34147,0.84176,0.139459
Potts q=4,64,1.05,2,2.54882,0.820395,0.317862,0.751926,0.340048,0.844684,0.139896
Potts q=4,64,1.05,3,2.613508,0.811656,0.327531,0.748235,0.267892,0.842651,0.139984
Potts q=4,64,1.05,4,2.429731,0.828168,0.192442,0.759785,0.323999,0.843246,0.141208
Potts q=4,64,1.05,5,1.609211,0.854196,0.0,0.779834,0.302477,0.842459,0.144424
Potts q=4,64,1.15,0,2.695808,0.810141,0.333038,0.76425,0.255913,0.820004,0.144098
Potts q=4,64,1.15,1,2.703943,0.801495,0.288086,0.757789,0.223603,0.820441,0.143939
Potts q=4,64,1.15,2,2.513699,0.780571,0.112326,0.742141,0.20704,0.820944,0.141257
Potts q=4,64,1.15,3,2.691039,0.795026,0.248479,0.755032,0.222421,0.818439,0.143185
Potts q=4,64,1.15,4,2.736232,0.796591,0.231774,0.752625,0.251288,0.8216,0.14259
Potts q=4,64,1.15,5,2.626161,0.824961,0.276627,0.777938,0.256889,0.817896,0.14603
Potts q=4,64,1.3,0,2.707182,0.795468,0.270193,0.768874,0.177509,0.793298,0.146915
Potts q=4,64,1.3,1,2.769641,0.802561,0.329114,0.77448,0.180992,0.793112,0.147726
Potts q=4,64,1.3,2,2.695721,0.803459,0.33059,0.773098,0.172278,0.792725,0.147009
Potts q=4,64,1.3,3,2.743743,0.807171,0.327577,0.77783,0.21275,0.791348,0.147668
Potts q=4,64,1.3,4,2.612856,0.809682,0.332575,0.780295,0.190903,0.79119,0.148538
Potts q=4,64,1.3,5,2.650135,0.822584,0.29347,0.792586,0.174977,0.788797,0.150195
Potts q=4,64,1.55,0,2.510919,0.810926,0.33161,0.793748,0.110381,0.758499,0.151379
Potts q=4,64,1.55,1,2.500588,0.822777,0.270276,0.804587,0.133498,0.756085,0.1534
Potts q=4,64,1.55,2,2.501687,0.806462,0.303057,0.789507,0.11956,0.759137,0.150461
Potts q=4,64,1.55,3,2.472048,0.80529,0.303123,0.787702,0.123123,0.761221,0.150214
Potts q=4,64,1.55,4,2.487679,0.803757,0.282702,0.785503,0.12365,0.761118,0.149918
Potts q=4,64,1.55,5,2.489197,0.810862,0.332964,0.793054,0.120156,0.759756,0.151105
Potts q=4,64,1.9,0,2.15822,0.816415,0.303138,0.80576,0.073168,0.729663,0.153647
Potts q=4,64,1.9,1,2.381081,0.813914,0.327678,0.803273,0.097068,0.73075,0.153381
Potts q=4,64,1.9,2,2.423322,0.814293,0.329328,0.802979,0.102401,0.732086,0.153146
Potts q=4,64,1.9,3,2.122556,0.812752,0.330746,0.802047,0.061723,0.731638,0.153046
Potts q=4,64,1.9,4,2.292468,0.811379,0.333131,0.80074,0.086541,0.73222,0.152594
Potts q=4,64,1.9,5,2.233309,0.810283,0.327681,0.799345,0.074516,0.732544,0.152875
Potts q=4,128,0.65,0,0.146269,0.658423,0.0,0.337954,0.84696,0.975302,0.032565
Potts q=4,128,0.65,1,0.111678,0.915147,0.0,0.453767,0.880206,0.974613,0.038167
Potts q=4,128,0.65,2,0.125943,0.864927,0.0,0.435003,0.910573,0.974152,0.039344
Potts q=4,128,0.65,3,0.115645,0.793978,0.0,0.38141,0.893848,0.976307,0.030776
Potts q=4,128,0.65,4,0.147494,0.688609,0.0,0.352583,0.855169,0.975367,0.032932
Potts q=4,128,0.65,5,0.174875,0.535808,0.056219,0.289711,0.823641,0.975731,0.030698
Potts q=4,128,0.75,0,0.292635,0.651814,0.0,0.381545,0.75699,0.965343,0.045098
Potts q=4,128,0.75,1,0.281646,0.737668,0.0,0.419101,0.785782,0.965285,0.046568
Potts q=4,128,0.75,2,0.233908,0.489621,0.0,0.298838,0.757092,0.967563,0.038156
Potts q=4,128,0.75,3,0.248617,0.443111,0.0,0.285711,0.663399,0.966702,0.039449
Potts q=4,128,0.75,4,0.408236,0.812551,0.332719,0.444582,0.795423,0.965712,0.04624
Potts q=4,128,0.75,5,0.302882,0.829135,0.0,0.467979,0.803774,0.963249,0.05096
Potts q=4,128,0.85,0,0.831304,0.527483,0.128085,0.394231,0.610547,0.944175,0.060957
Potts q=4,128,0.85,1,0.419705,0.934819,0.0,0.618342,0.69982,0.938537,0.080135
