experiment,threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mean_C_A,mean_C_B,var_C_A,var_C_B,lag1_ac_C_A,lag1_ac_C_B,mapping_agree
stochastic,0.0,mixed,0.6543775388994745,5,0.6583550172957435,53,0.6422478102823016,0.6462074081288294,0.6470731071039517,1.0038497275600352e-05,2.671147943111707e-05,0.7188532872971387,0.884696137416544,True
stochastic,0.01,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.02,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.03,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.04,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.05,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.06,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.07,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.08,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.09,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.1,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.11,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.12,mixed,0.6835638709118199,21,0.6844925024988918,50,0.6696287449147762,0.6752398289383162,0.6730857972113656,1.2566562342700818e-05,2.1242505773518164e-05,0.7391640131048678,0.8682823036182148,True
stochastic,0.13,mixed,0.6950128454317522,5,0.6959445578484765,69,0.6776467806095832,0.680362378158772,0.6871964873601187,2.831745263294891e-05,1.5776353268571483e-05,0.8664111980071039,0.7769645749516537,True
stochastic,0.14,mixed,0.6950128454317522,5,0.6959445578484765,69,0.6776467806095832,0.680362378158772,0.6871964873601187,2.831745263294891e-05,1.5776353268571483e-05,0.8664111980071039,0.7769645749516537,True
stochastic,0.15,mixed,0.7221761825914557,51,0.7258451018921337,53,0.7097527252525214,0.714523294396051,0.7136746963254503,1.7630657470600046e-05,5.19738907514114e-05,0.85513780043396,0.9527343775602853,True
stochastic,0.16,mixed,0.7221761825914557,51,0.7258451018921337,53,0.7097527252525214,0.714523294396051,0.7136746963254503,1.7630657470600046e-05,5.19738907514114e-05,0.85513780043396,0.9527343775602853,True
stochastic,0.17,mixed,0.7558878589230533,42,0.7587377821996276,35,0.749487176514796,0.7486542834778782,0.7490207938697236,1.347403496684039e-05,2.4378662793378692e-05,0.7891671373824481,0.906851125672062,True
stochastic,0.18,mixed,0.7558878589230533,42,0.7587377821996276,35,0.749487176514796,0.7486542834778782,0.7490207938697236,1.347403496684039e-05,2.4378662793378692e-05,0.7891671373824481,0.906851125672062,True
stochastic,0.19,mixed,0.7558878589230533,42,0.7587377821996276,35,0.749487176514796,0.7486542834778782,0.7490207938697236,1.347403496684039e-05,2.4378662793378692e-05,0.7891671373824481,0.906851125672062,True
stochastic,0.2,mixed,0.7558878589230533,42,0.7587377821996276,35,0.749487176514796,0.7486542834778782,0.7490207938697236,1.347403496684039e-05,2.4378662793378692e-05,0.7891671373824481,0.906851125672062,True
stochastic,0.21,mixed,0.7827047710366434,89,0.7775048002663852,38,0.7714143107995188,0.7736343987477201,0.7689155835209411,2.0197115697767756e-05,1.4337691205601592e-05,0.8805944241925102,0.8600717786487257,True
stochastic,0.22,mixed,0.7827047710366434,89,0.7775048002663852,38,0.7714143107995188,0.7736343987477201,0.7689155835209411,2.0197115697767756e-05,1.4337691205601592e-05,0.8805944241925102,0.8600717786487257,True
stochastic,0.23,mixed,0.7827047710366434,89,0.7775048002663852,38,0.7714143107995188,0.7736343987477201,0.7689155835209411,2.0197115697767756e-05,1.4337691205601592e-05,0.8805944241925102,0.8600717786487257,True
stochastic,0.24,mixed,0.7827047710366434,89,0.7775048002663852,38,0.7714143107995188,0.7736343987477201,0.7689155835209411,2.0197115697767756e-05,1.4337691205601592e-05,0.8805944241925102,0.8600717786487257,True
stochastic,0.25,mixed,0.7827047710366434,89,0.7775048002663852,38,0.7714143107995188,0.7736343987477201,0.7689155835209411,2.0197115697767756e-05,1.4337691205601592e-05,0.8805944241925102,0.8600717786487257,True
stochastic,0.26,mixed,0.7999181194130724,33,0.7970855757697282,74,0.7926524115434974,0.790485256381318,0.7895100900642982,1.6018665455766844e-05,1.456081537307624e-05,0.8476018429609872,0.8102596109808841,True
stochastic,0.27,mixed,0.7999181194130724,33,0.7970855757697282,74,0.7926524115434974,0.790485256381318,0.7895100900642982,1.6018665455766844e-05,1.456081537307624e-05,0.8476018429609872,0.8102596109808841,True
stochastic,0.28,mixed,0.7999181194130724,33,0.7970855757697282,74,0.7926524115434974,0.790485256381318,0.7895100900642982,1.6018665455766844e-05,1.456081537307624e-05,0.8476018429609872,0.8102596109808841,True
stochastic,0.29,mixed,0.8201631956403252,21,0.8193082487837223,54,0.8123056853814301,0.8119704718951551,0.8104257163010068,1.3160120346534815e-05,1.5207291014012777e-05,0.8539144380181248,0.860606916042065,True
stochastic,0.3,transition,0.8201631956403252,21,0.8193082487837223,54,0.8123056853814301,0.8119704718951551,0.8104257163010068,1.3160120346534815e-05,1.5207291014012777e-05,0.8539144380181248,0.860606916042065,True
stochastic,0.31,transition,0.8201631956403252,21,0.8193082487837223,54,0.8123056853814301,0.8119704718951551,0.8104257163010068,1.3160120346534815e-05,1.5207291014012777e-05,0.8539144380181248,0.860606916042065,True
