experiment,threshold,time_step,regime,C_A,C_B,w_H,w_OPs,w_OPt,w_T,w_G
heterogeneous_thresholds,0.0,2,mixed,0.22474669554599314,0.2382168292326623,1.1878706856020445,0.3752912621717338,0.20705232841446577,0.6942844203021367,0.4686566738888871
heterogeneous_thresholds,0.0,3,mixed,0.14624708376359163,0.15818956911140467,1.1878706856020445,0.3752918937728419,0.009638770252976542,0.6825232238049981,0.4688887676283927
heterogeneous_thresholds,0.0,4,mixed,0.1446119309817841,0.1471219405169896,1.1878706856020445,0.37529188769556576,0.004926594459282365,0.6820864055540473,0.46956304249641045
heterogeneous_thresholds,0.0,5,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,6,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,7,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,8,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,9,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,10,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,11,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,12,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,13,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,14,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,15,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,16,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.0,17,mixed,0.14281886846736583,0.14350682688037658,1.1878706856020445,0.3752918775375599,0.0,0.6819407511903469,0.46978678975824517
heterogeneous_thresholds,0.01,2,mixed,0.23645991347791093,0.23611651158450164,1.1878706856020445,0.37529016308871455,0.22593144406918658,0.6957327146845284,0.4760863231408871
heterogeneous_thresholds,0.01,3,mixed,0.14933802509115082,0.14988710643834513,1.1878706856020445,0.37529112425091365,0.009665655182729898,0.6826688300504773,0.4785821553308781
heterogeneous_thresholds,0.01,4,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,5,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,6,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,7,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,8,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,9,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,10,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,11,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,12,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,13,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,14,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,15,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,16,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.01,17,mixed,0.14538974794376577,0.1409620718212256,1.1878706856020445,0.37529108861643745,0.0,0.6819407511903469,0.4782444602015986
heterogeneous_thresholds,0.02,2,mixed,0.24949625600312975,0.2454656039066795,1.1878706856020445,0.37529071000475767,0.26257847721938077,0.6973225666712494,0.47234569032991913
heterogeneous_thresholds,0.02,3,mixed,0.15352650965787246,0.15404903878623238,1.1878706856020445,0.3752909370280654,0.023727813440199273,0.6829599929664534,0.4743787926614524
heterogeneous_thresholds,0.02,4,mixed,0.14434807053675672,0.14501642823061062,1.1878706856020445,0.3752910019044668,0.0,0.6820864055540473,0.4747180995986378
heterogeneous_thresholds,0.02,5,mixed,0.14435191843074366,0.14141279593396391,1.1878706856020445,0.37529095663102685,0.0,0.6819407511903469,0.4748307574716752
heterogeneous_thresholds,0.02,6,mixed,0.14435191843074366,0.14141279593396391,1.1878706856020445,0.37529095663102685,0.0,0.6819407511903469,0.4748307574716752
heterogeneous_thresholds,0.02,7,mixed,0.14435191843074366,0.14141279593396391,1.1878706856020445,0.37529095663102685,0.0,0.6819407511903469,0.4748307574716752
heterogeneous_thresholds,0.02,8,mixed,0.14435191843074366,0.14141279593396391,1.1878706856020445,0.37529095663102685,0.0,0.6819407511903469,0.4748307574716752
heterogeneous_thresholds,0.02,9,mixed,0.14435191843074366,0.14141279593396391,1.1878706856020445,0.37529095663102685,0.0,0.6819407511903469,0.4748307574716752
