experiment,threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mean_C_A,mean_C_B,var_C_A,var_C_B,lag1_ac_C_A,lag1_ac_C_B,mapping_agree
baseline,0.0,mixed,0.14369509668360297,2,0.14107015855884536,2,0.14369509668360297,0.14369509668360297,0.14107015855884536,0.0,0.0,0.0,0.0,True
baseline,0.01,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.02,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.03,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.04,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.05,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.06,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.07,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.08,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.09,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.1,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.11,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.12,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,0.15076075003781947,0.15334860170994752,0.000798049667768288,0.0009034215865193205,0.9968914170101976,0.9965895652858178,True
baseline,0.13,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,0.16083750961610938,0.15494032124889062,0.001567938930341334,0.001541285006294889,0.9988520879796651,0.9991054188619748,True
baseline,0.14,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,0.16083750961610938,0.15494032124889062,0.001567938930341334,0.001541285006294889,0.9988520879796651,0.9991054188619748,True
baseline,0.15,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,0.17543958854545563,0.17514218817642513,0.0050026912435601496,0.0058292274793275405,0.9968299320612093,0.9872014720324432,True
baseline,0.16,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,0.17543958854545563,0.17514218817642513,0.0050026912435601496,0.0058292274793275405,0.9968299320612093,0.9872014720324432,True
baseline,0.17,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,0.1944485303839683,0.2021835804592908,0.012412669747720286,0.013631426815490675,0.9967202635226243,0.9947225942137683,True
baseline,0.18,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,0.1944485303839683,0.2021835804592908,0.012412669747720286,0.013631426815490675,0.9967202635226243,0.9947225942137683,True
baseline,0.19,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,0.1944485303839683,0.2021835804592908,0.012412669747720286,0.013631426815490675,0.9967202635226243,0.9947225942137683,True
baseline,0.2,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,0.1944485303839683,0.2021835804592908,0.012412669747720286,0.013631426815490675,0.9967202635226243,0.9947225942137683,True
baseline,0.21,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,0.21964662162334084,0.22487452700525173,0.019081169443741247,0.0202392528064532,0.9960465025298868,0.9946891085634884,True
baseline,0.22,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,0.21964662162334084,0.22487452700525173,0.019081169443741247,0.0202392528064532,0.9960465025298868,0.9946891085634884,True
baseline,0.23,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,0.21964662162334084,0.22487452700525173,0.019081169443741247,0.0202392528064532,0.9960465025298868,0.9946891085634884,True
baseline,0.24,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,0.21964662162334084,0.22487452700525173,0.019081169443741247,0.0202392528064532,0.9960465025298868,0.9946891085634884,True
baseline,0.25,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,0.21964662162334084,0.22487452700525173,0.019081169443741247,0.0202392528064532,0.9960465025298868,0.9946891085634884,True
baseline,0.26,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,0.2659596896711255,0.26053706270209365,0.031179235295851787,0.030132396010682835,0.9948477865988098,0.9948829152056262,True
baseline,0.27,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,0.2659596896711255,0.26053706270209365,0.031179235295851787,0.030132396010682835,0.9948477865988098,0.9948829152056262,True
baseline,0.28,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,0.2659596896711255,0.26053706270209365,0.031179235295851787,0.030132396010682835,0.9948477865988098,0.9948829152056262,True
baseline,0.29,mixed,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,0.29462953693069616,0.27717683875844135,0.05452079851048574,0.053482561512788886,0.9951469327917756,0.9939766206588095,True
baseline,0.3,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,0.29462953693069616,0.27717683875844135,0.05452079851048574,0.053482561512788886,0.9951469327917756,0.9939766206588095,True
baseline,0.31,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,0.29462953693069616,0.27717683875844135,0.05452079851048574,0.053482561512788886,0.9951469327917756,0.9939766206588095,True
baseline,0.32,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,0.29462953693069616,0.27717683875844135,0.05452079851048574,0.053482561512788886,0.9951469327917756,0.9939766206588095,True
baseline,0.33,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,0.29462953693069616,0.27717683875844135,0.05452079851048574,0.053482561512788886,0.9951469327917756,0.9939766206588095,True
baseline,0.34,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,0.28372365905196517,0.2871558994760691,0.06901573206922587,0.07613400853047275,0.9928881049793497,0.9930410667541956,True
baseline,0.35,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,0.28372365905196517,0.2871558994760691,0.06901573206922587,0.07613400853047275,0.9928881049793497,0.9930410667541956,True
baseline,0.36,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,0.28372365905196517,0.2871558994760691,0.06901573206922587,0.07613400853047275,0.9928881049793497,0.9930410667541956,True
baseline,0.37,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,0.28372365905196517,0.2871558994760691,0.06901573206922587,0.07613400853047275,0.9928881049793497,0.9930410667541956,True
baseline,0.38,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,0.34330096552989303,0.34335744779965904,0.07966788975981498,0.07613757430206297,0.9961717008304732,0.9952207799161885,True
baseline,0.39,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,0.34330096552989303,0.34335744779965904,0.07966788975981498,0.07613757430206297,0.9961717008304732,0.9952207799161885,True
baseline,0.4,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,0.34330096552989303,0.34335744779965904,0.07966788975981498,0.07613757430206297,0.9961717008304732,0.9952207799161885,True
