experiment,threshold,time_step,regime,C_A,C_B,w_H,w_OPs,w_OPt,w_T,w_G
stochastic,0.0,5,mixed,0.6543775388994745,0.6459464854279282,1.1878706856020518,0.3752562614125464,0.9988397093550697,0.8399658199755953,0.4772612320403842
stochastic,0.0,6,mixed,0.6491849591990266,0.6516179930088287,1.1878706856020518,0.37525502305476877,0.9988894269990112,0.836430181128069,0.4754490549056877
stochastic,0.0,7,mixed,0.6455575489497216,0.6550840038729836,1.1878706856020518,0.37525541815511027,0.9989524394861338,0.8306460872039322,0.47607026702964045
stochastic,0.0,8,mixed,0.6477145114269213,0.6556736663285602,1.1878706856020518,0.3752557949919546,0.998949207021966,0.8311589209068666,0.47737302778526336
stochastic,0.0,9,mixed,0.6470530508974586,0.6560548778322491,1.1878706856020518,0.3752564156657742,0.9989341489300081,0.8303653024315087,0.4773710665954735
stochastic,0.0,10,mixed,0.6469552385392839,0.6560418150774889,1.1878706856020518,0.375255877448957,0.9989298566713046,0.8315701019268872,0.4765783583489718
stochastic,0.0,11,mixed,0.6490295487690237,0.6510628963927451,1.1878706856020518,0.3752555484955648,0.998875892049016,0.8326025379255837,0.47749305370819395
stochastic,0.0,12,mixed,0.6487472569842682,0.6499664642988014,1.1878706856020518,0.37525550157769294,0.998835502890455,0.834817602642441,0.4760205614759051
stochastic,0.0,13,mixed,0.6477705348367818,0.6524117247549223,1.1878706856020518,0.37525568196212444,0.9988641613000404,0.8327624723270478,0.47652675300137115
stochastic,0.0,14,mixed,0.6428051346775786,0.6535068191485096,1.1878706856020518,0.3752556366518246,0.9989413682188598,0.8259295325501779,0.476749856212893
stochastic,0.0,15,mixed,0.6446258402952223,0.6495830388361907,1.1878706856020518,0.37525527348692644,0.9989316403454478,0.8262469983872502,0.47793717914970035
stochastic,0.0,16,mixed,0.6487475229662076,0.6487745562729844,1.1878706856020518,0.37525472919440706,0.9988699230841809,0.8321930778602861,0.47759768548628
stochastic,0.0,17,mixed,0.6443370528135339,0.6485129669101537,1.1878706856020518,0.3752554407048213,0.9988688525721059,0.8282554247932197,0.4766368160521857
stochastic,0.0,18,mixed,0.6476598473510418,0.6483560923994591,1.1878706856020518,0.3752567166471032,0.998842402057441,0.8320738083939474,0.47686101870607167
stochastic,0.0,19,mixed,0.649321013764715,0.6482184125271296,1.1878706856020518,0.3752572970550713,0.9988418366999919,0.8353127458014633,0.47623809754528057
stochastic,0.0,20,mixed,0.6461689372927413,0.649146877672772,1.1878706856020518,0.3752582769241356,0.9988994974658898,0.8305295322840553,0.47663530593934833
stochastic,0.0,21,mixed,0.6444492659455553,0.6509898099467082,1.1878706856020518,0.37525860448272724,0.9989583052183566,0.8268015024749891,0.4774856993501115
stochastic,0.0,22,mixed,0.6413160224914887,0.6447260613122947,1.1878706856020518,0.3752577362380944,0.9989405390789537,0.8263485588376049,0.4754445639622745
stochastic,0.0,23,mixed,0.6431150411424473,0.6426778104191092,1.1878706856020518,0.37525735522746617,0.9988944559827952,0.8307602093099484,0.47425531826049666
stochastic,0.0,24,mixed,0.643677299279175,0.6414844111806193,1.1878706856020518,0.37525648921573607,0.9988881345288295,0.8302947651725827,0.47493385845029196
stochastic,0.0,25,mixed,0.6430532146070448,0.6352425561262901,1.1878706856020518,0.3752564154034034,0.9988942406215557,0.829366160255384,0.4750493711888109
stochastic,0.0,26,mixed,0.6461827994771531,0.635397132035369,1.1878706856020518,0.3752573667548121,0.9988836380839459,0.8338593301261026,0.47476658913332515
stochastic,0.0,27,mixed,0.6423700918414028,0.6349574799886032,1.1878706856020518,0.375256652728551,0.9989578955850991,0.8301545893373682,0.47408955394288743
stochastic,0.0,28,mixed,0.6396629855495403,0.636204483431359,1.1878706856020518,0.3752567219125437,0.9989663883051912,0.8257948822841643,0.4745490980354713
stochastic,0.0,29,mixed,0.6421920381160918,0.640188042114607,1.1878706856020518,0.37525800493154,0.9989530904630446,0.8282843046222956,0.4749971136264186
stochastic,0.0,30,mixed,0.6413548313081625,0.6392554952422893,1.1878706856020518,0.37525735699291624,0.9989712884863036,0.8279865929801111,0.4745418481727362
stochastic,0.0,31,mixed,0.6449071116071694,0.6427141284314108,1.1878706856020518,0.3752559355809982,0.9989310111808184,0.8324860703823042,0.4745957476161495
stochastic,0.0,32,mixed,0.6459511813713525,0.6453409797759896,1.1878706856020518,0.3752562208559585,0.9989307165568387,0.8324955047743968,0.4753322191976399
stochastic,0.0,33,mixed,0.6458392745338128,0.645755872993751,1.1878706856020518,0.37525591876635583,0.9988938768868725,0.8340848632484285,0.4743700271349202
stochastic,0.0,34,mixed,0.6427448584964228,0.6464919972519988,1.1878706856020518,0.3752563182972281,0.9989707642672908,0.8311330459438488,0.4737482861269028
stochastic,0.0,35,mixed,0.6420218171948795,0.645633982719386,1.1878706856020518,0.3752565424933829,0.9989897342186845,0.8305755440068532,0.4735222741656246
stochastic,0.0,36,mixed,0.6429618295068495,0.6474560573045212,1.1878706856020518,0.37525500768338654,0.9989458847251974,0.831489770353145,0.47369547878661156
stochastic,0.0,37,mixed,0.640675838674274,0.6480010563381537,1.1878706856020518,0.37525463825787825,0.9989623179892296,0.8296301434930105,0.47307001790766723
stochastic,0.0,38,mixed,0.6417570140906736,0.6467552345335168,1.1878706856020518,0.37525518634157085,0.9989636907757766,0.8297614458667668,0.4738077871677797
stochastic,0.0,39,mixed,0.6428560281393739,0.6469734983806894,1.1878706856020518,0.37525686952575665,0.9988837400052641,0.8340006138885456,0.4722240793444955
stochastic,0.0,40,mixed,0.6425133237480217,0.6469948005942199,1.1878706856020518,0.37525759111494367,0.9989359356011214,0.8331868188629692,0.47239786004564593
stochastic,0.0,41,mixed,0.6450921183057032,0.643157167418794,1.1878706856020518,0.37525901247774984,0.9989403883774589,0.8335978822466034,0.4740906154367871
stochastic,0.0,42,mixed,0.6480625773160538,0.6424905146374422,1.1878706856020518,0.3752602658424826,0.9989335533378816,0.8374326948079209,0.4740920324383917
stochastic,0.0,43,mixed,0.648416772047476,0.6405615831884022,1.1878706856020518,0.3752612279445206,0.9988831699014022,0.8371254390006928,0.47454316590586176
stochastic,0.0,44,mixed,0.6485733250972507,0.6422353121968728,1.1878706856020518,0.375262307830751,0.9988366225351358,0.8379626085750086,0.4742050295271335
stochastic,0.0,45,mixed,0.6535791360198349,0.6436035071034686,1.1878706856020518,0.3752628394552656,0.9988239541279761,0.8410634739657168,0.47612947383957893
stochastic,0.0,46,mixed,0.6520886803020607,0.6447677918506153,1.1878706856020518,0.3752612271115813,0.9988409870403329,0.8392352224870102,0.47607312077103214
stochastic,0.0,47,mixed,0.6510220846578617,0.643289978975673,1.1878706856020518,0.375259699910544,0.9988430884012184,0.8386847630099563,0.4755609825538801
stochastic,0.0,48,mixed,0.6508031545428121,0.6452910520335626,1.1878706856020518,0.37525857253183315,0.998826870724726,0.8388061205252783,0.47533423000645814
stochastic,0.0,49,mixed,0.6498161275001085,0.6499394054702489,1.1878706856020518,0.3752576755812353,0.9988405466560419,0.8382301823658104,0.4749351348503268
